鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
文山區,土地,萬慶段一小段383地號,19.33,商,,,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9084205,469954,,0.0,0,,RPUNMLKKRHJGFAA77DA,0.0,0.0,0.0,無,001
文山區,土地,公訓段二小段246-6地號,2.0,住,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,350000,175000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLKKRHJGFAA97DA,0.0,0.0,0.0,無,
南港區,房地(土地+建物),臺北市南港區南港路三段１６巷１弄１３之１號,20.0,工,,,1130902,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0590603,66.12,3,2,2,有,無,13000000,196612,,0.0,0,,RPUNMLTJRHJGFDA88DA,66.12,0.0,0.0,無,
大安區,車位,臺北市大安區瑞安街６１巷１弄１２號地下,3.39,商,,,1130904,土地6建物1車位1,地下層,七層,其他,見使用執照,鋼筋混凝土造,0681024,33.72,0,0,0,無,無,2500000,,坡道平面,33.72,2500000,僅車位交易；,RPSNMLTJRHJGFFA88DA,0.0,0.0,0.0,有,
士林區,土地,菁山段二小段413地號,1505.22,都市：其他:保護區。,,,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15570000,10344,,0.0,0,,RPVNMLKKRHJGFEA28DA,0.0,0.0,0.0,無,002
士林區,土地,三玉段二小段367-2地號,41.16,都市：其他:道路用地(公共設施用地)。66/1/12,,,1130904,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4260060,103500,,0.0,0,包含公共設施保留地用地；,RPRNMLKKRHJGFEA97EA,0.0,0.0,0.0,無,
北投區,土地,振興段三小段1008地號,0.01,都市：其他:道路用地(公共設施用地)。65/6/18,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,733,0,,0.0,0,僅供土地買賣包含公共設施保留地用地；,RPSNMLKKRHJGFEA08EA,0.0,0.0,0.0,無,003
信義區,房地(土地+建物),臺北市信義區永吉路１２７巷３號,35.32,商,,,1130905,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0810221,106.53999999999999,2,1,1,有,有,40000000,375446,,0.0,0,,RPQOMLLKRHJGFDA87DA,85.36,6.6,0.0,無,004
士林區,土地,新安段三小段256地號,991.74,都市：其他:住宅區(原為保護區，經都市計畫檢討主要計畫變更，但因細部計畫及整體開發作業尚未完成，尚未能准許依變更後計畫用途使用)。,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2100000,2117,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLTJRHJGFEA09DA,0.0,0.0,0.0,無,005
中山區,房地(土地+建物),臺北市中山區吉林路４３號,177.0,都市：其他:第三種住宅區。,,,1130906,土地1建物2車位0,全,四層,透天厝,,加強磚造,,537.87,4,4,4,有,無,152000000,282596,,0.0,0,,RPTNMLMKRHJGFCA18EA,537.87,0.0,0.0,無,006
南港區,房地(土地+建物)+車位,臺北市南港區市民大道八段５２７號二樓,20.22,住,,,1130903,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130220,97.08,2,1,1,有,無,22042446,248542,其他,16.44,2000000,因面積增加，新增392446元預售屋、或土地及建物分件登記案件；,RPQNMLLKRHJGFDA87EA,46.08,0.97,5.17,有,
南港區,房地(土地+建物),臺北市南港區市民大道八段５２５號,12.42,住,,,1130902,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1130220,50.45,1,0,1,有,無,22440356,444804,,0.0,0,因面積增加，增加金額440356元預售屋、或土地及建物分件登記案件；,RPRNMLLKRHJGFDA97EA,31.1,0.0,0.0,有,
士林區,房地(土地+建物),臺北市士林區重慶北路四段２３４號六樓,8.92,都市：其他:第三之二種住宅區。,,,1130905,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740402,62.769999999999996,5,0,5,有,無,13100000,208732,,0.0,0,買賣1/2,RPPNMLMKRHJGFEA97EA,46.94,0.0,7.46,有,007
士林區,土地,溪洲段二小段184地號,65.9,都市：其他:【發生例外】找不到此地段之判斷式!,,,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5083374,77138,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLNKRHJGFEA38EA,0.0,0.0,0.0,無,008
萬華區,土地,萬大段二小段370地號,22.0,都市：其他:道路用地(公共設施用地)。56/8/25,,,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1642047,74639,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；協議價購；,RPTNMLTKQHJGFBA58DA,0.0,0.0,0.0,無,
萬華區,土地,萬大段二小段366地號,20.0,都市：其他:道路用地(公共設施用地)。56/8/25,,,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1254000,62700,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；協議價購；,RPTNMLKMQHJGFBA87DA,0.0,0.0,0.0,無,
萬華區,土地,萬大段一小段142地號,7.88,都市：其他:道路用地(公共設施用地)。68/12/11,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,716175,90885,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；協議價購；,RPXOMLKMQHJGFBA38DA,0.0,0.0,0.0,無,009
內湖區,土地,東湖段六小段421地號,127.07,都市：其他:公園用地(公共設施用地)。58/8/22,,,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2218249,17457,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；協議價購；,RPRNMLTLQHJGFCA58DA,0.0,0.0,0.0,無,010
內湖區,土地,文德段一小段72地號,26.88,都市：其他:公園用地(公共設施用地)。64/7/8,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1161653,43216,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；協議價購；,RPPOMLKMQHJGFCA67DA,0.0,0.0,0.0,無,011
內湖區,土地,文德段一小段72地號,13.44,都市：其他:公園用地(公共設施用地)。64/7/8,,,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,580827,43216,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；協議價購；,RPQOMLKMQHJGFCA77DA,0.0,0.0,0.0,無,011
內湖區,土地,文德段一小段72地號,13.44,都市：其他:公園用地(公共設施用地)。64/7/8,,,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,580827,43216,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；協議價購；,RPROMLKMQHJGFCA87DA,0.0,0.0,0.0,無,011
信義區,房地(土地+建物),臺北市信義區忠孝東路四段５００號八樓之３,18.91,住,,,1130906,土地2建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660324,166.65,1,2,2,有,有,51250000,307531,,0.0,0,,RPQNMLQJRHJGFDA18DA,141.07,0.0,11.8,有,
中山區,房地(土地+建物),臺北市中山區中山北路二段７７巷２０號九樓之１,6.37,商,,,1130906,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120308,62.65,2,1,2,有,有,24700000,394254,,0.0,0,,RPPNMLSKRHJGFCA28DA,35.15,2.42,3.22,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區安泰街８３巷７號五樓,21.54,住,,,1130906,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840330,102.22,3,2,1,有,有,15000000,146742,坡道機械,16.67,0,,RPQNMLSKRHJGFCA48EA,86.74,2.35,7.49,有,
士林區,房地(土地+建物),臺北市士林區承德路四段３巷１９號二樓,6.33,都市：其他:道路用地(公共設施用地)。,,,1130909,土地2建物1車位0,二層,二層,公寓(5樓含以下無電梯),,加強磚造,,11.04,2,2,1,有,無,1700000,153986,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKRHJGFEA68EA,11.04,0.0,0.0,無,
文山區,房地(土地+建物),臺北市文山區和平東路四段８８巷１０號三樓,60.77,都市：其他:第參類住宅用地(萬芳社區特定專用區)。,,,1130804,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770610,116.41,3,2,2,有,無,14500000,124560,,0.0,0,其他增建；,RPQNMLNLQHJGFAA67DA,96.22,0.0,9.02,無,
文山區,房地(土地+建物),臺北市文山區辛亥路四段１０１巷２３弄１３號,57.0,住,,,1130808,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,66.22,4,2,3,有,無,18400000,277862,,0.0,0,陽台外推；頂樓加蓋；,RPXNMLMJRHJGFAA18DA,66.22,0.0,0.0,無,014
文山區,房地(土地+建物)+車位,臺北市文山區汀州路四段２８５號十二樓,20.59,商,,,1130823,土地1建物1車位1,十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1120420,233.54,4,2,3,有,有,56580000,271690,坡道平面,36.33,3000000,,RPWNMLNJRHJGFAA18DA,123.51,0.0,10.62,有,
文山區,車位,臺北市文山區溪洲街６３號等共有部分,0.2,住,,,1130813,土地1建物1車位1,,,其他,,,,39.87,0,0,0,無,有,2000000,,坡道平面,39.87,2000000,僅車位交易；,RPPNMLOJRHJGFAA57DA,0.0,0.0,0.0,有,
中正區,車位,臺北市中正區汀州路一段３４８號等共有部分,0.92,住,,,1130808,土地1建物1車位2,一層,二十三層,其他,一般零售業甲組,鋼筋混凝土造,1081202,77.57,0,0,0,無,有,6000000,,坡道平面,77.58,6000000,建物為共有持分產權僅車位交易；,RPPNMLRJRHJGFAA87DA,0.0,0.0,0.0,有,015
中正區,車位,臺北市中正區汀州路一段３４８號等共有部分,0.46,住,,,1130809,土地1建物1車位1,一層,二十三層,其他,一般零售業甲組,鋼筋混凝土造,1081202,38.79,0,0,0,無,有,2600000,,坡道平面,38.79,2600000,建物為共有持分產權僅車位交易；,RPQNMLRJRHJGFAA97DA,0.0,0.0,0.0,有,015
大同區,土地,市府段一小段403-1地號,10.0,都市：其他:道路用地(公共設施用地)。53/7/15,,,1130828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1089000,108900,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；協議價購；,RPPNMLSKQHJGFBA08DA,0.0,0.0,0.0,無,
萬華區,土地,福星段四小段435-8地號,157.04,都市：其他:道路用地(公共設施用地)。60/9/20,,,1130826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17006956,108297,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；協議價購；,RPRNMLSKQHJGFBA28DA,0.0,0.0,0.0,無,017
萬華區,土地,雙園段二小段62地號,40.4,都市：其他:道路用地(公共設施用地)。56/8/25,,,1130826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2912688,72096,,0.0,0,113年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；協議價購；,RPPOMLTKQHJGFBA28DA,0.0,0.0,0.0,無,018
