編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQOMLLKRHJGFDA87DA,33,14.58,共有部分,鋼筋混凝土造,81年2月21日,五層,,持分移轉
RPQOMLLKRHJGFDA87DA,33,91.96,商業用,鋼筋混凝土造,81年2月21日,五層,一層 平台,全筆移轉
RPSNMLTJRHJGFFA88DA,45,31.34,見使用執照,鋼筋混凝土造,68年10月24日,七層,地下層,持分移轉
RPSNMLTJRHJGFFA88DA,45,2.38,共有部分,鋼筋混凝土造,68年10月24日,七層,,持分移轉
RPTNMLMKRHJGFCA18EA,,273.27,,加強磚造,,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPTNMLMKRHJGFCA18EA,,264.60,,加強磚造,,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPUNMLTJRHJGFDA88DA,54,66.12,住家用,加強磚造,59年6月3日,四層,二層,全筆移轉
RPQNMLLKRHJGFDA87EA,1,52.22,多戶住宅（Ｈ２）,鋼筋混凝土造,113年2月20日,七層,二層 陽臺 雨遮,全筆移轉
RPQNMLLKRHJGFDA87EA,1,44.86,本共有部分之項目有：安全梯、電梯、走廊、梯廳、汽車升降機、防空避難室緊急出口爬梯、防空避難室、水錶間、樓梯間、水箱、機械室、消防屋頂水箱、電信機房、受電箱、台電配電場所、發電機進風管道、發電機排風管道、發電機房及消防機房等１９項,鋼筋混凝土造,113年2月20日,七層,,持分移轉
RPRNMLLKRHJGFDA97EA,1,31.10,一般零售業甲組（Ｇ３）,鋼筋混凝土造,113年2月20日,七層,一層,全筆移轉
RPRNMLLKRHJGFDA97EA,1,19.35,本共有部分之項目有：安全梯、電梯、走廊、梯廳、汽車升降機、防空避難室緊急出口爬梯、防空避難室、水錶間、樓梯間、水箱、機械室、消防屋頂水箱、電信機房、受電箱、台電配電場所、發電機進風管道、發電機排風管道、發電機房及消防機房等１９項,鋼筋混凝土造,113年2月20日,七層,,持分移轉
RPPNMLMKRHJGFEA97EA,39,54.40,住家用,鋼筋混凝土造,74年4月2日,十二層,六層 陽臺,持分移轉
RPPNMLMKRHJGFEA97EA,39,8.37,共有部分,鋼筋混凝土造,74年4月2日,十二層,,持分移轉
RPQNMLQJRHJGFDA18DA,47,152.87,住家用,鋼筋混凝土造,66年3月24日,十層,八層 陽臺,全筆移轉
RPQNMLQJRHJGFDA18DA,47,11.65,共有部分,鋼筋混凝土造,66年3月24日,十層,,持分移轉
RPQNMLQJRHJGFDA18DA,47,2.13,共有部分,鋼筋混凝土造,66年3月24日,十層,,持分移轉
RPQNMLSKRHJGFCA48EA,29,79.91,住家用,鋼筋混凝土造,84年3月30日,十二層,五層 陽臺 花台,全筆移轉
RPQNMLSKRHJGFCA48EA,29,16.67,防空避難室兼停車場,鋼筋混凝土造,84年3月30日,十二層,地下層,持分移轉
RPQNMLSKRHJGFCA48EA,29,5.64,共有部分,鋼筋混凝土造,84年3月30日,十二層,,持分移轉
RPPNMLTKRHJGFEA68EA,,11.04,,加強磚造,,二層,二層,持分移轉
RPPNMLSKRHJGFCA28DA,1,40.79,集合住宅,鋼筋混凝土造,112年3月8日,十三層,九層 陽臺 雨遮,全筆移轉
RPPNMLSKRHJGFCA28DA,1,21.86,本共有部分之項目有：梯廳、管委會使用空間、行動不便者電梯、電梯、安全梯兼行動不便者、Ａ梯安全梯、客貨梯電梯、進氣管道、排風管道、Ｂ梯安全梯兼行動不便者、陽台、梯間、消防水箱、蓄水池、電梯機房、電表室、台電配電場所、停車排風管道、排風機房、防空避難室、自行車停放區、垃圾分類空間、緊急發電機室、機車停車空間、客貨梯機房、機電設備空間（供電信使用）、消防幫浦室及雨水回收機房等２８項。,鋼筋混凝土造,112年3月8日,十三層,,持分移轉
RPQNMLNLQHJGFAA67DA,36,105.24,住家用,鋼筋混凝土造,77年6月10日,四層,三層 陽臺,全筆移轉
RPQNMLNLQHJGFAA67DA,36,11.17,共有部分,鋼筋混凝土造,77年6月10日,四層,,持分移轉
RPXNMLMJRHJGFAA18DA,,66.22,住家用,加強磚造,,二層,一層 二層 陽臺,全筆移轉
RPPNMLOJRHJGFAA57DA,,39.87,共有部分，本共有部分之項目有車道、汽車車道、無障礙安全梯、一般安全梯（丁）、防空避難室兼停車空間、停車空間、停車場進氣、停車場排氣管道等８項。,鋼筋混凝土造,113年2月19日,十五層,,持分移轉
RPWNMLNJRHJGFAA18DA,1,134.13,多戶住宅,鋼骨鋼筋混凝土造,112年4月20日,二十二層,十二層 陽臺,全筆移轉
RPWNMLNJRHJGFAA18DA,1,99.41,共有部分，本共有部分之項目有地面層挑空公共開放空間、無障礙廁所、甲２排煙室、進風管道、排煙管道、樓梯間、甲１無障礙昇降機、甲２緊急用昇降機、甲門廳、甲１特別安全梯（無障礙樓梯）、甲１排煙室兼梯廳、甲２特別安全梯（無障礙樓梯）、甲３安全梯（無障礙樓梯）、乙門廳、乙１特別安全梯（無障礙樓梯）、乙２排煙室、乙１無障礙昇降機、乙２緊急用昇降機、乙２特別安全梯（無障礙樓梯）、陽臺、管委會使用空間、機械室（甲消防泵浦室）、甲梯間、甲４安全梯、甲不鏽鋼消防水箱、甲機械室、甲水錶室、乙梯間、甲１排煙室、乙１排煙室、機械室（乙消防泵浦室）、乙４安全梯、乙水錶室、乙機械室、乙不鏽鋼消防水箱、甲水箱、乙水箱、乙３安全梯、防災中心、乙梯廳、甲梯廳、地下一層全部、地下二層全部、地下三層全部、地下四層全部等４５項。,鋼骨鋼筋混凝土造,112年4月20日,二十二層,,持分移轉
RPQNMLRJRHJGFAA97DA,5,.07,一般零售業甲組,鋼筋混凝土造,108年12月2日,二十三層,一層,持分移轉
RPQNMLRJRHJGFAA97DA,5,.04,共有部分，本共有部分之項目有門廳、管理員室、管委會使用空間、庚梯、走道、Ａ棟次門廳、Ｂ棟次門廳、台電配電場所、Ａ棟電錶室、Ｂ棟電錶室、防災中心、停獎癸梯、癸梯、丙梯、甲梯、乙梯、丁梯、行動不便者電梯、梯廳、排風管道、進風管道、排風機房、垃圾處理室、機電設備空間、一般安全梯、通道、泳池機房、游泳池、進風機房、發電機機房、機電設備空間（供電信用）、雨水回收機房、Ａ棟水箱、Ｂ棟水箱、水箱機房、機械室、消防泵浦室、發電機排風管道及發電機進風管道等共３９項,鋼筋混凝土造,108年12月2日,二十三層,,持分移轉
RPQNMLRJRHJGFAA97DA,5,38.68,共有部分，本共有部分之項目有癸梯、汽機車坡道、停車空間、防空避難室兼停車空間、單車道及雙車道等共６項,鋼筋混凝土造,108年12月2日,二十三層,,持分移轉
RPTNMLRLQHJGFBA48DA,49,32.51,住家用,鋼筋混凝土造,64年5月23日,五層,二層,全筆移轉
RPTNMLRLQHJGFBA48DA,49,5.80,共有部分,鋼筋混凝土造,64年5月23日,五層,,持分移轉
RPSPMLNJRHJGFCA18DA,1,43.08,多戶住宅（集合住宅）,鋼筋混凝土造,112年11月16日,十五層,四層 陽臺,全筆移轉
RPSPMLNJRHJGFCA18DA,1,24.03,本共有部分項目有：：安全梯Ａ、無障礙樓梯、安全梯Ｂ、行動不便者電梯、梯廳、客貨用升降機、汽車升降機、停車空間、騎樓、樓梯間、機房、消防水箱、水箱、安全梯Ｃ、安全梯Ｄ、發電機進氣、防空避難室兼停車空間、台電配電場所、發電機室、電信室、消防泵浦室、雨水回收池、汽機車升降機房、消防水池、不鏽鋼水箱等２５項。,鋼筋混凝土造,112年11月16日,十五層,,持分移轉
RPUNMLQJRHJGFCA48DA,41,22.62,住家用,鋼筋混凝土造,72年3月1日,七層,五層 露台,全筆移轉
RPUNMLQJRHJGFCA48DA,41,6.58,共有部分,鋼筋混凝土造,72年3月1日,七層,,持分移轉
RPPNMLRJRHJGFAA87DA,5,.13,一般零售業甲組,鋼筋混凝土造,108年12月2日,二十三層,一層,持分移轉
RPPNMLRJRHJGFAA87DA,5,.08,共有部分，本共有部分之項目有門廳、管理員室、管委會使用空間、庚梯、走道、Ａ棟次門廳、Ｂ棟次門廳、台電配電場所、Ａ棟電錶室、Ｂ棟電錶室、防災中心、停獎癸梯、癸梯、丙梯、甲梯、乙梯、丁梯、行動不便者電梯、梯廳、排風管道、進風管道、排風機房、垃圾處理室、機電設備空間、一般安全梯、通道、泳池機房、游泳池、進風機房、發電機機房、機電設備空間（供電信用）、雨水回收機房、Ａ棟水箱、Ｂ棟水箱、水箱機房、機械室、消防泵浦室、發電機排風管道及發電機進風管道等共３９項,鋼筋混凝土造,108年12月2日,二十三層,,持分移轉
RPPNMLRJRHJGFAA87DA,5,77.37,共有部分，本共有部分之項目有癸梯、汽機車坡道、停車空間、防空避難室兼停車空間、單車道及雙車道等共６項,鋼筋混凝土造,108年12月2日,二十三層,,持分移轉
RPPOMLQJRHJGFBA97DA,,52.96,多戶住宅,鋼筋混凝土造,113年3月27日,十五層,七層 陽臺,全筆移轉
RPPOMLQJRHJGFBA97DA,,58.66,本共有部分之項目有梯廳、排煙室、戶外安全梯、特別安全梯、１１人份無障礙升降機、１１人份緊急升降機、管委會使用空間、一般安全梯、車道、發電機室、防空避難室兼停車空間、機械轉盤、停等空間、汽車升降機、台電維修通道、台電配電場所、受電箱、電信室、停車空間、雨水貯留設施、消防水池（消防專用）、油壓機室、消防幫補室、雙層機械停車位、蓄水池、消防水箱、水箱、機房、樓梯間等２９項。,鋼筋混凝土造,113年3月27日,十五層,,持分移轉
RPSOMLTJRHJGFDA78DA,44,131.96,住家用,鋼筋混凝土造,69年12月3日,五層,二層 陽臺,全筆移轉
RPVNMLTJRHJGFDA98DA,48,36.26,見使用執照,鋼筋混凝土造,65年9月9日,七層,一層 騎樓,全筆移轉
RPVNMLTJRHJGFDA98DA,48,6.95,共有部分,鋼筋混凝土造,65年9月9日,七層,,持分移轉
RPSOMLMLQHJGFEA28DA,40,102.19,住家用,鋼筋混凝土造,73年10月13日,五層,三層 陽臺,全筆移轉
RPPPMLTKQHJGFEA68DA,24,26.42,商業用,鋼筋混凝土造,89年3月29日,十七層,十四層 陽臺,全筆移轉
RPSOMLMLQHJGFEA28DA,40,1.80,共有部分,鋼筋混凝土造,73年10月13日,五層,,持分移轉
RPPPMLTKQHJGFEA68DA,24,3.76,共有部分,鋼筋混凝土造,89年3月29日,十七層,,持分移轉
RPPPMLTKQHJGFEA68DA,24,6.29,共有部分,鋼筋混凝土造,89年3月29日,十七層,,持分移轉
RPPPMLTKQHJGFEA68DA,24,1.01,共有部分,鋼筋混凝土造,89年3月29日,十七層,,持分移轉
RPVNMLTLQHJGFEA56DA,35,97.44,住家用,鋼筋混凝土造,78年7月14日,五層,四層 陽臺 雨遮,全筆移轉
RPVNMLTLQHJGFEA56DA,35,2.34,見使用執照,鋼筋混凝土造,78年7月14日,五層,地下二層,持分移轉
RPVNMLTLQHJGFEA56DA,35,9.27,共有部分,鋼筋混凝土造,78年7月14日,五層,,持分移轉
RPVNMLTLQHJGFEA56DA,35,.01,共有部分,鋼筋混凝土造,78年7月14日,五層,,持分移轉
RPQOMLLLQHJGFEA97DA,14,27.34,本共有部分項目有１樓車道、地下１．２層停車位、地下三層停車空間等３項。,鋼筋混凝土造,99年4月16日,十二層,,持分移轉
RPQOMLLLQHJGFEA97DA,14,.07,一般零售業（甲組）,鋼筋混凝土造,99年4月16日,十二層,一層,持分移轉
RPQOMLLLQHJGFEA97DA,14,.00,共有部分一層樓電梯間梯廳、門廳、機車車道、停車場專用廁所、管理員室、機車停放空間、陽台、雨遮、二至十二層樓電梯間、雨遮、屋頂突出物樓電梯間、雨遮、電梯機械室、水箱、消防水箱、地下一層緊急發電機室、機械室（電信用）、機車停車空間、台電配電室、電樓梯間、防空避難室兼停車空間、地下二層電樓梯間、機車停車空間、機車位、地下三層機械室、電樓梯間、水箱、機車停車空間、機車位及消防幫浦室共３０項。,鋼筋混凝土造,99年4月16日,十二層,,持分移轉
RPUNMLLMQHJGFEA38DA,11,116.10,自由業事務所,鋼筋混凝土造,102年11月8日,十九層,四層 陽臺 雨遮,全筆移轉
RPUNMLLMQHJGFEA38DA,11,59.44,本共有部分之項目有緩衝空間、乙特梯、緊急昇降機供行動不便、門廳（Ｂ）、門廳（Ａ）、甲特梯、廁所、發電機房、排風管道、丙梯、管道間１、電梯機坑、管道間２、管道間３、管道間４、管道間５、管道間６、進風管道、排煙管道、排煙室、緊急昇降機、梯廳、走廊、自來水箱、中繼消防泵浦室、消防水箱、管理委員會使用空間、陽台、雨遮、甲梯、乙梯、消防水池、機房、水箱、電梯機械房、管理員室、防災中心、景觀水池泵浦室、受電箱、台電配電場所、電表室、機房（供電信使用）、發電機房、梯間、（Ａ）蓄水池、（Ｂ）蓄水池及消防泵浦室等４６項,鋼筋混凝土造,102年11月8日,十九層,,持分移轉
RPUNMLLMQHJGFEA38DA,11,45.98,本共有部分之項目有車道、停車空間兼防空避難室及停車空間等３項,鋼筋混凝土造,102年11月8日,十九層,,持分移轉
RPSNMLQJRHJGFEA48DA,16,.06,文康室（第十六組文康活動中心）,鋼筋混凝土造,97年10月13日,十四層,一層,持分移轉
RPSNMLQJRHJGFEA48DA,16,114.08,住家用,鋼筋混凝土造,97年10月13日,十四層,十一層 陽臺 雨遮,全筆移轉
RPSNMLQJRHJGFEA48DA,16,40.00,共有部分,鋼筋混凝土造,97年10月13日,十四層,,持分移轉
RPSNMLQJRHJGFEA48DA,16,32.42,共有部分,鋼筋混凝土造,97年10月13日,十四層,,持分移轉
RPSNMLQJRHJGFEA48DA,16,21.55,共有部分,鋼筋混凝土造,97年10月13日,十四層,,持分移轉
RPQNMLQJRHJGFBA08EA,49,6.24,共有部分,鋼筋混凝土造,64年7月23日,五層,,持分移轉
RPQNMLTJRHJGFCA48EA,31,99.73,住家用,鋼筋混凝土造,82年12月31日,八層,六層 陽臺 花台,全筆移轉
RPQNMLQJRHJGFBA08EA,49,30.37,住家用,鋼筋混凝土造,64年7月23日,五層,五層,全筆移轉
RPQNMLTJRHJGFCA48EA,31,12.80,共有部分,鋼筋混凝土造,82年12月31日,八層,,持分移轉
RPQNMLTJRHJGFCA48EA,31,36.89,共有部分,鋼筋混凝土造,82年12月31日,八層,,持分移轉
RPRNMLTJRHJGFDA68EA,,34.19,一般零售業甲組（Ｇ３）,鋼筋混凝土造,113年2月20日,七層,一層,全筆移轉
RPRNMLTJRHJGFDA68EA,,37.32,本共有部分之項目有：安全梯、電梯、走廊、梯廳、汽車升降機、防空避難室緊急出口爬梯、防空避難室、水錶間、樓梯間、水箱、機械室、消防屋頂水箱、電信機房、受電箱、台電配電場所、發電機進風管道、發電機排風管道、發電機房及消防機房等１９項,鋼筋混凝土造,113年2月20日,七層,,持分移轉
RPVNMLNJRHJGFFA58DA,43,16.16,共有部分,鋼筋混凝土造,70年12月30日,十六層,,持分移轉
RPVNMLNJRHJGFFA58DA,43,110.15,住家用,鋼筋混凝土造,70年12月30日,十六層,七層 陽臺,全筆移轉
RPRNMLPJQHJGFAA77DA,57,124.85,住家用,加強磚造,56年11月1日,四層,三層 陽臺,全筆移轉
RPUNMLQJRHJGFAA28DA,16,24.04,住家用,鋼筋混凝土造,97年3月7日,十四層,十二層 雨遮,全筆移轉
RPUNMLQJRHJGFAA28DA,16,12.79,共有部分,鋼筋混凝土造,97年3月7日,十四層,,持分移轉
RPWNMLSLQHJGFAA78DA,53,76.22,住家用,鋼筋混凝土造,61年2月1日,四層,四層,全筆移轉
RPPOMLTJRHJGFEA68EA,53,123.30,住商用,加強磚造,60年3月12日,四層,一層 地下層,全筆移轉
RPUNMLLKRHJGFAA87DA,49,55.80,住家用,鋼筋混凝土造,64年12月2日,四層,二層 陽臺,全筆移轉
RPPOMLTJRHJGFAA18DA,49,109.31,集合住宅,鋼筋混凝土造,64年12月9日,四層,三層 陽臺,持分移轉
RPPNMLLKRHJGFAA37DA,16,19.50,住家用,鋼筋混凝土造,97年5月23日,十層,九層 雨遮,全筆移轉
RPPNMLLKRHJGFAA37DA,16,5.51,共有部分,鋼筋混凝土造,97年5月23日,十層,,持分移轉
