編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLKKRHJGFAA77DA,萬慶段一小段,19.33,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參之壹種住宅區)。,4014,800,持分移轉,03830000
RPQOMLLKRHJGFDA87DA,雅祥段一小段,12.55,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,2074,99,持分移轉,02280020
RPQOMLLKRHJGFDA87DA,雅祥段一小段,22.77,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,2074,99,持分移轉,05140000
RPSNMLKKRHJGFEA08EA,振興段三小段,.01,都市：其他:道路用地(公共設施用地)。65/6/18,20250,1,持分移轉,10080000
RPVNMLKKRHJGFEA28DA,菁山段二小段,1505.22,都市：其他:保護區。,1,1,全筆移轉,04130000
RPSNMLTJRHJGFFA88DA,瑞安段二小段,2.53,都市：其他:第三種住宅區。,10000,37,持分移轉,04970000
RPSNMLTJRHJGFFA88DA,瑞安段二小段,.36,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,10000,37,持分移轉,04970001
RPSNMLTJRHJGFFA88DA,瑞安段二小段,.11,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,10000,37,持分移轉,04980000
RPSNMLTJRHJGFFA88DA,瑞安段二小段,.11,都市：其他:第三種住宅區。,10000,37,持分移轉,05020000
RPSNMLTJRHJGFFA88DA,瑞安段二小段,.17,都市：其他:第三種住宅區。,10000,37,持分移轉,05380000
RPSNMLTJRHJGFFA88DA,瑞安段二小段,.10,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,10000,37,持分移轉,05380001
RPWNMLKKRHJGFAA97DA,公訓段二小段,2.00,都市：其他:第三種住宅區。,1,1,全筆移轉,02460006
RPRNMLKKRHJGFEA97EA,三玉段二小段,19.60,都市：其他:道路用地(公共設施用地)。66/1/12,1,1,全筆移轉,03670001
RPRNMLKKRHJGFEA97EA,三玉段二小段,21.56,都市：其他:道路用地(公共設施用地)。66/1/12,1,1,全筆移轉,03670002
RPTNMLMKRHJGFCA18EA,長安段三小段,177.00,都市：其他:第三種住宅區。,1,1,全筆移轉,05880000
RPVNMLTJRHJGFEA09DA,新安段三小段,991.74,都市：其他:住宅區(原為保護區，經都市計畫檢討主要計畫變更，但因細部計畫及整體開發作業尚未完成，尚未能准許依變更後計畫用途使用)。,10000,1723,持分移轉,02560000
RPUNMLTJRHJGFDA88DA,玉成段一小段,20.00,都市：其他:第參種工業區(不得作住宅使用)。,4,1,持分移轉,04620000
RPQNMLLKRHJGFDA87EA,南港段二小段,20.22,都市：其他:第三種住宅區。,1000000,54350,持分移轉,04850000
RPRNMLLKRHJGFDA97EA,南港段二小段,12.42,都市：其他:第三種住宅區。,1000000,33380,持分移轉,04850000
RPXOMLKMQHJGFBA38DA,萬大段一小段,7.88,都市：其他:道路用地(公共設施用地)。68/12/11,400,75,持分移轉,01420000
RPPNMLMKRHJGFEA97EA,福順段一小段,8.92,都市：其他:第三之二種住宅區。,20000,119,持分移轉,01500000
RPPNMLMKRHJGFEA97EA,福順段一小段,.01,都市：其他:第三種住宅區。,20000,119,持分移轉,01500002
RPTNMLTKQHJGFBA58DA,萬大段二小段,22.00,都市：其他:道路用地(公共設施用地)。56/8/25,2,1,持分移轉,03700000
RPSNMLNKRHJGFEA38EA,溪洲段二小段,65.90,都市：其他:【發生例外】找不到此地段之判斷式!,80,1,持分移轉,01840000
RPTNMLKMQHJGFBA87DA,萬大段二小段,20.00,都市：其他:道路用地(公共設施用地)。56/8/25,2,1,持分移轉,03660000
RPPOMLKMQHJGFCA67DA,文德段一小段,26.88,都市：其他:公園用地(公共設施用地)。64/7/8,1249920,15624,持分移轉,00720000
RPRNMLTLQHJGFCA58DA,東湖段六小段,127.07,都市：其他:公園用地(公共設施用地)。58/8/22,90000,500,持分移轉,04210000
RPROMLKMQHJGFCA87DA,文德段一小段,13.44,都市：其他:公園用地(公共設施用地)。64/7/8,1249920,7812,持分移轉,00720000
RPQOMLKMQHJGFCA77DA,文德段一小段,13.44,都市：其他:公園用地(公共設施用地)。64/7/8,138880,868,持分移轉,00720000
RPQNMLQJRHJGFDA18DA,逸仙段二小段,16.84,都市：其他:第四之一種住宅區(特)。,10000,101,持分移轉,03630000
RPQNMLQJRHJGFDA18DA,逸仙段二小段,2.07,都市：其他:第四種住宅區(特)。,10000,101,持分移轉,03630001
RPQNMLSKRHJGFCA48EA,東湖段五小段,21.54,都市：其他:第三種住宅區。,20000,140,持分移轉,02820000
RPPNMLSKRHJGFCA28DA,中山段三小段,6.37,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,10000,129,持分移轉,02530000
RPPNMLTKRHJGFEA68EA,百齡段六小段,1.06,都市：其他:道路用地(公共設施用地)。,18,1,持分移轉,06250000
RPPNMLTKRHJGFEA68EA,百齡段六小段,5.28,都市：其他:第三種住宅區。,18,1,持分移轉,06260000
RPQNMLNLQHJGFAA67DA,萬芳段一小段,60.77,都市：其他:第參類住宅用地(萬芳社區特定專用區)。,10000,251,持分移轉,00530000
RPXNMLMJRHJGFAA18DA,興泰段一小段,46.00,都市：其他:第二種住宅區。,1,1,全筆移轉,04290000
