編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLTJRHJGFFA88DA,坡道平面,2500000,33.72,地下一樓
RPQNMLLKRHJGFDA87EA,其他,2000000,16.44,地下三樓
RPQNMLSKRHJGFCA48EA,坡道機械,0,16.67,地下一樓
RPPNMLOJRHJGFAA57DA,坡道平面,2000000,39.87,地下四樓
RPWNMLNJRHJGFAA18DA,坡道平面,3000000,36.33,地下四樓
RPQNMLRJRHJGFAA97DA,坡道平面,2600000,38.79,地下二樓
RPPNMLRJRHJGFAA87DA,坡道平面,3000000,38.79,地下一樓
RPPNMLRJRHJGFAA87DA,坡道平面,3000000,38.79,地下一樓
RPPOMLQJRHJGFBA97DA,升降平面,0,32.59,地下三樓
RPQOMLLLQHJGFEA97DA,坡道機械,2200000,27.42,地下三樓
RPUNMLLMQHJGFEA38DA,坡道平面,3200000,45.98,地下三樓
RPSNMLQJRHJGFEA48DA,坡道平面,2500000,40.06,地下三樓
RPQNMLTJRHJGFCA48EA,其他,0,,無固定樓層
RPRNMLTJRHJGFDA68EA,其他,1960000,16.44,地下三樓
RPRPMLPKQHJGFCA28DA,坡道平面,2500000,37.47,地下四樓
RPUNMLQLQHJGFEA78DA,坡道平面,0,38.18,地下三樓
RPRNMLKKRHJGFFA97DA,坡道平面,0,,地下一樓
RPQOMLKMQHJGFEA97DA,坡道平面,0,24.62,地下二樓
RPXNMLKKRHJGFAA08DA,坡道平面,2040000,,地下二樓
RPQOMLKKRHJGFAA47DA,升降機械,0,20.20,地下二樓
RPUOMLKKRHJGFAA87DA,坡道機械,1000000,4.93,地下一樓
RPQPMLTJQHJGFCA48DA,坡道平面,2500000,32.79,地下一樓
RPRNMLQLQHJGFCA28DA,坡道機械,0,14.62,地下一樓
RPPOMLKMQHJGFDA77DA,坡道平面,3000000,,地下二樓
RPSNMLTJRHJGFDA68DA,坡道平面,0,39.97,地下三樓
RPRPMLKMQHJGFFA28DA,升降機械,2450000,18.60,地下一樓
RPRNMLLKRHJGFAA67EA,坡道平面,2900000,38.78,地下二樓
RPPNMLLKRHJGFEA87EA,坡道平面,0,,地下三樓
RPUNMLNLQHJGFCA28DA,坡道平面,1820000,,地下四樓
RPSNMLTJRHJGFAA38DA,升降機械,0,11.01,地下二樓
RPRNMLLJRHJGFCA67DA,坡道平面,1400000,,地下二樓
RPVNMLMKRHJGFCA28DA,坡道平面,2500000,34.12,地下一樓
RPSOMLMKRHJGFDA18DA,升降機械,2200000,20.57,地下一樓
RPOOMLKMQHJGFAA37DA,升降平面,0,,地下一樓
RPTNMLQKRHJGFCA48DA,一樓平面,0,,一樓
RPWNMLNKRHJGFCA48DA,其他,2000000,6.20,一樓
RPPOMLNKRHJGFCA87DA,其他,2000000,23.51,地下四樓
RPOPMLKKRHJGFDA67DA,坡道平面,3500000,39.97,地下三樓
RPUNMLSLQHJGFEA98DA,升降機械,1450000,17.42,地下三樓
RPRNMLQKRHJGFCA38EA,坡道平面,2950000,40.28,地下四樓
RPTNMLNJRHJGFCA08DA,升降平面,3000000,52.71,地下二樓
RPUNMLQKRHJGFCA58DA,其他,2000000,23.51,地下四樓
