鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
大安區,房地(土地+建物),臺北市大安區民輝里建國南路一段,6.42,住,,,1130812,土地26建物1車位0,四層,22,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,68.87,1,2,1,有,無,33400000,484972,,0.0,0,1.雨遮計坪不計價銷售坪數為20.83坪,RPTNMLMKQHJGFFA38DB,統創翼,A8-4F號,
中正區,房地(土地+建物)+車位,臺北市中正區博愛路110號等,2.18,商,,,1130811,土地6建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,41.32,1,1,1,有,無,13900000,363405,升降機械,9.95,2500000,,RPPNMLNKQHJGFBA57CB,博愛賦御,5F-A7號,
北投區,房地(土地+建物)+車位,臺北市北投區懷德街66巷21號,21.84,住,,,1130811,土地4建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.02,2,2,1,有,無,33980000,294643,其他,13.5,2300000,,RPUNMLPKQHJGFEA58CB,岳泰明德,A1-5F號,
信義區,房地(土地+建物),臺北市信義區松隆路9巷30弄,6.81,住,,,1130814,土地2建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,35.8,1,1,1,有,無,13200000,368715,,0.0,0,,RPRNMLRKQHJGFDA38CB,信義WOW,A1號,
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路三段68號,19.97,商,,,1130814,土地26建物1車位1,十八層,21,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,259.55,4,2,2,有,無,96250000,425037,坡道平面,42.51,4000000,雨遮不計價,RPPNMLTKQHJGFAA08CB,北城‧羅斯福,B-18F號,
文山區,房地(土地+建物)+車位,臺北市文山區羅斯福路六段304號,12.88,商,,,1130811,土地5建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.51,2,2,1,有,無,30900000,322876,升降平面,38.17,2700000,,RPSNMLTKQHJGFAA38CB,丰景,C7-7F號,
中山區,房地(土地+建物)+車位,臺北市中山區新福里吉林路329巷15號,20.18,住,,,1130813,土地39建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.39,2,2,1,有,無,53370000,440039,坡道平面,31.4,3650000,本戶雨遮2.36坪雨遮不計價,RPPNMLTKQHJGFCA28CB,鄉林中山賦,A棟A2-7F號,
中山區,房地(土地+建物)+車位,臺北市中山區新福里吉林路329巷15號,27.11,住,,,1130813,土地39建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.37,3,2,2,有,無,68880000,430216,坡道平面,31.4,3500000,本戶雨遮0.91坪雨遮不計價,RPQNMLTKQHJGFCA38CB,鄉林中山賦,A棟A3-13F號,
松山區,房地(土地+建物)+車位,臺北市松山區松基里敦化段一小段45號,40.87,住,,,1130814,土地7建物1車位2,七層,23,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,373.35,0,0,0,無,無,191050000,606147,坡道平面,76.64,11200000,,RPPNMLTKQHJGFDA38CB,勤美璞真城仰,B1-07F號,
士林區,房地(土地+建物)+車位,臺北市士林區美崙街11號,20.97,住,,,1130813,土地14建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,144.79,3,2,2,有,無,37150000,305446,坡道平面,33.15,3050000,,RPPNMLTKQHJGFEA48CB,文林君閱,A1號,
大安區,房地(土地+建物)+車位,臺北市大安區義安里信義路四段,6.61,商,,,1130813,土地11建物1車位1,四層,23,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,128.99,1,2,1,有,無,54400000,561598,坡道平面,38.89,3800000,,RPQNMLTKQHJGFFA68CB,耑岫,A2-4F號,
