編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLPKQHJGFEA58CB,振興段三小段,3.55,都市：住,10000,271,持分移轉,00760000
RPUNMLPKQHJGFEA58CB,振興段三小段,6.29,都市：住,10000,271,持分移轉,00860000
RPUNMLPKQHJGFEA58CB,振興段三小段,4.63,都市：住,10000,271,持分移轉,00870000
RPUNMLPKQHJGFEA58CB,振興段三小段,7.37,都市：住,10000,271,持分移轉,00880000
RPPNMLNKQHJGFBA57CB,城中段二小段,.66,都市：商,100000,502,持分移轉,04210000
RPRNMLRKQHJGFDA38CB,雅祥段四小段,6.17,都市：住,100000,2458,持分移轉,02170000
RPPNMLNKQHJGFBA57CB,城中段二小段,.10,都市：商,100000,502,持分移轉,04220000
RPRNMLRKQHJGFDA38CB,雅祥段四小段,.64,都市：住,100000,2458,持分移轉,02180001
RPPNMLTKQHJGFEA48CB,陽明段三小段,.08,都市：住,1000000,16882,持分移轉,03790006
RPPNMLNKQHJGFBA57CB,城中段二小段,.64,都市：商,100000,502,持分移轉,04230000
RPSNMLTKQHJGFAA38CB,萬慶段三小段,3.26,都市：商,100000,2550,持分移轉,02130000
RPPNMLNKQHJGFBA57CB,城中段二小段,.10,都市：商,100000,502,持分移轉,04240000
RPPNMLTKQHJGFEA48CB,陽明段三小段,.08,都市：住,1000000,16882,持分移轉,03790007
RPSNMLTKQHJGFAA38CB,萬慶段三小段,3.26,都市：商,100000,2550,持分移轉,02140000
RPPNMLTKQHJGFEA48CB,陽明段三小段,.08,都市：住,1000000,16882,持分移轉,03790008
RPPNMLTKQHJGFEA48CB,陽明段三小段,.07,都市：住,1000000,16882,持分移轉,03790009
RPPNMLNKQHJGFBA57CB,城中段二小段,.60,都市：商,100000,502,持分移轉,04250000
RPSNMLTKQHJGFAA38CB,萬慶段三小段,3.21,都市：商,100000,2550,持分移轉,02150000
RPPNMLTKQHJGFDA38CB,敦化段一小段,9.17,都市：住,500000,5153,持分移轉,03850000
RPPNMLTKQHJGFEA48CB,陽明段三小段,.07,都市：住,1000000,16882,持分移轉,03790010
RPPNMLNKQHJGFBA57CB,城中段二小段,.09,都市：商,100000,502,持分移轉,04260000
RPPNMLTKQHJGFDA38CB,敦化段一小段,9.75,都市：住,500000,5153,持分移轉,03860000
RPSNMLTKQHJGFAA38CB,萬慶段三小段,2.70,都市：商,100000,2550,持分移轉,02160000
RPPNMLTKQHJGFEA48CB,陽明段三小段,.07,都市：住,1000000,16882,持分移轉,03790011
RPPNMLTKQHJGFDA38CB,敦化段一小段,3.59,都市：住,500000,5153,持分移轉,03870002
RPPNMLTKQHJGFDA38CB,敦化段一小段,14.32,都市：住,500000,5153,持分移轉,03920000
RPSNMLTKQHJGFAA38CB,萬慶段三小段,.43,都市：商,100000,2550,持分移轉,02180000
RPPNMLTKQHJGFEA48CB,陽明段三小段,.01,都市：住,1000000,16882,持分移轉,03790012
RPPNMLTKQHJGFDA38CB,敦化段一小段,1.44,都市：住,500000,5153,持分移轉,03930000
RPPNMLTKQHJGFEA48CB,陽明段三小段,1.05,都市：住,1000000,16882,持分移轉,04180000
RPPNMLTKQHJGFDA38CB,敦化段一小段,1.23,都市：住,500000,5153,持分移轉,03940000
RPPNMLTKQHJGFEA48CB,陽明段三小段,1.11,都市：住,1000000,16882,持分移轉,04190000
RPPNMLTKQHJGFDA38CB,敦化段一小段,1.38,都市：住,500000,5153,持分移轉,03950001
RPPNMLTKQHJGFEA48CB,陽明段三小段,1.11,都市：住,1000000,16882,持分移轉,04200000
RPPNMLTKQHJGFEA48CB,陽明段三小段,1.15,都市：住,1000000,16882,持分移轉,04210000
RPPNMLTKQHJGFEA48CB,陽明段三小段,1.16,都市：住,1000000,16882,持分移轉,04220000
RPPNMLTKQHJGFEA48CB,陽明段三小段,1.20,都市：住,1000000,16882,持分移轉,04230000
RPPNMLTKQHJGFEA48CB,陽明段三小段,13.73,都市：住,1000000,16882,持分移轉,04250000
