編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLPKQHJGFEA58CB,其他,2300000,13.50,地下二樓
RPPNMLNKQHJGFBA57CB,升降機械,2500000,9.95,無固定樓層
RPSNMLTKQHJGFAA38CB,升降平面,2700000,38.17,地下二樓
RPPNMLTKQHJGFDA38CB,坡道平面,5600000,38.32,地下四樓
RPPNMLTKQHJGFDA38CB,坡道平面,5600000,38.32,地下四樓
RPPNMLTKQHJGFEA48CB,坡道平面,3050000,33.15,地下二樓
RPPNMLTKQHJGFAA08CB,坡道平面,4000000,42.51,地下三樓
RPPNMLTKQHJGFCA28CB,坡道平面,3650000,31.40,地下二樓
RPQNMLTKQHJGFCA38CB,坡道平面,3500000,31.40,地下三樓
RPRNMLLLQHJGFBA67CB,塔式車位,2300000,14.19,
RPPNMLKLQHJGFAA27CB,坡道平面,2850000,40.65,地下一樓
RPPNMLKLQHJGFAA27CB,坡道平面,2850000,40.65,地下一樓
RPSNMLLLQHJGFDA97CB,塔式車位,2500000,16.07,
RPRNMLLLQHJGFDA87CB,塔式車位,2500000,16.07,
RPQNMLTKQHJGFFA68CB,坡道平面,3800000,38.89,地下四樓
RPRNMLRLQHJGFEA58CB,其他,3600000,29.46,地下一樓
RPUNMLRLQHJGFEA88CB,坡道平面,3000000,39.60,地下三樓
RPSNMLRLQHJGFEA68CB,其他,3200000,28.36,地下二樓
RPRNMLSLQHJGFBA38CB,坡道機械,2500000,.90,地下二樓
RPPNMLSLQHJGFCA28CB,坡道平面,4100000,29.07,地下一樓
RPTNMLSLQHJGFEA88CB,坡道平面,3200000,38.02,地下二樓
RPWNMLSLQHJGFCA98CB,升降機械,2000000,10.31,地下二樓
RPVNMLSLQHJGFEA09CB,坡道平面,3450000,28.70,地下三樓
RPPNMLKMQHJGFCA57CB,坡道平面,3950000,30.51,地下三樓
RPSNMLSLQHJGFCA58CB,坡道機械,2900000,14.54,地下五樓含以下
RPPNMLTLQHJGFEA68DB,坡道平面,3000000,38.07,地下四樓
RPQOMLKMQHJGFCA77CB,坡道平面,3800000,24.98,地下五樓含以下
RPSNMLMJRHJGFEA08CB,坡道平面,3000000,27.50,地下四樓
RPPNMLOJRHJGFBA67CB,坡道平面,2900000,25.50,地下三樓
RPRNMLOJRHJGFCA97CB,坡道平面,3700000,62.42,地下一樓
RPQNMLOJRHJGFBA77CB,塔式車位,1940000,12.70,
RPSNMLOJRHJGFCA08CB,坡道平面,2700000,40.87,地下三樓
RPRNMLOJRHJGFEA18CB,坡道平面,2900000,38.02,地下三樓
RPTNMLOJRHJGFEA38CB,坡道平面,3000000,38.02,地下三樓
RPSNMLOJRHJGFEA28CB,坡道平面,3300000,38.02,地下二樓
RPPNMLPJRHJGFEA08CB,坡道平面,0,23.81,地下二樓
RPPNMLPJRHJGFEA08CB,坡道平面,0,23.81,地下二樓
RPPNMLPJRHJGFEA08CB,坡道平面,0,23.81,地下二樓
RPPNMLPJRHJGFEA08CB,坡道平面,0,23.81,地下二樓
RPPNMLPJRHJGFEA08CB,坡道平面,0,23.81,地下二樓
RPQNMLPJRHJGFEA18CB,坡道平面,0,23.81,地下二樓
RPQNMLPJRHJGFEA18CB,坡道平面,0,23.81,地下二樓
RPQNMLPJRHJGFEA18CB,坡道平面,0,23.81,地下二樓
RPQNMLPJRHJGFEA18CB,坡道平面,0,23.81,地下四樓
RPQNMLPJRHJGFEA18CB,坡道平面,0,23.81,地下四樓
RPRNMLPJRHJGFEA28CB,坡道平面,0,23.81,地下四樓
RPRNMLPJRHJGFEA28CB,坡道平面,0,23.81,地下四樓
RPRNMLPJRHJGFEA28CB,坡道平面,0,23.81,地下四樓
RPRNMLPJRHJGFEA28CB,坡道平面,0,23.81,地下四樓
RPRNMLPJRHJGFEA28CB,坡道平面,0,23.81,地下四樓
RPUNMLOJRHJGFEA48CB,坡道平面,2700000,38.02,地下四樓
RPSNMLPJRHJGFEA38CB,坡道平面,0,23.81,地下四樓
RPSNMLPJRHJGFEA38CB,坡道平面,0,23.81,地下四樓
RPSNMLPJRHJGFEA38CB,坡道平面,0,23.81,地下四樓
RPSNMLPJRHJGFEA38CB,坡道平面,0,23.81,地下四樓
RPSNMLPJRHJGFEA38CB,坡道平面,0,23.81,地下四樓
RPTNMLPJRHJGFEA48CB,坡道平面,0,23.81,地下二樓
RPTNMLPJRHJGFEA48CB,坡道平面,0,23.81,地下二樓
RPTNMLPJRHJGFEA48CB,坡道平面,0,23.81,地下二樓
RPTNMLPJRHJGFEA48CB,坡道平面,0,23.81,地下二樓
RPTNMLPJRHJGFEA48CB,坡道平面,0,23.81,地下二樓
RPUNMLPJRHJGFEA58CB,坡道平面,0,23.81,地下二樓
RPUNMLPJRHJGFEA58CB,坡道平面,0,23.81,地下二樓
RPUNMLPJRHJGFEA58CB,坡道平面,0,23.81,地下二樓
RPUNMLPJRHJGFEA58CB,坡道平面,0,23.81,地下四樓
RPUNMLPJRHJGFEA58CB,坡道平面,0,23.81,地下四樓
RPVNMLPJRHJGFEA68CB,坡道平面,0,23.81,地下四樓
RPVNMLPJRHJGFEA68CB,坡道平面,0,23.81,地下四樓
RPVNMLPJRHJGFEA68CB,坡道平面,0,23.81,地下四樓
RPVNMLPJRHJGFEA68CB,坡道平面,0,23.81,地下四樓
RPVNMLPJRHJGFEA68CB,坡道平面,0,23.81,地下四樓
RPRNMLOJRHJGFFA28CB,坡道平面,3700000,40.50,地下四樓
RPWNMLPJRHJGFEA78CB,坡道平面,0,23.81,地下四樓
RPWNMLPJRHJGFEA78CB,坡道平面,0,23.81,地下五樓含以下
RPWNMLPJRHJGFEA78CB,坡道平面,0,23.81,地下五樓含以下
RPWNMLPJRHJGFEA78CB,坡道平面,0,23.81,地下五樓含以下
RPWNMLPJRHJGFEA78CB,坡道平面,0,23.81,地下五樓含以下
RPXNMLPJRHJGFEA88CB,坡道平面,0,23.81,地下三樓
RPXNMLPJRHJGFEA88CB,坡道平面,0,23.81,地下三樓
RPXNMLPJRHJGFEA88CB,坡道平面,0,23.81,地下三樓
RPXNMLPJRHJGFEA88CB,坡道平面,0,23.81,地下三樓
RPXNMLPJRHJGFEA88CB,坡道平面,0,23.81,地下三樓
RPUOMLTJRHJGFBA78CB,升降機械,2150000,22.47,地下五樓含以下
RPPNMLQJRHJGFEA18CB,坡道平面,2800000,30.06,地下三樓
RPPNMLTJRHJGFCA28CB,坡道平面,3700000,46.64,地下一樓
RPPNMLTJRHJGFCA28CB,坡道平面,3700000,46.64,地下一樓
RPPNMLTJRHJGFCA28CB,坡道平面,3450000,46.64,地下二樓
RPPNMLTJRHJGFCA28CB,坡道平面,3450000,46.64,地下二樓
RPPNMLKKRHJGFEA67CB,坡道平面,3000000,26.81,地下四樓
RPSNMLTJRHJGFEA78CB,升降平面,2000000,30.06,地下四樓
RPRNMLLKRHJGFCA77CB,坡道平面,3500000,42.92,地下一樓
RPQNMLTJRHJGFCA48DB,坡道平面,2200000,31.32,地下五樓含以下
RPUNMLTJRHJGFEA98CB,坡道平面,2600000,28.83,地下四樓
RPRNMLKKRHJGFEA87CB,坡道平面,3000000,24.41,地下五樓含以下
RPTNMLTJRHJGFEA88CB,升降平面,2200000,30.06,地下五樓含以下
