鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
文山區,租賃房屋,臺北市文山區辛亥路四段２０９巷２０號八樓,0.0,,,,1130720,土地0建物1車位0,八層,26,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090430,113.27,2,2,2,有,有,無,41000,362,,0.0,0,,RPPNMLLKQHJGFAA37CC,整棟(戶)出租,有,1130722~1150721,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
士林區,租賃房屋,臺北市士林區士東路９號,0.0,,,,1130716,土地0建物2車位0,見其他登記事項,7,店面(店鋪),見使用執照,鋼筋混凝土造,0701102,147.07999999999998,0,2,1,有,無,無,50000,340,,0.0,0,租金總額含稅；其他二代健保；含有多個門牌且未個別計算租金臺北市士林區士東路１號地下室；租賃建物部分範圍，且未計入共有部分面積；,RPSNMLLKQHJGFEA08CC,,無,1130905~1160904,有,,
大安區,租賃房屋,臺北市大安區仁愛路四段３００巷３２弄７號三樓,0.0,,,,1130716,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690819,141.14,3,2,2,有,有,無,56000,397,,0.0,0,租金總額含管理費；,RPPNMLLKQHJGFFA87CC,整棟(戶)出租,無,1130801~1150731,有,冷氣、瓦斯或天然氣,
文山區,租賃房屋,臺北市文山區指南路三段５７號７樓之２,0.0,,,,1130805,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110913,36.76,1,0,1,有,有,無,24100,656,,0.0,0,租金總額含管理費；,RPPNMLMKQHJGFAA47CC,整棟(戶)出租,有,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
中正區,租賃房屋,臺北市中正區和平西路一段１１號八樓,0.0,,,,1130807,土地0建物0車位0,八層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,42.6,21,1,20,有,無,有,16170,380,,0.0,0,,RPQNMLMKQHJGFAA57CC,分租套房,無,1130815~1131214,有,冷氣、電視機、冰箱,一般轉租
文山區,租賃房屋,臺北市文山區興隆路二段２２０巷４９號三樓,0.0,,,,1130716,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690122,109.36,2,1,2,有,無,有,15000,137,,0.0,0,此為台北市社會住宅包租代管計畫之物件,RPRNMLMKQHJGFAA67CC,整棟(戶)出租,無,1130805~1140804,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
文山區,租賃房屋,臺北市文山區景興路１７７巷１弄２４號二樓,0.0,,,,1130720,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660107,76.42,3,2,1,有,無,有,33000,432,,0.0,0,此為台北市社會住宅包租代管計畫之物件多人共同承租3；,RPSNMLMKQHJGFAA77CC,整棟(戶)出租,無,1130720~1140719,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,臺北市中正區和平西路一段１１號十樓,0.0,,,,1130806,土地0建物0車位0,十層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,42.6,21,0,21,有,無,有,13300,312,,0.0,0,,RPTNMLMKQHJGFAA87CC,分租套房,無,1130806~1131231,有,冷氣、電視機、冰箱,一般轉租
文山區,租賃房屋+車位,臺北市文山區萬盛街８９之５號,0.0,,,,1130729,土地0建物1車位1,一層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1050816,80.34,2,1,1,有,有,有,40000,498,坡道平面,25.45,0,租金總額含網路費；其他第四台費用；,RPUNMLMKQHJGFAA97CC,整棟(戶)出租,有,1130729~1150731,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,
中正區,租賃房屋,臺北市中正區中華路二段３０７巷４號３樓,0.0,,,,1130723,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,加強磚造,0560519,35.11,2,1,1,有,無,無,12000,342,,0.0,0,,RPVNMLMKQHJGFAA08CC,整棟(戶)出租,無,1130801~1140731,無,冷氣、熱水器、瓦斯或天然氣,
文山區,租賃房屋,臺北市文山區萬利街２５號五樓,0.0,,,,1130718,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780511,143.98,3,1,2,有,無,有,27000,188,,0.0,0,,RPWNMLMKQHJGFAA18CC,整棟(戶)出租,無,1130801~1140731,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,臺北市中正區重慶南路三段１０５號五樓,0.0,,,,1130718,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690806,121.51,4,1,2,有,無,有,30000,247,,0.0,0,續租案件；,RPXNMLMKQHJGFAA28CC,整棟(戶)出租,無,1130725~1140724,無,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,臺北市中正區和平西路一段５６號四樓之４,0.0,,,,1130718,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0740603,79.78,2,1,1,有,有,無,20000,251,,0.0,0,續租案件；,RPOOMLMKQHJGFAA47CC,整棟(戶)出租,有,1130725~1140724,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,臺北市中正區中華路二段３０７巷１號四樓,0.0,,,,1130807,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,加強磚造,0560519,47.27,2,1,1,有,無,無,12000,254,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。,RPPOMLMKQHJGFAA57CC,整棟(戶)出租,無,1130810~1140809,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
文山區,租賃房屋,臺北市文山區興隆路二段９６巷１００之６號四樓,0.0,,,,1130722,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721231,102.31,3,1,1,有,無,無,20000,195,,0.0,0,,RPQOMLMKQHJGFAA67CC,整棟(戶)出租,無,1130725~1140724,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
文山區,租賃房屋,臺北市文山區景興路２１２號六樓之３,0.0,,,,1130724,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780624,108.03999999999999,3,2,2,有,有,有,28000,259,,0.0,0,續租案件；,RPROMLMKQHJGFAA77CC,整棟(戶)出租,有,1130820~1140819,有,冷氣、熱水器,社會住宅代管
萬華區,租賃房屋,臺北市萬華區萬大路２７７巷４６號１２樓之３,0.0,,,,1130808,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711027,46.88,2,1,1,有,有,無,13000,277,,0.0,0,此為台北市政府社會住宅包租代管計畫之物件。,RPQNMLMKQHJGFBA67CC,整棟(戶)出租,有,1130808~1140331,有,熱水器、瓦斯或天然氣,社會住宅包租轉租
大同區,租賃房屋,臺北市大同區迪化街二段２８８之１號２樓,0.0,,,,1130805,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0600525,114.04,3,2,1,有,無,無,25000,219,,0.0,0,此為台北市政府社會住宅包租代管計畫。,RPRNMLMKQHJGFBA77CC,整棟(戶)出租,無,1130805~1140804,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
萬華區,租賃房屋,臺北市萬華區東園街３５巷５０號四樓,0.0,,,,1130806,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731206,131.87,4,1,1,有,無,有,26000,197,,0.0,0,此為台北市社會住宅包租代管計畫之物件。,RPSNMLMKQHJGFBA87CC,整棟(戶)出租,無,1130808~1140807,無,熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
中正區,租賃房屋,臺北市中正區中華路一段８５巷６號,0.0,,,,1130807,土地0建物0車位0,全,4,透天厝,,加強磚造,0550713,25.56,10,2,8,有,無,有,12000,469,,0.0,0,,RPTNMLMKQHJGFBA97CC,分租套房,無,1130820~1140819,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
大同區,租賃房屋,臺北市大同區寧夏路１１７之１號,0.0,,,,1130724,土地0建物0車位0,全,3,透天厝,,加強磚造,,13.43,10,0,10,有,無,有,14000,1042,,0.0,0,,RPUNMLMKQHJGFBA08CC,分租套房,無,1130724~1140723,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
大同區,租賃房屋,臺北市大同區貴德街８１號１樓,0.0,,,,1130726,土地0建物0車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0721227,50.8,2,2,2,有,無,有,15000,295,,0.0,0,,RPVNMLMKQHJGFBA18CC,分租套房,無,1130829~1140728,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,
萬華區,租賃房屋,臺北市萬華區峨眉街１３９、１４１、１４３號；環河南路一段７５號,0.0,,,,1130726,土地0建物0車位0,全,5,透天厝,,鋼筋混凝土造,0551018,35.07,20,0,20,有,無,有,18500,528,,0.0,0,,RPWNMLMKQHJGFBA28CC,分租套房,無,1130726~1140725,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
中正區,租賃房屋,臺北市中正區漢口街一段３２號,0.0,,,,1130729,土地0建物0車位0,全,6,透天厝,一層：店舖，二至六層：住宅,鋼筋混凝土造,0600123,17.76,21,0,14,有,無,有,10500,591,,0.0,0,,RPXNMLMKQHJGFBA38CC,分租套房,無,1130729~1140728,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
中正區,租賃房屋,臺北市中正區延平南路１６０號,0.0,,,,1130729,土地0建物0車位0,全,4,透天厝,,鋼筋混凝土造,0560407,19.07,12,0,12,有,無,有,13500,708,,0.0,0,,RPOOMLMKQHJGFBA57CC,分租套房,無,1130729~1140728,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
萬華區,租賃房屋,臺北市萬華區西園路二段２８１巷１０之１號二樓,0.0,,,,1130801,土地0建物0車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850718,40.01,2,0,2,有,無,有,15000,375,,0.0,0,,RPPOMLMKQHJGFBA67CC,分租套房,無,1130801~1140731,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
大同區,租賃房屋,臺北市大同區重慶北路三段２７４號,0.0,,,,1130801,土地0建物0車位0,全,4,透天厝,,加強磚造,,17.51,12,4,8,有,無,有,15500,885,,0.0,0,,RPQOMLMKQHJGFBA77CC,分租套房,無,1130801~1140731,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
大同區,租賃房屋,臺北市大同區興城街５０號四樓,0.0,,,,1130731,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630423,9.2,10,1,2,有,無,無,6800,739,,0.0,0,,RPROMLMKQHJGFBA87CC,分租雅房,無,1130801~1140731,無,熱水器,一般轉租
