編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLMKQHJGFAA87CC,,37.54,商業用,鋼筋混凝土造,,十一層,,
RPTNMLMKQHJGFAA87CC,,5.06,共有部分,鋼筋混凝土造,,十一層,,
RPRNMLMKQHJGFAA67CC,44,109.36,住家用,鋼筋混凝土造,69年1月22日,五層,,
RPPNMLMKQHJGFAA47CC,2,23.22,集合住宅,鋼筋混凝土造,111年9月13日,八層,,
RPPNMLLKQHJGFAA37CC,4,77.82,集合住宅,鋼筋混凝土造,109年4月30日,二十六層,,
RPUNMLMKQHJGFAA97CC,8,34.40,集合住宅,鋼筋混凝土造,105年8月16日,八層,,
RPQNMLMKQHJGFAA57CC,,37.54,商業用,鋼筋混凝土造,,十一層,,
RPSNMLMKQHJGFAA77CC,48,76.42,住家用,鋼筋混凝土造,66年1月7日,四層,,
RPPNMLMKQHJGFAA47CC,2,13.54,共有部分，本共有部分之項目有梯廳、電梯、人行通道、管委會空間、１Ｔ不鏽鋼消防水箱、水箱、消防泵浦室、機車升降機、機車升降機機房、機房（供電信設備使用）、樓梯、機房、台電配電場所、緊急發電機室、防空避難室兼停車空間、台電Ｃ管道間、台電Ｂ管道間、停車空間（機車）、無障礙通路、台電Ａ管道間、蓄水池等二十一項。,鋼筋混凝土造,111年9月13日,八層,,
RPQNMLMKQHJGFAA57CC,,5.06,共有部分,鋼筋混凝土造,,十一層,,
RPPNMLLKQHJGFFA87CC,44,135.92,住家用,鋼筋混凝土造,69年8月19日,七層,,
RPPNMLLKQHJGFAA37CC,4,35.45,共有部分，本共有部分之項目有門廳、梯廳、管委會空間、陽台、管理員室、排煙室、緊急昇降機兼無障礙昇降機、無障礙樓梯、特別安全梯、雨遮、消防中繼水箱、水錶機房、特別安全梯兼行動不便梯、門廊、電梯機房、台電配電場所、防空避難室兼停車空間、水箱Ａ、防災中心、排風機房、噴灌機房、垃圾儲藏室、水箱Ｂ、排氣管道間、地下室排氣管道間、電信室、機電設備室、緊急發電機室、進風管道、水箱Ｃ、機車停車空間、蓄水池、消防中繼機房、雨水回收機房、消防泵浦室等３５項,鋼筋混凝土造,109年4月30日,二十六層,,
RPUNMLMKQHJGFAA97CC,8,45.94,共有部分，本共有部分之項目有梯廳、戶外安全梯、供行動不便者使用電梯、電梯、走道、全自動機械停車設備、獎勵停車位、水錶室、機械室、水箱、管理員室、電梯間、防空避難設備兼停車空間、電信室、停車空間、台電配電室、發電機進氣管道、發電機排氣管道、消防泵浦室、消防專用水池、緊急發電機室、鋼瓶室、停車設備油壓室等２３項。,鋼筋混凝土造,105年8月16日,八層,,
RPPNMLLKQHJGFFA87CC,44,5.22,共有部分,鋼筋混凝土造,69年8月19日,七層,,
RPSNMLLKQHJGFEA08CC,43,71.86,見使用執照,鋼筋混凝土造,70年11月2日,七層,,
RPSNMLLKQHJGFEA08CC,43,68.12,見使用執照,鋼筋混凝土造,70年11月2日,七層,,
