編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLMKQHJGFCA28CC,中山段四小段,.00,都市：商,,,,04930000
RPQNMLMKQHJGFDA87CC,雅祥段二小段,.00,都市：商,,,,00200000
RPTNMLMKQHJGFDA18CC,信義段三小段,21.51,都市：其他:特定業務區(信義計畫特定特定專用區),,,,00360003
RPUOMLMKQHJGFFA58CC,懷生段四小段,35.27,都市：住,,,,01190000
RPQNMLNKQHJGFAA67CC,興安段一小段,17.44,都市：住,,,,05110000
RPSOMLOKQHJGFBA18CC,市府段三小段,.00,都市：商,,,,00080000
RPWOMLOKQHJGFCA68CC,碧湖段四小段,106.39,都市：住,,,,07170001
RPPPMLOKQHJGFCA08CC,長安段三小段,.00,都市：商,,,,04510000
RPXPMLOKQHJGFCA88CC,東湖段二小段,13.40,都市：商,,,,00300006
RPXPMLOKQHJGFCA88CC,東湖段二小段,12.40,都市：商,,,,00300005
RPVNMLQKQHJGFAA48CC,河堤段二小段,3.46,都市：商,,,,02930000
RPVNMLQKQHJGFAA48CC,河堤段二小段,.04,都市：住,,,,03110002
RPQNMLQKQHJGFBA08CC,華江段二小段,14.22,都市：住,,,,00210000
RPQNMLQKQHJGFBA08CC,華江段二小段,13.46,都市：住,,,,00210001
RPTNMLQKQHJGFCA48CC,碧湖段二小段,22.40,都市：住,,,,00280000
RPPOMLQKQHJGFEA38CC,永平段四小段,30.75,都市：住,,,,00250000
RPOOMLQKQHJGFEA28CC,芝蘭段一小段,14.93,都市：住,,,,01800000
RPTNMLQKQHJGFFA78CC,龍泉段一小段,4.37,都市：其他:市場用地(公共設施用地),,,,03490000
RPSNMLQKQHJGFFA68CC,金華段四小段,36.00,都市：商,,,,06330000
RPPNMLSKQHJGFEA48CC,福林段一小段,61.00,都市：住,,,,01720000
RPPNMLTKQHJGFBA28CC,雙園段一小段,23.75,都市：住,,,,00800000
RPQNMLTKQHJGFCA48CC,長春段一小段,23.42,都市：住,,,,00020000
RPUNMLTKQHJGFEA09CC,三玉段二小段,.00,都市：住,,,,01490000
RPUNMLTKQHJGFEA09CC,三玉段二小段,.00,都市：住,,,,01500000
RPUNMLTKQHJGFEA09CC,三玉段二小段,.00,都市：住,,,,01560000
RPUNMLTKQHJGFEA09CC,三玉段二小段,.00,都市：住,,,,01570000
RPVNMLTKQHJGFEA56CC,天母段三小段,.00,都市：住,,,,03530000
RPPNMLMLQHJGFEA97CC,天母段二小段,.00,都市：商,,,,02290000
RPWNMLSLQHJGFCA09CC,文德段二小段,19.22,都市：住,,,,04100000
RPSNMLSLQHJGFDA78CC,虎林段一小段,34.00,都市：商,,,,04080000
RPQNMLSLQHJGFFA78CC,龍泉段二小段,3.52,都市：其他:交通用地,,,,09700000
RPPOMLSLQHJGFFA78CC,懷生段四小段,48.75,都市：住,,,,03030000
RPWPMLTLQHJGFCA76CC,長安段四小段,4.58,都市：商,,,,00200000
RPWPMLTLQHJGFCA76CC,長安段四小段,3.39,都市：商,,,,00350000
RPUNMLKMQHJGFEA38CC,開明段二小段,73.00,都市：商,,,,06300000
RPOOMLKKRHJGFDA67CC,逸仙段三小段,.00,都市：商,,,,07070000
RPOOMLLKRHJGFCA67CC,舊宗段,527.32,都市：工,,,,00040023
RPOOMLLKRHJGFCA67CC,舊宗段,11.53,都市：工,,,,00040012
