編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLMKQHJGFAA97CC,坡道平面,0,25.45,地下三樓
RPTPMLMKQHJGFCA28CC,坡道平面,4000,40.49,地下二樓
RPWNMLMKQHJGFDA48CC,坡道平面,0,,地下三樓
RPQOMLMKQHJGFDA97CC,坡道平面,0,32.04,地下一樓
RPSOMLMKQHJGFEA28CC,坡道平面,7392,48.50,地下三樓
RPXNMLNKQHJGFAA38CC,坡道平面,0,,地下二樓
RPUNMLNKQHJGFEA48CC,坡道平面,0,35.09,地下二樓
RPPNMLOKQHJGFCA87CC,坡道平面,10000,,地下二樓
RPQOMLOKQHJGFCA08CC,坡道平面,0,20.77,地下三樓
RPPOMLOKQHJGFEA18CC,坡道平面,7392,48.50,地下三樓
RPROMLPKQHJGFDA38CC,坡道平面,0,33.67,地下二樓
RPXNMLPKQHJGFDA88CC,坡道平面,0,33.28,地下三樓
RPSNMLPKQHJGFEA48CC,坡道平面,0,16.31,地下一樓
RPXNMLPKQHJGFEA98CC,坡道平面,5000,44.75,地下一樓
RPWNMLPKQHJGFFA98CC,坡道平面,0,,地下一樓
RPPNMLQKQHJGFBA97CC,坡道平面,0,26.21,地下二樓
RPPOMLQKQHJGFCA18CC,坡道平面,0,35.90,地下一樓
RPTOMLQKQHJGFCA58CC,坡道平面,0,39.64,地下三樓
RPRNMLQKQHJGFDA38CC,坡道平面,0,43.39,地下三樓
RPRNMLQKQHJGFDA38CC,坡道平面,0,43.39,地下三樓
RPPNMLSKQHJGFCA28CC,一樓平面,0,6.47,一樓
RPQNMLSKQHJGFAA18CC,坡道平面,3600,33.98,地下一樓
RPSNMLTKQHJGFAA48CC,坡道平面,0,35.11,地下一樓
RPTNMLTKQHJGFCA78CC,坡道平面,0,33.72,地下一樓
RPPOMLTKQHJGFCA48CC,坡道平面,0,,地下三樓
RPSNMLTKQHJGFEA88CC,坡道平面,2000,,地下二樓
RPPOMLTKQHJGFEA68CC,坡道平面,0,,地下一樓
RPVNMLKLQHJGFBA08CC,坡道平面,6000,15.51,地下五樓含以下
RPTNMLLLQHJGFEA28CC,坡道平面,2000,,一樓
RPWNMLNLQHJGFDA68CC,坡道平面,0,43.63,地下一樓
RPTOMLQLQHJGFAA48CC,坡道平面,0,4.60,地下三樓
RPTOMLQLQHJGFAA48CC,坡道平面,0,4.60,地下三樓
RPTOMLQLQHJGFAA48CC,坡道平面,0,10.78,地下一樓
RPXOMLQLQHJGFCA09CC,坡道平面,0,26.36,地下五樓含以下
RPXOMLQLQHJGFCA09CC,坡道平面,0,26.36,地下五樓含以下
RPVNMLQLQHJGFDA88CC,升降機械,0,21.48,地下三樓
RPUNMLTLQHJGFAA78CC,坡道平面,0,33.66,地下一樓
RPPPMLTLQHJGFEA88CC,坡道平面,0,14.97,地下二樓
RPWOMLTLQHJGFEA86CC,坡道平面,0,47.05,地下五樓含以下
RPOOMLTLQHJGFEA68CC,坡道平面,0,45.47,地下三樓
RPXOMLTLQHJGFFA07CC,坡道平面,0,19.82,地下二樓
RPTOMLTLQHJGFFA66CC,坡道平面,0,,地下四樓
RPPNMLKMQHJGFDA77CC,一樓平面,0,,一樓
RPSNMLKMQHJGFEA18CC,升降平面,0,,地下一樓
RPWNMLNJRHJGFAA28CC,坡道平面,0,,地下三樓
RPRNMLOJRHJGFDA18CC,坡道平面,0,,地下三樓
RPRNMLOJRHJGFDA18CC,坡道平面,0,,地下三樓
RPQOMLPJRHJGFCA18CC,坡道平面,0,26.66,地下二樓
RPQOMLPJRHJGFCA18CC,坡道平面,0,26.66,地下二樓
RPTNMLTJRHJGFEA98CC,坡道平面,0,48.96,地下一樓
RPVNMLMKRHJGFCA38CC,坡道平面,3500,,地下三樓
RPWNMLQKRHJGFAA68CC,升降機械,0,15.28,地下二樓
