鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
龍井區,土地,遊園北段390地號,64.38,都市：其他:保護區,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1080000,16775,,0.0,0,,RPQNMLKKRHJGFKB48DA,0.0,0.0,0.0,無,0001
西屯區,土地,東林段816地號,652.29,農,,,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15780000,24192,,0.0,0,,RPQOMLNJRHJGFCB97DA,0.0,0.0,0.0,無,
沙鹿區,房地(土地+建物),臺中市沙鹿區中清路八段４１６號,153.46,都市：其他:第四種住宅區,,,1130903,土地8建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0790905,269.44,5,2,4,有,有,15000000,55671,,0.0,0,,RPPNMLLKRHJGFFB08EA,234.05,19.43,15.96,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北七路３８９號十五樓之１,38.53,都市：其他:第六種新市政中心專用區,,,1130903,土地1建物1車位3,十五層,四十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100126,632.4300000000001,4,2,5,有,有,180900000,286040,坡道平面,87.15,0,本戶為實品屋含裝潢費；含傢俱設備費；,RPTNMLQJRHJGFCB48DA,317.22,10.09,27.21,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段４６２號４樓　　　,41.18,都市：其他:第三種住宅區。,,,1130901,土地1建物1車位2,四層,二十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0840913,605.35,5,2,4,有,有,38000000,62774,坡道平面,0.0,0,土地及建物分件登記陽台外推；,RPUPMLNJRHJGFBB38DA,406.96,0.0,64.73,有,
西屯區,房地(土地+建物),臺中市西屯區福聯街１５巷９號十二樓之４８,3.84,住,,,1130902,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830908,21.61,1,0,1,有,有,1680000,77742,,0.0,0,,RPQPMLTJRHJGFCB68DA,12.58,0.0,1.35,有,
西屯區,房地(土地+建物),臺中市西屯區福瑞街２７巷１１號五樓之７,4.69,住,,,1130901,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830316,25.07,1,0,1,有,有,1660000,66215,,0.0,0,,RPPPMLLKRHJGFCB87DA,12.78,0.0,3.49,有,
大甲區,土地,福順段816地號,794.15,,特定農業區,農牧用地,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1441380,1815,,0.0,0,,RPPNMLMJRHJGFEB87DA,0.0,0.0,0.0,無,
東勢區,土地,石圍墻段石圍墻小段680-19地號,1727.0,,山坡地保育區,農牧用地,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2400000,1390,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLKKRHJGFGB97DA,0.0,0.0,0.0,無,
太平區,房地(土地+建物)+車位,臺中市太平區中山路二段４７７巷３１弄７號二樓,28.67,,鄉村區,乙種建築用地,1130903,土地1建物1車位1,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830705,81.87,3,2,2,有,無,4500000,54965,其他,0.0,0,,RPRNMLNJRHJGFJB68DA,57.43,0.0,7.27,無,
北區,房地(土地+建物),臺中市北區健行路１７４號５樓之３,4.86,都市：其他:第二種住宅區,,,1130901,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790808,33.739999999999995,1,1,1,有,無,2280000,67576,,0.0,0,,RPSPMLOJRHJGFBB28DA,22.24,0.0,0.0,有,
沙鹿區,土地,正義段1332地號,2106.96,都市：其他:綠地用地,,,1130904,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,32299697,15330,,0.0,0,包含公共設施保留地用地；,RPROMLKKRHJGFFB18DA,0.0,0.0,0.0,無,0002
沙鹿區,土地,正義段1332地號,2106.96,都市：其他:綠地用地,,,1130904,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,32299697,15330,,0.0,0,包含公共設施保留地用地；,RPSOMLKKRHJGFFB28DA,0.0,0.0,0.0,無,0002
沙鹿區,土地,平等段604-1地號,4.71,都市：其他:第二種住宅區,,,1130902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,472366,100290,,0.0,0,畸零地或有合併使用效益；政府機關標讓售；,RPRQMLMKRHJGFFB58DA,0.0,0.0,0.0,無,
龍井區,建物,臺中市龍井區台西南路２２０巷３６號,0.0,,,,1130905,土地0建物1車位0,全,一層,透天厝,工業用,鋼骨造,0941212,494.01,0,0,0,無,無,6000000,12146,,0.0,0,僅建物廠房移轉；建物坐落地號：忠和段567地號；,RPUSMLLKRHJGFKB86DA,494.01,0.0,0.0,無,
