編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLKRHJGFFB08EA,34,269.44,住家用,鋼筋混凝土造,79年9月5日,四層,一層 二層 三層 四層 陽台 平台 電梯樓梯間 地下層,全筆移轉
RPRNMLNJRHJGFJB68DA,30,17.17,梯間、水塔、集合住宅,鋼筋混凝土造,83年7月5日,四層,,持分移轉
RPRNMLNJRHJGFJB68DA,30,64.70,集合住宅,鋼筋混凝土造,83年7月5日,四層,二層 陽台,全筆移轉
RPQPMLTJRHJGFCB68DA,30,13.93,住家用,鋼筋混凝土造,83年9月8日,十三層,十二層 陽台,全筆移轉
RPQPMLTJRHJGFCB68DA,30,7.68,共用部份,鋼筋混凝土造,83年9月8日,十三層,,持分移轉
RPTNMLQJRHJGFCB48DA,4,354.52,集合住宅,鋼骨鋼筋混凝土造,110年1月26日,四十三層,十五層 陽台 雨遮,全筆移轉
RPTNMLQJRHJGFCB48DA,4,127.88,本共有部分係依使用執照之建築概要表記載項目有：頂蓋型沿街步道式開放空間、管委會使用空間、社區門廳、防災中心、中繼機房、垃圾收集室、梯廳、樓梯間、緊急昇降機間排煙室、排煙室、走廊、機械室、陽台兼排煙室、廊道、水箱等十五項。,鋼骨鋼筋混凝土造,110年1月26日,四十三層,,持分移轉
RPTNMLQJRHJGFCB48DA,4,150.03,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、電錶室、台電配電室、電信室、機車停車區、機電空間、梯廳、樓梯間、緊急昇降機間排煙室、停車空間、緊急發電機室、消防機械室、水箱室等十三項。,鋼骨鋼筋混凝土造,110年1月26日,四十三層,,持分移轉
RPPPMLLKRHJGFCB87DA,30,16.27,住家用,鋼筋混凝土造,83年3月16日,七層,五層 陽台,全筆移轉
RPPPMLLKRHJGFCB87DA,30,8.80,共用部份,鋼筋混凝土造,83年3月16日,七層,,持分移轉
RPUPMLNJRHJGFBB38DA,29,273.08,商業用,鋼筋混凝土造,84年9月13日,二十二層,四層 陽台,持分移轉
RPUPMLNJRHJGFBB38DA,29,198.61,商業用,鋼筋混凝土造,84年9月13日,二十二層,四層 陽台,持分移轉
RPUPMLNJRHJGFBB38DA,29,.00,共用部份,鋼筋混凝土造,84年9月13日,二十二層,,
RPUPMLNJRHJGFBB38DA,29,.00,共用部份,鋼筋混凝土造,84年9月13日,二十二層,,
RPUPMLNJRHJGFBB38DA,29,77.38,共用部份,鋼筋混凝土造,84年9月13日,二十二層,,持分移轉
RPUPMLNJRHJGFBB38DA,29,56.28,共用部份,鋼筋混凝土造,84年9月13日,二十二層,,持分移轉
RPSPMLOJRHJGFBB28DA,34,22.24,住家用,鋼筋混凝土造,79年8月8日,七層,五層,全筆移轉
RPSPMLOJRHJGFBB28DA,34,11.50,共用部份,鋼筋混凝土造,79年8月8日,七層,,持分移轉
RPUSMLLKRHJGFKB86DA,19,494.01,廠房,鋼骨造,94年12月12日,一層,一層,全筆移轉
RPPNMLMKRHJGFBB67DA,29,62.71,住家用,鋼骨鋼筋混凝土造,84年12月8日,二十一層,六層 陽台,全筆移轉
RPPNMLMKRHJGFBB67DA,29,1.56,共用部份,鋼骨鋼筋混凝土造,84年12月8日,二十一層,,持分移轉
RPPNMLMKRHJGFBB67DA,29,1.31,共用部份,鋼骨鋼筋混凝土造,84年12月8日,二十一層,,持分移轉
RPWOMLNJRHJGFCB58DA,31,460.12,住宅、樓梯間、自用倉庫,鋼筋混凝土造,82年12月29日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 露台 花台 地下層,全筆移轉
RPPNMLMKRHJGFBB67DA,29,19.35,共用部份,鋼骨鋼筋混凝土造,84年12月8日,二十一層,,持分移轉
RPRNMLNKRHJGFBB97DA,1,349.22,停車空間、住宅、樓梯間,鋼筋混凝土造,112年8月1日,五層,一層 二層 三層 四層 五層 陽台 見其他登記事項,全筆移轉
RPWNMLPJRHJGFBB58DA,8,107.56,集合住宅,鋼筋混凝土造,105年7月26日,十二層,六層 陽台 雨遮,全筆移轉
