編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLKKRHJGFKB48DA,遊園北段,64.38,都市：其他:保護區,28,6,持分移轉,03900000
RPPNMLLKRHJGFFB08EA,鹿峰東段,117.30,都市：其他:第四種住宅區,1,1,全筆移轉,00660000
RPPNMLLKRHJGFFB08EA,鹿峰東段,23.12,都市：其他:第四種住宅區,17,1,持分移轉,00720000
RPPNMLLKRHJGFFB08EA,鹿峰東段,10.00,都市：其他:第四種住宅區,92,1,持分移轉,01200000
RPPNMLLKRHJGFFB08EA,鹿峰東段,.56,都市：其他:第四種住宅區,92,1,持分移轉,01220000
RPPNMLLKRHJGFFB08EA,牛罵頭段,1.39,都市：其他:第四種住宅區,92,1,持分移轉,07340000
RPPNMLLKRHJGFFB08EA,牛罵頭段,.63,都市：其他:第四種住宅區,92,1,持分移轉,07350000
RPPNMLLKRHJGFFB08EA,牛罵頭段,.44,都市：其他:第四種住宅區,92,1,持分移轉,07360000
RPPNMLLKRHJGFFB08EA,牛罵頭段,.02,都市：其他:第四種住宅區,92,1,持分移轉,07370000
RPRNMLNJRHJGFJB68DA,中華段,28.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,284,持分移轉,00700000
RPPNMLKKRHJGFGB97DA,石圍墻段石圍墻小段,1727.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06800019
RPQPMLTJRHJGFCB68DA,國安段,3.84,都市：其他:第一之一種住宅區,10000,15,持分移轉,02920002
RPQOMLNJRHJGFCB97DA,東林段,652.29,都市：其他:農業區,1,1,全筆移轉,08160000
RPPNMLMJRHJGFEB87DA,福順段,794.15,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,08160000
RPTNMLQJRHJGFCB48DA,惠民段,38.53,都市：其他:第六種新市政中心專用區,100000,1250,持分移轉,01320000
RPPPMLLKRHJGFCB87DA,國安段,4.69,都市：其他:第一之一種住宅區,10000,48,持分移轉,01740002
RPUPMLNJRHJGFBB38DA,東峰段,23.84,都市：其他:第三種住宅區。,1900000,26477,持分移轉,01420000
RPUPMLNJRHJGFBB38DA,東峰段,17.34,都市：其他:第三種住宅區。,1900000,19256,持分移轉,01420000
RPSPMLOJRHJGFBB28DA,錦村段,4.86,都市：其他:第二種住宅區,1000,20,持分移轉,03680013
RPSOMLKKRHJGFFB28DA,正義段,53.73,都市：其他:綠地用地,3,1,持分移轉,13300000
RPSOMLKKRHJGFFB28DA,正義段,1876.53,都市：其他:綠地用地,3,1,持分移轉,13320000
RPSOMLKKRHJGFFB28DA,正義段,176.70,都市：其他:綠地用地,3,1,持分移轉,13770000
RPRQMLMKRHJGFFB58DA,平等段,.01,都市：其他:第二種住宅區,1,1,全筆移轉,06040000
RPRQMLMKRHJGFFB58DA,平等段,4.70,都市：其他:保護區,1,1,全筆移轉,06040001
RPROMLKKRHJGFFB18DA,正義段,53.73,都市：其他:綠地用地,3,1,持分移轉,13300000
RPROMLKKRHJGFFB18DA,正義段,1876.53,都市：其他:綠地用地,3,1,持分移轉,13320000
RPROMLKKRHJGFFB18DA,正義段,176.70,都市：其他:綠地用地,3,1,持分移轉,13770000
RPPNMLMKRHJGFBB67DA,東義段,6.27,都市：其他:第三種住宅區。,100000,339,持分移轉,02160000
RPWOMLNJRHJGFCB58DA,豐富段,135.39,都市：其他:第二種住宅區,1,1,全筆移轉,01880007
RPRNMLNKRHJGFBB97DA,敦和段,55.99,都市：其他:第一之一種住宅區,4,1,持分移轉,04200000
RPRNMLNKRHJGFBB97DA,敦和段,84.00,都市：其他:第一之一種住宅區,1,1,全筆移轉,04200005
RPPNMLNKRHJGFIB58EA,丁台二段,135.39,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,02570003
RPWNMLPJRHJGFBB58DA,景美段,29.74,都市：其他:第二種住宅區,10000,185,持分移轉,03430000
RPQNMLNKRHJGFCB97DA,大進段,4.18,都市：其他:第二種住宅區,498400,418,持分移轉,10100000
RPQNMLRKRHJGFGB78DA,環山段,1430.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,08220000
RPPNMLQKRHJGFGB68EA,文昌段,28.95,都市：其他:住宅區,1,1,全筆移轉,11020004
RPPOMLPJRHJGFCB08DA,大明段,4.00,都市：其他:第一種商業區,10000,138,持分移轉,02300000
RPVNMLNKRHJGFHB98DA,石牌段,18.61,都市：其他:第一之二種住宅區,10000,63,持分移轉,03860000
RPPNMLRKRHJGFFB58DA,新竹林段,21.84,都市：其他:第三種住宅區。,120,3,持分移轉,11610000
RPPNMLRKRHJGFFB58DA,新竹林段,83.19,都市：其他:第三種住宅區。,5,1,持分移轉,11770000
RPWNMLSKRHJGFKB27DA,大東段,376.52,都市：其他:農業區,1,1,全筆移轉,08660000
RPWNMLSKRHJGFKB27DA,大東段,265.60,都市：其他:農業區,1,1,全筆移轉,08700000
RPQNMLQKRHJGFKB56EA,南寮段,453.59,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01360004
RPTNMLTJRHJGFKB96DA,新東段,12.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,2459,12,持分移轉,04210000
RPXNMLQLQHJGFAB78DA,大益段,4.23,都市：其他:第二種住宅區,10000,294,持分移轉,04420000
RPXNMLQLQHJGFAB78DA,大益段,16.11,都市：其他:第二種住宅區,10000,294,持分移轉,04520000
RPXNMLLLQHJGFAB28DA,正義段九小段,5.64,都市：其他:第二種住宅區,100000,438,持分移轉,00080015
RPXNMLLLQHJGFAB28DA,正義段九小段,4.69,都市：其他:第一種商業區,100000,438,持分移轉,00090000
RPXNMLLLQHJGFAB28DA,正義段九小段,.00,都市：其他:第二種住宅區,100000,438,持分移轉,00110077
