編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLNJRHJGFJB68DA,其他,0,,一樓
RPTNMLQJRHJGFCB48DA,坡道平面,0,29.05,地下二樓
RPTNMLQJRHJGFCB48DA,坡道平面,0,29.05,地下五樓含以下
RPTNMLQJRHJGFCB48DA,坡道平面,0,29.05,地下五樓含以下
RPUPMLNJRHJGFBB38DA,坡道平面,0,,地下二樓
RPUPMLNJRHJGFBB38DA,坡道平面,0,,地下二樓
RPPNMLMKRHJGFBB67DA,坡道機械,0,,地下二樓
RPWNMLPJRHJGFBB58DA,坡道平面,0,29.51,地下二樓
RPVNMLNKRHJGFHB98DA,坡道平面,0,,地下一樓
RPXNMLQLQHJGFAB78DA,坡道機械,0,,地下一樓
RPXNMLLLQHJGFAB28DA,坡道機械,0,,地下二樓
RPOPMLQLQHJGFAB08DA,坡道平面,0,,地下一樓
RPQNMLMJRHJGFAB57DA,坡道平面,0,33.04,地下二樓
RPPQMLTKQHJGFBB58DA,坡道平面,0,20.86,地下二樓
RPPOMLPJRHJGFAB87DA,坡道平面,0,,地下一樓
RPPOMLPJRHJGFAB87DA,坡道機械,0,,地下二樓
RPUPMLLLQHJGFBB28DA,坡道平面,0,33.07,地下二樓
RPUPMLLLQHJGFBB28DA,坡道平面,0,33.07,地下二樓
RPWSPLSLQHJGFBB17DA,坡道機械,0,15.05,地下二樓
RPQPMLQLQHJGFCB48DA,坡道平面,0,30.79,地下三樓
RPTOMLTLQHJGFCB98DA,坡道平面,0,23.30,地下二樓
RPUOMLPJRHJGFCB58DA,坡道平面,0,,地下一樓
RPVNMLOJRHJGFCB48DA,坡道機械,0,,地下二樓
RPVNMLOJRHJGFCB48DA,坡道機械,0,,地下二樓
RPVOMLNLQHJGFDB68DA,坡道平面,0,36.79,地下三樓
RPUOMLQJRHJGFFB98DA,坡道平面,0,25.47,地下四樓
RPOQMLTJRHJGFFB88DA,坡道平面,0,,地下二樓
RPQOMLTKQHJGFAB38DA,坡道機械,600000,13.22,地下三樓
RPWOMLKMQHJGFAB28DA,坡道平面,1800000,39.95,地下三樓
RPUPMLLLQHJGFAB18DA,坡道平面,0,33.35,地下二樓
RPVOMLKMQHJGFAB18DA,坡道平面,0,38.88,地下一樓
RPVOMLKMQHJGFAB18DA,坡道平面,0,39.95,地下一樓
RPUPMLQJRHJGFAB58DA,坡道平面,0,14.34,地下二樓
RPVQMLNLQHJGFBB68DA,坡道平面,0,29.20,地下三樓
RPOPMLMJRHJGFBB67DA,坡道平面,0,23.96,地下三樓
RPXQMLQJRHJGFBB09DA,坡道平面,0,30.99,地下一樓
RPUQMLOKQHJGFCB68DA,坡道平面,0,26.94,地下三樓
RPQNMLKLQHJGFCB67DA,坡道平面,0,28.17,地下一樓
RPSNMLPJRHJGFCB28DA,坡道機械,0,,地下三樓
RPVOMLPJRHJGFCB68DA,坡道平面,0,14.76,地下五樓含以下
RPSNMLTJRHJGFCB68DA,坡道平面,0,28.01,地下三樓
RPSNMLTJRHJGFCB68DA,坡道平面,0,28.01,地下三樓
RPRNMLTLQHJGFEB88DA,坡道平面,1200000,26.64,地下二樓
RPRNMLTLQHJGFEB88DA,坡道平面,1200000,26.64,地下二樓
RPOOMLSLQHJGFFB68DA,坡道機械,0,,地下一樓
RPQOMLMLQHJGFIB58DA,坡道平面,0,26.20,地下一樓
RPQOMLMLQHJGFIB58DA,坡道平面,0,26.20,地下一樓
RPOOMLMLQHJGFIB38DA,坡道平面,0,26.20,地下一樓
RPOOMLMLQHJGFIB38DA,坡道平面,0,26.20,地下一樓
RPSNMLLKRHJGFAB77DA,坡道平面,2000000,30.21,地下一樓
RPRUMLTLQHJGFAB56DA,坡道機械,0,,地下二樓
RPSOMLSJQHJGFBB48DA,坡道平面,1200000,,地下三樓
RPTOMLMKQHJGFBB08DA,坡道機械,0,,地下一樓
