編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLKQHJGFAB47CC,12,16.53,集合住宅,鋼筋混凝土造,101年3月22日,十三層,,
RPQNMLMKQHJGFAB67CC,26,84.76,住家用,鋼筋混凝土造,87年4月10日,十三層,,
RPQNMLMKQHJGFAB67CC,26,14.98,共用部份,鋼筋混凝土造,87年4月10日,十三層,,
RPPNMLLKQHJGFCB67CC,5,54.36,集合住宅,鋼筋混凝土造,108年11月14日,十二層,,
RPQNMLMKQHJGFAB67CC,26,42.44,共用部份,鋼筋混凝土造,87年4月10日,十三層,,
RPPNMLLKQHJGFCB67CC,5,28.63,本共有部分係依使用執照之建築概要表記載項目有：甲梯（一般安全梯）、排煙室、停車空間、車道、一般昇降機、緊急昇降機（行動不便）、水箱、消防機房、緊急發電室、電信室、台電配電室、防空避難室兼停車空間、電錶、梯廳、門廳、管委會空間、資源回收室、甲梯（行動不便、戶外安全）、乙梯（戶外安全）、丙梯、機車停車空間、甲梯（行動不便、戶外安全梯）、乙梯（戶外安全梯）、樓梯間、甲梯、水塔、機械室等二十七項,鋼筋混凝土造,108年11月14日,十二層,,
RPPNMLMKQHJGFAB57CC,27,27.59,住家用,鋼筋混凝土造,86年4月28日,十九層,,
RPPNMLMKQHJGFAB57CC,27,1.47,共同使用,鋼筋混凝土造,86年4月28日,十九層,,
RPPNMLMKQHJGFAB57CC,27,8.52,共同使用,鋼筋混凝土造,86年4月28日,十九層,,
RPPNMLMKQHJGFAB57CC,27,5.43,共用部份,鋼筋混凝土造,86年4月28日,十九層,,
RPTNMLMKQHJGFAB97CC,31,26.66,住家用,鋼筋混凝土造,82年8月27日,七層,,
RPTNMLMKQHJGFAB97CC,31,5.02,走道,鋼筋混凝土造,82年8月27日,七層,,
RPTNMLMKQHJGFAB97CC,31,7.23,樓梯間，停車空間，防空避難室，機械室，機房，水箱,鋼筋混凝土造,82年8月27日,七層,,
RPXNMLMKQHJGFAB38CC,48,88.57,住房,鋼筋混凝土造,65年12月28日,五層,,
RPVNMLMKQHJGFAB18CC,28,90.72,住家用,鋼筋混凝土造,85年12月11日,二十四層,,
RPVNMLMKQHJGFAB18CC,28,22.64,共同使用　,鋼筋混凝土造,85年12月11日,二十四層,,
RPUNMLMKQHJGFAB08CC,29,50.75,集合住宅,鋼筋混凝土造,84年6月1日,十二層,,
RPVNMLMKQHJGFAB18CC,28,15.71,共同使用,鋼筋混凝土造,85年12月11日,二十四層,,
RPSNMLMKQHJGFAB87CC,1,56.74,集合住宅,鋼筋混凝土造,112年8月10日,十五層,,
RPUNMLMKQHJGFAB08CC,29,20.27,梯間．人行道．防空避難室．停車空間．機械室．水箱,鋼筋混凝土造,84年6月1日,十二層,,
RPPNMLLKQHJGFIB28CC,2,75.07,集合住宅,鋼筋混凝土造,111年8月5日,二十層,,
RPPNMLLKQHJGFIB28CC,2,39.86,停車空間、梯廳、昇降機、無障礙電梯、樓梯間、車道、機房、雨、污水機械室、消防機械室兼消防中繼機械室、水箱、機械室、公共水箱、泳池機房、水景機房、機房機械室、電信室、發電機房、垃圾貯存空間、台電配電場所、電錶區等２０項。,鋼筋混凝土造,111年8月5日,二十層,,
RPPNMLLKQHJGFIB28CC,2,24.52,管委會使用空間、梯廳、排煙室、緊急昇降機、昇降機、無障礙電梯、防災中心、警衛室、游泳池、樓梯間、水錶室、消防中繼機械室、消防水箱、設備空間、機械室、自來水箱等１６項。,鋼筋混凝土造,111年8月5日,二十層,,
RPQOMLMKQHJGFAB77CC,11,47.91,人行道、店舖、住宅,鋼骨造,102年11月8日,三層,,
RPTOMLMKQHJGFAB08CC,11,98.90,人行道、店舖、住宅,鋼骨造,102年11月8日,三層,,
RPPOMLMKQHJGFAB67CC,34,21.89,住家用,鋼筋混凝土造,79年6月25日,十二層,,
RPPOMLMKQHJGFAB67CC,34,9.67,人行道．梯間．走道．停車空間．水箱．機械室．避難室,鋼筋混凝土造,79年6月25日,十二層,,
RPOOMLMKQHJGFAB57CC,13,60.25,集合住宅,鋼筋混凝土造,100年7月29日,十四層,,
RPOOMLMKQHJGFAB57CC,13,15.48,共有,鋼筋混凝土造,100年7月29日,十四層,,
RPOOMLMKQHJGFAB57CC,13,11.54,共有,鋼筋混凝土造,100年7月29日,十四層,,
RPSOMLMKQHJGFAB97CC,31,86.92,住家用,鋼筋混凝土造,82年12月27日,七層,,
RPSOMLMKQHJGFAB97CC,31,30.14,共用部份,鋼筋混凝土造,82年12月27日,七層,,
RPUOMLMKQHJGFAB18CC,27,37.54,住家用,鋼筋混凝土造,86年4月28日,十九層,,
RPWOMLMKQHJGFAB38CC,29,23.81,集合住宅,鋼筋混凝土造,84年7月3日,七層,,
RPUOMLMKQHJGFAB18CC,27,2.11,共同使用,鋼筋混凝土造,86年4月28日,十九層,,
RPUOMLMKQHJGFAB18CC,27,6.70,共同使用,鋼筋混凝土造,86年4月28日,十九層,,
RPWOMLMKQHJGFAB38CC,29,11.12,防空避難室，停車空間，人行道，梯間，水塔，機械室,鋼筋混凝土造,84年7月3日,七層,,
RPUOMLMKQHJGFAB18CC,27,4.43,共用部份,鋼筋混凝土造,86年4月28日,十九層,,
RPROMLMKQHJGFAB87CC,34,18.17,住家用,鋼筋混凝土造,79年6月25日,十二層,,
RPROMLMKQHJGFAB87CC,34,8.20,人行道．梯間．走道．停車空間．水箱．機械室．避難室,鋼筋混凝土造,79年6月25日,十二層,,
RPXOMLMKQHJGFAB48CC,28,20.04,集合住宅,鋼筋混凝土造,85年5月6日,十八層,,
RPXOMLMKQHJGFAB48CC,28,3.72,共同使用,鋼筋混凝土造,85年5月6日,十八層,,
