編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKQHJGFAB47CC,後壠子段,2.08,都市：商,,,,01730012
RPSNMLMKQHJGFAB87CC,東勢子段,18.70,都市：住,,,,00110000
RPPNMLLKQHJGFIB28CC,新高鐵段,2531.00,都市：住,,,,00890000
RPOPMLMKQHJGFAB67CC,頂橋子頭段,19.89,都市：住,,,,00880002
RPQNMLMKQHJGFDB97CC,豐洲段,29.40,都市：住,,,,05000001
RPPNMLMKQHJGFIB38CC,新高鐵段,12.24,都市：商,,,,00510000
RPTNMLMKQHJGFIB78CC,西湖北段,13.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01480000
RPPNMLMKQHJGFJB48CC,育賢段,19.13,都市：商,,,,01050000
RPUNMLNKQHJGFAB18CC,麻園頭段,13.10,都市：住,,,,01320000
RPOOMLNKQHJGFBB77CC,松茂段,24.00,都市：住,,,,05340000
RPVNMLNKQHJGFBB38CC,中興段,30.34,都市：住,,,,01490000
RPSOMLNKQHJGFBB18CC,東峰段,9.00,都市：住,,,,00040000
RPROMLNKQHJGFBB08CC,松昌段,.29,都市：住,,,,04820000
RPROMLNKQHJGFBB08CC,松昌段,13.75,都市：住,,,,04850000
RPSOMLNKQHJGFCB28CC,中正段,6.92,都市：住,,,,01550000
RPXOMLNKQHJGFCB78CC,福德段,16.75,都市：住,,,,02750000
RPXNMLOKQHJGFAB58CC,下橋子頭段,2.25,都市：其他:空白,,,,01810001
RPXNMLOKQHJGFAB58CC,下橋子頭段,2.40,都市：其他:空白,,,,01860021
RPROMLOKQHJGFCB28CC,何厝段,46.98,都市：商,,,,01130000
RPPNMLOKQHJGFIB58CC,新高鐵段,18.71,都市：商,,,,00510000
RPPPMLPKQHJGFBB18CC,東正段,7.49,都市：住,,,,01430000
RPVNMLPKQHJGFCB68CC,保安段,24.43,都市：住,,,,10970000
RPSNMLQKQHJGFAB28CC,中民段六小段,.10,都市：住,,,,00010071
RPSNMLQKQHJGFAB28CC,中民段六小段,11.21,都市：住,,,,00090000
RPSNMLQKQHJGFAB28CC,中民段六小段,4.49,都市：住,,,,00090001
RPTNMLQKQHJGFAB38CC,頂橋子頭段,66.00,都市：住,,,,01440009
RPTNMLQKQHJGFAB38CC,頂橋子頭段,64.00,都市：住,,,,01440010
RPTNMLQKQHJGFAB38CC,頂橋子頭段,15.00,都市：住,,,,01440173
RPTNMLQKQHJGFAB38CC,頂橋子頭段,15.00,都市：住,,,,01440174
RPQOMLQKQHJGFAB18CC,光明段一小段,7.77,都市：商,,,,00030000
RPQPMLQKQHJGFBB38CC,東山段,3.37,都市：商,,,,02210000
RPRPMLQKQHJGFBB48CC,東正段,11.77,都市：商,,,,01150000
RPOOMLQKQHJGFCB18CC,三塊厝段,20.81,都市：住,,,,09820000
RPSOMLQKQHJGFCB58CC,大新段,13.30,都市：商,,,,06990000
RPXOMLQKQHJGFIB07CC,新高鐵段,18.49,都市：商,,,,00510000
RPUPMLQKQHJGFIB86CC,仁城段,21.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10810000
RPPNMLRKQHJGFBB18CC,東新段,41.00,都市：住,,,,01100000
RPQNMLSKQHJGFBB38CC,敦和段,938.34,都市：住,,,,03690000
RPRNMLSKQHJGFCB58CC,上石碑段,188.68,都市：住,,,,26710000
RPSNMLTKQHJGFCB78CC,惠安段,18.72,都市：商,,,,02450000
