編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLMKQHJGFAB87CC,坡道平面,0,,地下二樓
RPUNMLMKQHJGFAB08CC,升降機械,1500,,地下一樓
RPPNMLLKQHJGFIB28CC,坡道平面,0,,地下一樓
RPQNMLMKQHJGFBB77CC,坡道平面,2500,30.65,地下四樓
RPOPMLMKQHJGFAB67CC,坡道平面,0,22.56,地下二樓
RPOOMLMKQHJGFCB77CC,坡道平面,2600,15.00,地下三樓
RPSOMLMKQHJGFCB18CC,坡道平面,2800,35.91,地下四樓
RPQNMLMKQHJGFDB97CC,坡道平面,0,22.50,地下一樓
RPPNMLMKQHJGFIB38CC,坡道平面,0,39.32,地下三樓
RPQNMLMKQHJGFHB38CC,坡道平面,0,31.41,地下二樓
RPRNMLMKQHJGFIB58CC,坡道平面,3000,,地下三樓
RPPNMLMKQHJGFJB48CC,坡道平面,3000,24.92,地下四樓
RPPNMLNKQHJGFAB67CC,升降機械,0,,地下二樓
RPPNMLMKQHJGFDB97DC,坡道平面,3000,24.63,地下一樓
RPOOMLNKQHJGFBB77CC,坡道機械,0,,地下一樓
RPVNMLNKQHJGFBB38CC,升降平面,0,,地下一樓
RPPOMLNKQHJGFBB87CC,坡道平面,0,27.23,地下三樓
RPSOMLNKQHJGFBB18CC,坡道平面,0,21.53,地下四樓
RPROMLNKQHJGFBB08CC,坡道平面,0,,地下一樓
RPWOMLNKQHJGFBB58CC,坡道平面,3000,28.12,地下一樓
RPSNMLNKQHJGFCB18CC,坡道平面,0,,地下二樓
RPUOMLNKQHJGFCB48CC,坡道機械,3000,18.91,地下三樓
RPSOMLNKQHJGFCB28CC,坡道平面,0,37.80,地下四樓
RPQNMLNKQHJGFFB28CC,坡道機械,2500,10.84,地下一樓
RPRNMLOKQHJGFAB97CC,坡道平面,3000,33.00,地下二樓
RPUNMLOKQHJGFAB28CC,一樓平面,300,1.31,一樓
RPUNMLOKQHJGFAB28CC,一樓平面,300,1.31,一樓
RPPOMLOKQHJGFAB87CC,坡道平面,1500,8.80,地下二樓
RPXNMLOKQHJGFAB58CC,坡道平面,0,,地下四樓
RPUNMLOKQHJGFBB38CC,坡道平面,2000,25.81,地下二樓
RPPOMLOKQHJGFBB97CC,坡道平面,4000,26.83,地下三樓
RPUNMLOKQHJGFCB48CC,坡道平面,3500,21.54,地下一樓
RPQNMLOKQHJGFFB38CC,坡道平面,2000,24.88,地下二樓
RPTNMLOKQHJGFFB68CC,坡道平面,2500,31.69,地下二樓
RPRNMLOKQHJGFFB48CC,坡道平面,3000,29.59,地下三樓
RPUNMLOKQHJGFFB78CC,坡道平面,2175,32.26,地下一樓
RPQNMLOKQHJGFHB58CC,坡道機械,0,19.37,地下三樓
RPSNMLOKQHJGFHB78CC,坡道機械,0,19.37,地下二樓
RPPNMLOKQHJGFIB58CC,坡道平面,0,39.32,地下一樓
RPUNMLOKQHJGFIB09CC,坡道機械,3400,14.44,地下四樓
RPVOMLOKQHJGFIB66CC,坡道平面,500,24.88,地下一樓
RPPNMLOKQHJGFKB78CC,坡道平面,3000,30.04,地下一樓
RPSNMLPKQHJGFAB18CC,坡道平面,2900,30.26,地下二樓
RPVOMLPKQHJGFBB68CC,坡道平面,3500,27.23,地下三樓
RPUOMLPKQHJGFBB58CC,坡道平面,3000,27.23,地下二樓
RPWOMLPKQHJGFBB78CC,升降機械,0,,地下一樓
RPPPMLPKQHJGFBB18CC,坡道平面,0,14.03,地下二樓
RPSNMLPKQHJGFCB38CC,坡道平面,0,33.46,地下三樓
RPSNMLPKQHJGFFB68CC,坡道平面,0,27.25,地下二樓
RPRNMLPKQHJGFIB88CC,坡道機械,3000,14.44,地下四樓
RPPNMLPKQHJGFIB68CC,坡道平面,2500,,地下一樓
RPOPMLQKQHJGFAB08CC,坡道平面,0,30.47,地下四樓
RPPPMLQKQHJGFAB18CC,坡道平面,0,30.47,地下三樓
RPQPMLQKQHJGFAB28CC,坡道平面,0,29.77,地下三樓
RPRQMLQKQHJGFBB58CC,坡道平面,1000,27.55,地下二樓
RPPNMLQKQHJGFCB18CC,一樓平面,1500,15.00,一樓
RPSQMLQKQHJGFBB68CC,坡道平面,5000,25.71,地下二樓
RPVNMLQKQHJGFCB78CC,坡道機械,0,18.57,地下五樓含以下
RPSOMLQKQHJGFCB58CC,坡道平面,0,23.14,地下一樓
RPSOMLQKQHJGFCB58CC,坡道機械,0,13.24,地下二樓
RPXOMLQKQHJGFCB09CC,坡道平面,0,33.07,地下五樓含以下
RPRNMLQKQHJGFDB48CC,坡道平面,2140,15.93,地下一樓
