鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
信義區,房地(土地+建物),基隆市信義區培德路２巷１２１之３號,21.7,住,,,1130903,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710726,82.95,3,2,1,有,無,3200000,38577,,0.0,0,陽台外推；,RPVNMLKKRHJGFDC38DA,66.3,0.0,11.62,無,
七堵區,土地,溪頭段466地號,7.59,住,,,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,572500,75428,,0.0,0,,RPRNMLMKRHJGFDC18DA,0.0,0.0,0.0,無,001
中正區,房地(土地+建物),基隆市中正區新豐街４６０之３號六樓,6.79,都市：其他:道路用地,,,1130905,土地5建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,37.71,1,1,1,有,有,3200000,84858,,0.0,0,含租約；,RPRNMLQJRHJGFDC48DA,24.98,0.0,3.4,有,
仁愛區,土地,南新段860地號,16.0,住,,,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,950000,59375,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQOMLQJRHJGFDC48DA,0.0,0.0,0.0,無,002
七堵區,房地(土地+建物),基隆市七堵區崇智街２０之１號,30.33,住,,,1130904,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0590702,70.09,3,2,1,有,無,4500000,64203,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLTJRHJGFDC88DA,70.09,0.0,0.0,無,
中正區,房地(土地+建物),基隆市中正區正義路１００巷１０３號,66.0,都市：其他:住宅區,,,1130903,土地3建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,0570319,48.89,2,1,1,有,無,1850000,37840,,0.0,0,未登記建物；,RPROMLMKRHJGFDC28DA,48.89,0.0,0.0,無,003
七堵區,土地,溪頭段511地號,20.85,住,,,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1575000,75540,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQKRHJGFDC58EA,0.0,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區麥金路４２１巷４之２號,3.38,商,,,1130902,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0691015,11.42,2,1,1,有,有,1000000,87566,,0.0,0,建物權利範圍1/4，土地權利範圍104/40000。親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSKRHJGFDC78EA,11.42,0.0,0.0,有,
信義區,房地(土地+建物),基隆市信義區信二路２２之４號４樓,42.88,住,,,1130810,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731211,116.14,3,2,2,有,無,4680000,40296,,0.0,0,,RPQNMLRLQHJGFDC58DA,104.88,0.0,11.26,無,
