編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLKKRHJGFDC38DA,42,77.92,住家用,鋼筋混凝土造,71年7月26日,五層,四層 陽台,全筆移轉
RPVNMLKKRHJGFDC38DA,42,5.03,共用部份,鋼筋混凝土造,71年7月26日,五層,,持分移轉
RPSNMLTJRHJGFDC88DA,54,70.09,住家用,加強磚造,59年7月2日,三層,二層,全筆移轉
RPQNMLSKRHJGFDC78EA,44,11.42,住家用,鋼筋混凝土造,69年10月15日,八層,三層,持分移轉
RPROMLMKRHJGFDC28DA,56,48.89,住家用,加強磚造,57年3月19日,二層,一層,全筆移轉
RPRNMLQJRHJGFDC48DA,27,28.38,住家用,鋼筋混凝土造,86年11月21日,十八層,六層 陽台,全筆移轉
RPRNMLQJRHJGFDC48DA,27,6.83,共用部份,鋼筋混凝土造,86年11月21日,十八層,,持分移轉
RPRNMLQJRHJGFDC48DA,27,2.50,共用部份,鋼筋混凝土造,86年11月21日,二十一層,,持分移轉
RPROMLRLQHJGFDC78DA,,.07,管理室,鋼筋混凝土造,113年4月16日,十四層,一層,持分移轉
RPQNMLRLQHJGFDC58DA,40,116.14,住家用,鋼筋混凝土造,73年12月11日,四層,四層 陽台,全筆移轉
RPROMLRLQHJGFDC78DA,,101.44,集合住宅,鋼筋混凝土造,113年4月16日,十四層,三層 陽台,全筆移轉
RPROMLRLQHJGFDC78DA,,.03,共用部份,鋼筋混凝土造,113年4月16日,十四層,,持分移轉
RPROMLRLQHJGFDC78DA,,49.40,共用部份,鋼筋混凝土造,113年4月16日,十四層,,持分移轉
RPROMLRLQHJGFDC78DA,,45.31,共用部份,鋼筋混凝土造,113年4月16日,十四層,,持分移轉
RPVNMLTLQHJGFDC66DA,32,7.44,共用部份,鋼筋混凝土造,82年1月11日,十二層,,持分移轉
RPVNMLTLQHJGFDC66DA,32,2.79,停車場,鋼筋混凝土造,82年1月11日,十二層,地下一層,持分移轉
RPVNMLTLQHJGFDC66DA,32,3.02,防空避難室,鋼筋混凝土造,82年1月11日,十二層,地下二層,持分移轉
RPVNMLTLQHJGFDC66DA,32,2.16,共用部份,鋼筋混凝土造,82年1月11日,十二層,,持分移轉
RPVNMLTLQHJGFDC66DA,32,28.14,住家用,鋼筋混凝土造,82年1月11日,十二層,九層 陽台,全筆移轉
RPQNMLPJRHJGFDC28DA,55,45.35,住家用,加強磚造,58年7月2日,二層,一層,全筆移轉
RPPNMLTJRHJGFDC68EA,26,74.39,住家用,鋼筋混凝土造,87年11月11日,十層,九層 陽台 花台 雨遮,全筆移轉
RPPNMLTJRHJGFDC68EA,26,10.39,共用部份,鋼筋混凝土造,87年11月11日,十層,,持分移轉
RPPNMLTJRHJGFDC68EA,26,7.41,共用部份,鋼筋混凝土造,87年11月11日,十層,,持分移轉
RPPNMLTJRHJGFDC68EA,26,1.97,共用部份,鋼筋混凝土造,87年11月11日,十層,,持分移轉
RPWNMLQLQHJGFDC09DA,46,80.39,住家用,鋼筋混凝土造,67年11月15日,四層,四層 陽台,全筆移轉
RPSPMLLLQHJGFDC38DA,43,92.09,住家用,鋼筋混凝土造,70年12月30日,五層,三層 陽台,全筆移轉
RPROMLOJRHJGFDC38DA,6,74.51,集合住宅,鋼筋混凝土造,108年2月12日,十四層,十三層 陽台 雨遮,全筆移轉
RPROMLOJRHJGFDC38DA,6,13.53,本共有部分之項目有樓電梯間、梯廳、樓梯間、設備室、機械室及水箱等六項,鋼筋混凝土造,108年2月12日,十四層,,持分移轉
RPROMLOJRHJGFDC38DA,6,18.66,本共有部分之項目有車道、住宅門廳、排煙室兼梯廳、樓電梯間、陽台、防空避難室兼停車空間、受電箱、安全梯、台電配電場所、電信室、機房、儲藏室、機械設備室、機械室、排煙室、樓梯間、貯藏室、管委會使用空間、門廳及住宅挑高門廳等二十項,鋼筋混凝土造,108年2月12日,十四層,,持分移轉
RPSOMLQJRHJGFDC68DA,26,79.98,住家用,鋼筋混凝土造,88年1月22日,七層,五層 陽台,全筆移轉
RPSOMLQJRHJGFDC68DA,26,15.24,共用部份,鋼筋混凝土造,88年1月22日,七層,,持分移轉
RPSNMLLLQHJGFDC18DA,11,101.41,集合住宅,鋼筋混凝土造,102年9月11日,十四層,十層 陽台 雨遮,全筆移轉
RPSOMLQJRHJGFDC68DA,26,5.32,共用部份,鋼筋混凝土造,88年1月22日,七層,,持分移轉
RPSNMLLLQHJGFDC18DA,11,48.93,本共有部分之項目有樓電梯間、排煙室兼梯廳、地下室排風（機）、受電箱、台電配電室、自來水箱、電信室、資源回收區、停車空間、機車停放區、發電機室、進氣口、汙水處理設備室、消防幫浦室、防空避難室兼停車空間、門廳、機電設備空間、廣場式開放空間、管委會辦公室、公用廁所、社區活動中心等共２１項。,鋼筋混凝土造,102年9月11日,十四層,,持分移轉
RPSOMLQJRHJGFDC68DA,26,1.73,共用部份,鋼筋混凝土造,88年1月22日,七層,,持分移轉
RPSNMLLLQHJGFDC18DA,11,15.88,本共有部分之項目有樓電梯間、排煙室兼梯廳、樓梯間、機械室、水箱等共計５項。,鋼筋混凝土造,102年9月11日,十四層,,持分移轉
RPSOMLQJRHJGFDC68DA,26,2.11,共用部份,鋼筋混凝土造,88年1月22日,七層,,持分移轉
RPSOMLOJRHJGFDC48DA,45,65.05,住家用,鋼筋混凝土造,68年8月20日,四層,二層,全筆移轉
RPSNMLKKRHJGFDC08DA,44,100.07,住家用,鋼筋混凝土造,69年4月22日,五層,地下層,全筆移轉
RPVNMLPJRHJGFDC78DA,53,66.35,住家用,鋼筋混凝土加強磚造,61年1月20日,四層,四層,全筆移轉
RPWNMLKKRHJGFDC48DA,47,66.50,商業用,鋼筋混凝土加強磚造,66年11月14日,四層,一層 騎樓,全筆移轉
RPPQMLNJRHJGFDC28DA,29,40.41,共用部份,鋼筋混凝土造,84年6月10日,四層,,持分移轉
RPXNMLQJRHJGFDC09DA,53,67.47,住家用,鋼筋混凝土加強磚造,61年1月20日,四層,四層,全筆移轉
RPWOMLKKRHJGFDC58DA,66,55.46,住家用,磚造,47年12月0日,二層,一層 二層,全筆移轉
RPROMLKKRHJGFDC08DA,44,149.45,住家用,鋼筋混凝土造,69年12月18日,四層,二層 陽台,全筆移轉
RPSOMLTJRHJGFDC98DA,24,21.47,商業用,鋼骨鋼筋混凝土造,90年2月21日,三十三層,二十層,全筆移轉
RPROMLTJRHJGFDC88DA,24,37.73,商業用,鋼骨鋼筋混凝土造,90年2月21日,三十三層,二十層 陽台,全筆移轉
RPSOMLTJRHJGFDC98DA,24,5.54,共用部份,鋼骨鋼筋混凝土造,90年2月21日,三十三層,,持分移轉
RPSOMLTJRHJGFDC98DA,24,8.58,共用部份,鋼骨鋼筋混凝土造,90年2月21日,三十三層,,持分移轉
RPROMLTJRHJGFDC88DA,24,9.74,共用部份,鋼骨鋼筋混凝土造,90年2月21日,三十三層,,持分移轉
RPROMLTJRHJGFDC88DA,24,14.04,共用部份,鋼骨鋼筋混凝土造,90年2月21日,三十三層,,持分移轉
RPPNMLLKRHJGFDC87DA,29,97.76,住家用,鋼筋混凝土造,84年5月12日,五層,四層 陽台,全筆移轉
RPPNMLLKRHJGFDC87DA,29,12.96,共用部份,鋼筋混凝土造,84年5月12日,五層,,持分移轉
RPXOMLLKRHJGFDC78DA,44,62.48,商業用,鋼筋混凝土造,69年4月18日,五層,一層 騎樓,全筆移轉
RPRNMLLKRHJGFDC08DA,26,97.00,住家用,鋼筋混凝土造,87年6月10日,五層,五層 陽台,全筆移轉
RPRNMLLKRHJGFDC08DA,26,22.90,共用部份,鋼筋混凝土造,87年6月10日,五層,,持分移轉
RPPNMLLJRHJGFDC77DA,27,68.42,住家用,鋼筋混凝土造,86年6月7日,六層,三層 陽台,全筆移轉
RPPNMLLJRHJGFDC77DA,27,7.66,共用部份,鋼筋混凝土造,86年6月7日,六層,,持分移轉
RPPNMLLJRHJGFDC77DA,27,3.90,共用部份,鋼筋混凝土造,86年6月7日,六層,,持分移轉
RPPNMLLJRHJGFDC77DA,27,8.47,共用部份,鋼筋混凝土造,86年6月7日,六層,,持分移轉
RPRPMLLLQHJGFDC28DA,27,46.58,住家用,鋼筋混凝土造,86年11月21日,十七層,十三層 陽台,全筆移轉
RPRPMLLLQHJGFDC28DA,27,11.81,共用部份,鋼筋混凝土造,86年11月21日,十七層,,持分移轉
RPRPMLLLQHJGFDC28DA,27,4.17,共用部份,鋼筋混凝土造,86年11月21日,二十一層,,持分移轉
RPXPMLNJRHJGFDC98DA,29,72.33,住家用,鋼筋混凝土造,84年5月12日,五層,三層 陽台,全筆移轉
RPXPMLNJRHJGFDC98DA,29,11.58,共用部份,鋼筋混凝土造,84年5月12日,五層,,持分移轉
RPVNMLQLQHJGFDC98DA,43,63.55,住家用,鋼筋混凝土造,70年10月8日,四層,三層 陽台,全筆移轉
RPVNMLQLQHJGFDC98DA,43,3.15,共用部份,鋼筋混凝土造,70年10月8日,四層,,持分移轉
RPRPMLTJRHJGFDC98DA,20,.07,住家用,鋼筋混凝土造,93年11月1日,八層,一層,持分移轉
RPRPMLTJRHJGFDC98DA,20,34.25,共用部份,鋼筋混凝土造,93年11月1日,八層,,持分移轉
RPXNMLNKRHJGFDC88DA,45,119.36,住家用,鋼筋混凝土造,68年7月22日,三層,三層 陽台 露台,全筆移轉
RPVNMLNKRHJGFDC68DA,16,21.52,住家用,鋼筋混凝土造,97年7月1日,七層,六層 陽台,全筆移轉
RPVNMLNKRHJGFDC68DA,16,3.45,共用部份,鋼筋混凝土造,97年7月1日,七層,,持分移轉
RPVNMLNKRHJGFDC68DA,16,4.97,共用部份,鋼筋混凝土造,97年7月1日,七層,,持分移轉
RPSNMLMKRHJGFDC28DA,,.07,辦公室,鋼筋混凝土造,113年4月9日,七層,地下二層,持分移轉
RPSNMLMKRHJGFDC28DA,,34.44,本共有部分之項目有管委會使用空間、無障礙電梯、無障礙樓梯、梯廳、樓梯間、水箱、機械室、台電配電場所、汽車昇降機、電信室、發電機室、垃圾儲藏室、消防泵浦室、防空避難室兼停車空間等１４項。,鋼筋混凝土造,113年4月9日,七層,,持分移轉
RPOOMLMKRHJGFDC97DA,,121.04,集合住宅,鋼筋混凝土造,113年4月9日,七層,三層 四層 陽台,全筆移轉
RPOOMLMKRHJGFDC97DA,,.07,辦公室,鋼筋混凝土造,113年4月9日,七層,地下二層,持分移轉
RPOOMLMKRHJGFDC97DA,,44.24,本共有部分之項目有管委會使用空間、無障礙電梯、無障礙樓梯、梯廳、樓梯間、水箱、機械室、台電配電場所、汽車昇降機、電信室、發電機室、垃圾儲藏室、消防泵浦室、防空避難室兼停車空間等１４項。,鋼筋混凝土造,113年4月9日,七層,,持分移轉
RPOOMLMKRHJGFDC97DA,,34.44,本共有部分之項目有管委會使用空間、無障礙電梯、無障礙樓梯、梯廳、樓梯間、水箱、機械室、台電配電場所、汽車昇降機、電信室、發電機室、垃圾儲藏室、消防泵浦室、防空避難室兼停車空間等１４項。,鋼筋混凝土造,113年4月9日,七層,,持分移轉
RPOOMLSLQHJGFDC58DA,2,53.30,集合住宅,鋼筋混凝土造,111年12月1日,十五層,十二層 陽台 雨遮,全筆移轉
RPOOMLSLQHJGFDC58DA,2,42.21,本建物共有部分之項目有停車空間．機電設備空間．無障礙電梯．排煙室．自來水池．防空避難室兼停車空間．台電配電場所．垃圾儲藏室．梯廳．外廊．門廊．陽台．管委會管理空間．游泳池．安全梯．管道間．消防水箱．自來水箱．樓梯間等共１９項。,鋼筋混凝土造,111年12月1日,十五層,,持分移轉
RPVOMLKMQHJGFDC58DA,45,64.99,住家用,鋼筋混凝土造,68年2月28日,四層,二層 陽台,全筆移轉
RPVOMLOJRHJGFDC78DA,28,96.31,住家用,鋼筋混凝土造,86年1月15日,五層,五層 陽台,全筆移轉
RPVOMLOJRHJGFDC78DA,28,36.82,共用部份,鋼筋混凝土造,86年1月15日,五層,,持分移轉
RPVOMLOJRHJGFDC78DA,28,9.91,共用部份,鋼筋混凝土造,86年1月15日,五層,,持分移轉
RPOSMLNJRHJGFDC38DA,55,50.97,住家用,加強磚造,58年6月24日,二層,一層,全筆移轉
RPQOMLKKRHJGFDC97DA,2,53.47,集合住宅,鋼筋混凝土造,111年12月1日,十五層,十五層 陽台 雨遮,全筆移轉
RPQOMLKKRHJGFDC97DA,2,55.78,本建物共有部分之項目有停車空間．機電設備空間．無障礙電梯．排煙室．自來水池．防空避難室兼停車空間．台電配電場所．垃圾儲藏室．梯廳．外廊．門廊．陽台．管委會管理空間．游泳池．安全梯．管道間．消防水箱．自來水箱．樓梯間等共１９項。,鋼筋混凝土造,111年12月1日,十五層,,持分移轉
RPOOMLLKRHJGFDC87DA,30,107.14,住家用,鋼筋混凝土造,83年4月25日,六層,三層 陽台,全筆移轉
RPOOMLLKRHJGFDC87DA,30,9.44,共用部份,鋼筋混凝土造,83年4月25日,六層,,持分移轉
RPPNMLNKRHJGFDC08DA,53,55.88,住家用,鋼筋混凝土加強磚造,61年1月8日,四層,三層,全筆移轉
RPOOMLLKRHJGFDC87DA,30,.87,共用部份,鋼筋混凝土造,83年4月25日,六層,,持分移轉
RPPOMLOKQHJGFDC18DA,9,88.45,集合住宅,鋼筋混凝土造,104年12月28日,十五層,八層 陽台 雨遮,全筆移轉
RPPOMLOKQHJGFDC18DA,9,81.64,本共有部分之項目有公共服務空間、管委會使用空間、門廳、梯廳、緊急升降機、進氣管道、排氣管道、排煙室、特別安全梯、行動不便者電梯、機電設備空間、樓梯間、消防水池、自來水箱、台電配電室、發電機室、垃圾儲藏室、垃圾車裝卸空間、機電設備空間（電信使用）、防空避難室兼停車空間、電梯間、停車空間、機電設備空間（污廢水設備）及消防泵浦室等２４項,鋼筋混凝土造,104年12月28日,十五層,,持分移轉
RPPNMLQKRHJGFDC48EA,29,80.79,住家用,鋼筋混凝土造,84年11月29日,五層,三層 陽台,全筆移轉
RPPNMLQKRHJGFDC48EA,29,11.36,共用部份,鋼筋混凝土造,84年11月29日,五層,,持分移轉
RPQOMLLLQHJGFDC08DA,29,90.53,住家用,鋼筋混凝土造,84年11月22日,九層,六層 陽台,全筆移轉
RPTNMLLKRHJGFDC28DA,50,71.37,住家用,鋼筋混凝土造,64年1月3日,四層,二層 陽台,全筆移轉
RPQOMLLLQHJGFDC08DA,29,48.76,共用部份,鋼筋混凝土造,84年11月22日,九層,,持分移轉
RPPOMLMKRHJGFDC08DA,26,102.00,住家用,鋼筋混凝土造,88年1月14日,十六層,六層 陽台,全筆移轉
RPPOMLMKRHJGFDC08DA,26,19.49,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPPOMLMKRHJGFDC08DA,26,5.68,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPPOMLMKRHJGFDC08DA,26,2.45,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPSNMLNKRHJGFDC38DA,31,94.90,住家用,鋼筋混凝土造,83年2月1日,五層,五層 陽台,全筆移轉
RPPOMLMKRHJGFDC08DA,26,1.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPSNMLNKRHJGFDC38DA,31,3.05,共用部份,鋼筋混凝土造,83年2月1日,五層,,持分移轉
RPWOMLNKRHJGFDC88DA,29,100.22,住家用,鋼筋混凝土造,84年8月21日,七層,五層 陽台 花台,全筆移轉
RPWOMLNKRHJGFDC88DA,29,18.60,共用部份,鋼筋混凝土造,84年8月21日,九層,,持分移轉
RPPOMLSKRHJGFDC68DA,48,81.14,住商用,鋼筋混凝土加強磚造,65年10月19日,五層,三層,全筆移轉
RPUNMLMJQHJGFDC28DA,43,88.54,住家用,鋼筋混凝土造,70年12月9日,四層,四層,全筆移轉
RPPOMLPJRHJGFDC28DA,41,86.65,住家用,鋼筋混凝土造,72年2月8日,五層,五層,全筆移轉
