編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLMKRHJGFDC18DA,溪頭段,7.59,都市：其他:住宅區(住三),1920,60,持分移轉,04660000
RPVNMLKKRHJGFDC38DA,光明段,21.70,都市：其他:住宅區,10,1,持分移轉,05300000
RPQOMLQJRHJGFDC48DA,南新段,16.00,都市：其他:住宅區(住三),1,1,全筆移轉,08600000
RPSNMLTJRHJGFDC88DA,大華段,30.33,都市：其他:住宅區(住三),3,1,持分移轉,07170000
RPQNMLSKRHJGFDC78EA,安國段,3.38,都市：其他:商業區,40000,104,持分移轉,00520000
RPRNMLQJRHJGFDC48DA,調和段,.00,都市：其他:道路用地,100000,20,持分移轉,13590000
RPROMLMKRHJGFDC28DA,忠義段六小段,50.50,都市：其他:住宅區,2,1,持分移轉,00370021
RPROMLMKRHJGFDC28DA,忠義段六小段,8.50,都市：其他:道路用地,2,1,持分移轉,00370082
RPRNMLQJRHJGFDC48DA,調和段,.00,都市：其他:道路用地,100000,20,持分移轉,13590001
RPRNMLQJRHJGFDC48DA,調和段,6.79,都市：其他:住宅區(住二),100000,20,持分移轉,14150000
RPQNMLQKRHJGFDC58EA,溪頭段,20.85,都市：其他:住宅區(住三),585,14,持分移轉,05110000
RPROMLMKRHJGFDC28DA,忠義段六小段,7.00,都市：其他:住宅區,2,1,持分移轉,00370105
RPRNMLQJRHJGFDC48DA,調和段,.00,都市：其他:住宅區(住二),100000,20,持分移轉,14150001
RPRNMLQJRHJGFDC48DA,調和段,.00,都市：其他:住宅區(住一),100000,20,持分移轉,14150002
RPROMLRLQHJGFDC78DA,中濱段,48.34,都市：其他:住宅區(住一),10000,305,持分移轉,00370000
RPQNMLRLQHJGFDC58DA,東信段三小段,42.88,都市：其他:住宅區,1000,125,持分移轉,00170050
RPVNMLTLQHJGFDC66DA,新會段,6.33,都市：其他:住宅區(住二),10000,38,持分移轉,02100000
RPQNMLPJRHJGFDC28DA,成功段,29.50,都市：其他:住宅區,2,1,持分移轉,12020000
RPPNMLTJRHJGFDC68EA,明德段,21.45,都市：其他:住宅區(住五),100000,568,持分移轉,06490000
RPPNMLTJRHJGFDC68EA,明德段,1.88,都市：其他:乙種工業區,100000,568,持分移轉,06570001
RPWNMLQLQHJGFDC09DA,麥金段,31.98,都市：其他:住宅區(住二),10000,72,持分移轉,03920000
RPWNMLQLQHJGFDC09DA,麥金段,.97,都市：其他:住宅區(住二),10000,72,持分移轉,03920001
RPSPMLLLQHJGFDC38DA,觀音段,20.83,都市：其他:住宅區,6,1,持分移轉,04890000
RPROMLOJRHJGFDC38DA,調和段,25.06,都市：其他:住宅區(住二),10000,33,持分移轉,11250000
RPSOMLQJRHJGFDC68DA,深澳段,24.53,都市：其他:住宅區(住四),100000,104,持分移轉,10170000
RPSNMLLLQHJGFDC18DA,源遠段,16.05,都市：其他:商業區(商一),10000,85,持分移轉,11400000
RPWNMLKKRHJGFDC48DA,明德段,28.75,都市：其他:住宅區(住五之一),4,1,持分移轉,05270000
RPVNMLPJRHJGFDC78DA,光明段,20.00,都市：其他:住宅區,4,1,持分移轉,08810000
RPSNMLKKRHJGFDC08DA,大華段,29.64,都市：其他:住宅區(住三),45,1,持分移轉,08780000
RPVNMLPJRHJGFDC78DA,光明段,1.25,都市：其他:道路用地,4,1,持分移轉,08810001
RPVNMLPJRHJGFDC78DA,光明段,.50,都市：其他:市場用地,4,1,持分移轉,08810002
RPPQMLNJRHJGFDC28DA,培德段,3.87,都市：其他:住宅區(住四),100000,45,持分移轉,07640000
RPXNMLQJRHJGFDC09DA,光明段,20.25,都市：其他:住宅區,4,1,持分移轉,08820000
RPXNMLQJRHJGFDC09DA,光明段,1.25,都市：其他:道路用地,4,1,持分移轉,08820001
RPXNMLQJRHJGFDC09DA,光明段,.50,都市：其他:市場用地,4,1,持分移轉,08820002
RPWOMLKKRHJGFDC58DA,德厚段,53.00,都市：其他:住宅區(住一),1,1,全筆移轉,07150000
RPROMLKKRHJGFDC08DA,五堵段五堵北小段,10.88,都市：其他:住宅區,10000,318,持分移轉,08560000
RPROMLKKRHJGFDC08DA,五堵段五堵北小段,8.40,都市：其他:住宅區,10000,318,持分移轉,08570000
RPROMLKKRHJGFDC08DA,五堵段五堵北小段,12.97,都市：其他:住宅區,10000,318,持分移轉,08580000
RPROMLKKRHJGFDC08DA,五堵段五堵北小段,14.41,都市：其他:住宅區,10000,318,持分移轉,08590000
RPSOMLTJRHJGFDC98DA,忠義段一小段,.02,都市：其他:道路用地,10000,12,持分移轉,00010000
RPROMLTJRHJGFDC88DA,忠義段一小段,.04,都市：其他:道路用地,10000,22,持分移轉,00010000
RPSOMLTJRHJGFDC98DA,日新段一小段,2.07,都市：其他:商業區(商四),10000,12,持分移轉,00030000
RPROMLTJRHJGFDC88DA,日新段一小段,3.79,都市：其他:商業區(商四),10000,22,持分移轉,00030000
RPPNMLLKRHJGFDC87DA,德安段,31.01,都市：其他:住宅區(住二),7638,28,持分移轉,03710000
RPXOMLLKRHJGFDC78DA,光明段,15.00,都市：其他:住宅區,600,25,持分移轉,03520000
RPRNMLLKRHJGFDC08DA,基瑞段,30.78,都市：其他:住宅區(住四),10000,91,持分移轉,01220000
RPPNMLLJRHJGFDC77DA,福祿段,21.77,都市：其他:住宅區,10000,11,持分移轉,05090000
RPPNMLLJRHJGFDC77DA,福祿段,.05,都市：其他:道路用地,10000,11,持分移轉,05090001
RPPNMLLJRHJGFDC77DA,福祿段,.00,都市：其他:兒童遊樂場用地,10000,11,持分移轉,05090002
RPPNMLLJRHJGFDC77DA,福祿段,.00,都市：其他:住宅區,10000,11,持分移轉,05090003
RPPNMLLJRHJGFDC77DA,福祿段,.04,都市：其他:保護區,10000,11,持分移轉,05090004
RPPNMLLJRHJGFDC77DA,福祿段,.00,都市：其他:保護區,10000,11,持分移轉,05090005
RPRPMLLLQHJGFDC28DA,調和段,12.21,都市：其他:住宅區(住二),100000,36,持分移轉,14150000
RPRPMLLLQHJGFDC28DA,調和段,.01,都市：其他:住宅區(住二),100000,36,持分移轉,14150001
RPRPMLLLQHJGFDC28DA,調和段,.00,都市：其他:住宅區(住一),100000,36,持分移轉,14150002
RPXPMLNJRHJGFDC98DA,德安段,21.77,都市：其他:住宅區(住二),20000,40,持分移轉,05220000
RPXPMLNJRHJGFDC98DA,德安段,.21,都市：其他:道路用地,20000,40,持分移轉,05220001
RPXPMLNJRHJGFDC98DA,德安段,.06,都市：其他:倉儲區,20000,40,持分移轉,05220002
RPXPMLNJRHJGFDC98DA,德安段,.04,都市：其他:住宅區(住二),20000,40,持分移轉,05220003
RPXPMLNJRHJGFDC98DA,德安段,.07,都市：其他:道路用地,20000,40,持分移轉,05220004
RPXPMLNJRHJGFDC98DA,德安段,.03,都市：其他:道路用地,20000,40,持分移轉,05220005
RPVNMLQLQHJGFDC98DA,暖暖段暖暖小段,7.67,都市：其他:住宅區(住三),132,1,持分移轉,02870002
RPVNMLQLQHJGFDC98DA,暖暖段暖暖小段,27.37,都市：其他:住宅區(住三),10000,163,持分移轉,03430000
RPRPMLTJRHJGFDC98DA,德厚段,.90,都市：其他:住宅區(住三),10000,2,持分移轉,07450000
RPXNMLNKRHJGFDC88DA,過港段,27.90,都市：其他:住宅區,10,1,持分移轉,02380000
RPRPMLTJRHJGFDC98DA,德厚段,.00,都市：其他:道路用地,10000,2,持分移轉,07450012
RPXNMLNKRHJGFDC88DA,過港段,1.30,都市：其他:公園用地,10,1,持分移轉,02380001
RPXNMLNKRHJGFDC88DA,過港段,1.30,都市：其他:道路用地,10,1,持分移轉,02380002
RPVNMLNKRHJGFDC68DA,德育段,10.43,都市：其他:住宅區(住二),100000,138,持分移轉,03680000
RPSNMLMKRHJGFDC28DA,深美段,5.58,都市：其他:住宅區(住四),10000,10,持分移轉,08400004
RPOOMLMKRHJGFDC97DA,深美段,55.28,都市：其他:住宅區(住四),10000,99,持分移轉,08400004
RPOOMLSLQHJGFDC58DA,德安段,12.40,都市：其他:商業區(商二),100000,95,持分移轉,10900000
RPVOMLKMQHJGFDC58DA,麥金段,14.12,都市：其他:住宅區(住二),10000,43,持分移轉,03960000
RPVOMLKMQHJGFDC58DA,麥金段,1.31,都市：其他:道路用地,10000,43,持分移轉,03960001
RPVOMLKMQHJGFDC58DA,麥金段,20.21,都市：其他:住宅區(住二),10000,43,持分移轉,03960002
RPVOMLKMQHJGFDC58DA,麥金段,.03,都市：其他:住宅區(住二),10000,43,持分移轉,03960003
RPVOMLKMQHJGFDC58DA,麥金段,.02,都市：其他:住宅區(住二),10000,43,持分移轉,04010000
RPVOMLKMQHJGFDC58DA,麥金段,.02,都市：其他:住宅區(住二),10000,43,持分移轉,04040000
RPVOMLKMQHJGFDC58DA,麥金段,4.34,都市：其他:學校用地(文高),10000,43,持分移轉,04200000
RPVOMLOJRHJGFDC78DA,源遠段,31.40,都市：其他:住宅區(住一),1000,55,持分移轉,12560000
RPVOMLKMQHJGFDC58DA,麥金段,1.13,都市：其他:學校用地(文高),10000,43,持分移轉,04200001
RPVOMLKMQHJGFDC58DA,麥金段,.51,都市：其他:住宅區(住二),10000,43,持分移轉,04200002
RPVOMLKMQHJGFDC58DA,麥金段,.34,都市：其他:住宅區(住二),10000,43,持分移轉,04200003
RPVOMLKMQHJGFDC58DA,麥金段,.31,都市：其他:住宅區(住二),10000,43,持分移轉,04200004
RPVOMLKMQHJGFDC58DA,麥金段,.06,都市：其他:學校用地(文高),10000,43,持分移轉,04200005
RPQOMLKKRHJGFDC97DA,德安段,12.53,都市：其他:商業區(商二),100000,96,持分移轉,10900000
RPOOMLLKRHJGFDC87DA,長潭段,22.29,都市：其他:住宅區(住三),10000,208,持分移轉,03440000
RPOOMLLKRHJGFDC87DA,長潭段,.00,都市：其他:道路用地,10000,208,持分移轉,03440006
RPPNMLNKRHJGFDC08DA,中央段四小段,10.00,都市：其他:住宅區(住一),4,1,持分移轉,00850000
RPOOMLLKRHJGFDC87DA,長潭段,.27,都市：其他:道路用地,10000,208,持分移轉,03440007
RPPNMLNKRHJGFDC08DA,中央段四小段,7.00,都市：其他:住宅區(住一),4,1,持分移轉,00860000
RPPOMLOKQHJGFDC18DA,源遠段,26.15,都市：其他:住宅區(住三),100000,747,持分移轉,00350000
