編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPROMLRLQHJGFDC78DA,坡道平面,1500000,45.42,地下三樓
RPSNMLLLQHJGFDC18DA,坡道平面,0,32.86,地下二樓
RPPQMLNJRHJGFDC28DA,坡道平面,650000,40.41,地下二樓
RPRPMLTJRHJGFDC98DA,坡道平面,0,34.24,地下一樓
RPSNMLMKRHJGFDC28DA,升降平面,820000,34.22,地下一樓
RPOOMLMKRHJGFDC97DA,坡道平面,0,34.22,地下二樓
RPOOMLSLQHJGFDC58DA,坡道機械,0,13.57,地下四樓
RPVOMLOJRHJGFDC78DA,升降平面,0,,地下一樓
RPQOMLKKRHJGFDC97DA,坡道平面,0,27.14,地下一樓
RPPOMLOKQHJGFDC18DA,坡道平面,0,,地下一樓
RPQOMLLLQHJGFDC08DA,坡道平面,0,,地下二樓
RPOOMLQLPHJGFDC28DA,升降機械,0,,地下一樓
RPROMLQJRHJGFDC58DA,坡道平面,0,29.66,地下三樓
RPUNMLTJRHJGFDC09DA,坡道機械,0,13.57,地下四樓
RPQOMLTLQHJGFDC88DA,坡道平面,800000,,地下二樓
RPTOMLOJRHJGFDC58DA,坡道平面,0,,地下三樓
RPPPMLTJRHJGFDC78DA,坡道機械,0,29.59,地下二樓
RPUOMLTJRHJGFDC56DA,坡道機械,0,20.76,地下三樓
RPROMLNKQHJGFDC28DA,坡道平面,1500000,34.22,地下二樓
RPROMLNKQHJGFDC28DA,坡道機械,1200000,34.22,地下一樓
RPPNMLKKRHJGFDC77DA,坡道機械,0,14.57,地下一樓
RPOPMLTKQHJGFDC68DA,坡道平面,0,37.58,地下二樓
RPOOMLPJRHJGFDC18DA,坡道平面,1250000,17.88,地下三樓
RPSOMLQJQHJGFDC58DA,坡道機械,0,,地下三樓
RPTOMLMLPHJGFDC38DA,坡道平面,0,,地下二樓
RPXNMLTJRHJGFDC76DA,坡道平面,1650000,29.66,地下一樓
RPVOMLNKRHJGFDC78DA,坡道平面,0,24.17,地下一樓
RPTNMLMKRHJGFDC38DA,坡道平面,0,35.79,地下二樓
RPPNMLQJPHJGFDC08DA,坡道平面,0,,一樓
RPROMLMKQHJGFDC18DA,其他,0,,一樓
RPQNMLLKQHJGFDC87DA,坡道平面,0,35.43,地下三樓
RPQNMLMKRHJGFDC08DA,坡道平面,0,27.14,地下二樓
RPOQMLSLQHJGFDC78DA,坡道平面,1620000,29.66,地下一樓
RPSOMLNLQHJGFDC48DA,坡道平面,0,21.86,地下一樓
RPSOMLKKRHJGFDC18DA,坡道平面,0,29.66,地下三樓
RPQQMLSLQHJGFDC98DA,坡道平面,1800000,29.66,地下三樓
RPUPMLSLQHJGFDC66DA,坡道平面,1850000,29.66,地下二樓
RPOOMLKMQHJGFDC87DA,坡道平面,1700000,29.66,地下三樓
RPTPMLSLQHJGFDC56DA,坡道平面,1700000,29.66,地下二樓
RPPQMLSLQHJGFDC88DA,坡道平面,1900000,29.66,地下二樓
RPSOMLSLQHJGFDC98DA,坡道平面,1550000,29.66,地下四樓
RPQOMLSLQHJGFDC78DA,坡道平面,1650000,29.66,地下四樓
RPWOMLSLQHJGFDC76DA,坡道平面,1600000,29.66,地下三樓
RPRPMLSLQHJGFDC98DA,坡道平面,1750000,29.66,地下二樓
RPSPMLSLQHJGFDC09DA,坡道平面,1600000,29.66,地下四樓
RPOPMLSLQHJGFDC68DA,坡道機械,1000000,14.57,地下一樓
RPXPMLSLQHJGFDC96DA,坡道平面,1700000,29.66,地下三樓
RPPOMLSLQHJGFDC68DA,坡道平面,1550000,29.66,地下二樓
RPOOMLTJRHJGFDC58DA,坡道平面,1800000,29.66,地下三樓
RPPPMLSLQHJGFDC78DA,坡道平面,1700000,29.66,地下四樓
RPVPMLSLQHJGFDC76DA,坡道平面,1650000,29.66,地下四樓
RPTOMLSLQHJGFDC09DA,坡道平面,1650000,29.66,地下五樓含以下
RPWPMLSLQHJGFDC86DA,坡道平面,1650000,29.66,地下三樓
RPVOMLSLQHJGFDC66DA,坡道平面,1550000,29.66,地下五樓含以下
RPQPMLSLQHJGFDC88DA,坡道平面,1850000,29.66,地下二樓
