編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLMLQHJGFDC08CB,五堵段五堵北小段,7.18,都市：商,10000,136,持分移轉,07700000
RPQNMLMLQHJGFDC08CB,五堵段五堵北小段,5.66,都市：商,10000,136,持分移轉,07670000
RPQNMLMLQHJGFDC08CB,五堵段五堵北小段,2.57,都市：商,10000,136,持分移轉,07660001
RPQNMLKMQHJGFDC97CB,金華段,7.74,都市：住,1000000,1215,持分移轉,00200000
RPQNMLKMQHJGFDC97CB,金華段,.02,都市：住,1000000,1215,持分移轉,00210000
RPPNMLKMQHJGFDC87CB,金華段,7.15,都市：住,1000000,1123,持分移轉,00200000
RPPNMLKMQHJGFDC87CB,金華段,.02,都市：住,1000000,1123,持分移轉,00210000
RPPNMLNLQHJGFDC08CB,湖海段,72.99,都市：住,1000,223,持分移轉,02570000
RPQOMLKMQHJGFDC08CB,金華段,8.73,都市：住,1000000,1371,持分移轉,00200000
RPPNMLNLQHJGFDC08CB,湖海段,103.27,都市：住,1000,223,持分移轉,02610000
RPQOMLKMQHJGFDC08CB,金華段,.02,都市：住,1000000,1371,持分移轉,00210000
RPOOMLKMQHJGFDC87CB,金華段,7.34,都市：住,1000000,1152,持分移轉,00200000
RPOOMLKMQHJGFDC87CB,金華段,.02,都市：住,1000000,1152,持分移轉,00210000
RPWOMLKMQHJGFDC68CB,金華段,6.95,都市：住,1000000,1092,持分移轉,00200000
RPWOMLKMQHJGFDC68CB,金華段,.02,都市：住,1000000,1092,持分移轉,00210000
RPXNMLKMQHJGFDC68CB,金華段,8.72,都市：住,1000000,1369,持分移轉,00200000
RPXNMLKMQHJGFDC68CB,金華段,.02,都市：住,1000000,1369,持分移轉,00210000
RPVOMLKMQHJGFDC58CB,金華段,7.74,都市：住,1000000,1215,持分移轉,00200000
RPVOMLKMQHJGFDC58CB,金華段,.02,都市：住,1000000,1215,持分移轉,00210000
RPRPMLKMQHJGFDC28CB,金華段,6.95,都市：住,1000000,1092,持分移轉,00200000
RPRPMLKMQHJGFDC28CB,金華段,.02,都市：住,1000000,1092,持分移轉,00210000
RPSPMLKMQHJGFDC38CB,金華段,6.95,都市：住,1000000,1092,持分移轉,00200000
RPSPMLKMQHJGFDC38CB,金華段,.02,都市：住,1000000,1092,持分移轉,00210000
RPVPMLKMQHJGFDC68CB,金華段,6.95,都市：住,1000000,1092,持分移轉,00200000
RPVPMLKMQHJGFDC68CB,金華段,.02,都市：住,1000000,1092,持分移轉,00210000
RPTPMLKMQHJGFDC48CB,金華段,7.32,都市：住,1000000,1149,持分移轉,00200000
RPTPMLKMQHJGFDC48CB,金華段,.02,都市：住,1000000,1149,持分移轉,00210000
RPRQMLKMQHJGFDC38CB,金華段,8.73,都市：住,1000000,1371,持分移轉,00200000
RPRQMLKMQHJGFDC38CB,金華段,.02,都市：住,1000000,1371,持分移轉,00210000
RPPQMLKMQHJGFDC18CB,金華段,7.70,都市：住,1000000,1209,持分移轉,00200000
RPPQMLKMQHJGFDC18CB,金華段,.02,都市：住,1000000,1209,持分移轉,00210000
RPOQMLKMQHJGFDC08CB,金華段,6.95,都市：住,1000000,1092,持分移轉,00200000
RPOQMLKMQHJGFDC08CB,金華段,.02,都市：住,1000000,1092,持分移轉,00210000
RPXPMLKMQHJGFDC88CB,金華段,6.95,都市：住,1000000,1092,持分移轉,00200000
RPXPMLKMQHJGFDC88CB,金華段,.02,都市：住,1000000,1092,持分移轉,00210000
RPSQMLKMQHJGFDC48CB,金華段,6.95,都市：住,1000000,1092,持分移轉,00200000
RPSQMLKMQHJGFDC48CB,金華段,.02,都市：住,1000000,1092,持分移轉,00210000
RPPNMLMJRHJGFDC87CB,田寮段,39.15,都市：住,10000,256,持分移轉,00890000
RPRNMLMJRHJGFDC08CB,培德段,.04,都市：住,10000,702,持分移轉,07530001
RPRNMLMJRHJGFDC08CB,培德段,39.99,都市：住,10000,702,持分移轉,07550000
RPRNMLMJRHJGFDC08CB,培德段,.12,都市：住,10000,702,持分移轉,07550002
RPRNMLMJRHJGFDC08CB,培德段,16.72,都市：住,10000,702,持分移轉,07560000
RPRNMLMJRHJGFDC08CB,培德段,1.30,都市：住,10000,702,持分移轉,07570000
RPTPMLNKRHJGFDC68CB,金華段,8.73,都市：住,1000000,1371,持分移轉,00200000
RPTPMLNKRHJGFDC68CB,金華段,.02,都市：住,1000000,1371,持分移轉,00210000
