編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLMLQHJGFDC08CB,坡道平面,2200000,41.77,地下三樓
RPQNMLKMQHJGFDC97CB,坡道平面,3100000,15.74,地下一樓
RPPNMLKMQHJGFDC87CB,坡道平面,2650000,15.74,地下二樓
RPPNMLNLQHJGFDC08CB,一樓平面,0,13.75,一樓
RPVOMLKMQHJGFDC58CB,坡道平面,3100000,15.74,地下一樓
RPVPMLKMQHJGFDC68CB,坡道平面,2900000,14.19,地下一樓
RPRQMLKMQHJGFDC38CB,坡道平面,2850000,15.74,地下二樓
RPSQMLKMQHJGFDC48CB,坡道平面,2650000,15.74,地下二樓
RPPNMLMJRHJGFDC87CB,坡道平面,1900000,40.23,地下二樓
RPRNMLMJRHJGFDC08CB,一樓平面,1150000,19.94,一樓
RPTPMLNKRHJGFDC68CB,坡道平面,2700000,15.74,地下三樓
