鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中正區,租賃房屋,基隆市中正區觀海街１６８號１４樓,0.0,,,,1130809,土地0建物1車位0,十四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,70.7,2,1,2,有,有,無,10000,141,,0.0,0,此物件純租金為10000元，另加管理費1000元由承租人負擔，合計11000元,RPPNMLMKQHJGFDC97CC,整棟(戶)出租,有,1130810~1140809,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區基金一路１２１巷２０之１號三樓,0.0,,,,1130802,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850503,91.59,3,2,2,有,無,有,15000,164,,0.0,0,,RPQNMLMKQHJGFDC08CC,整棟(戶)出租,無,1130808~1140807,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
中山區,租賃房屋,基隆市中山區復興路２０７號十四樓之１,0.0,,,,1130802,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111201,101.25999999999999,3,1,2,有,有,無,17600,174,,0.0,0,,RPRNMLMKQHJGFDC18CC,整棟(戶)出租,有,1130806~1140805,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
安樂區,租賃房屋,基隆市安樂區基金一路１６４之２號五樓,0.0,,,,1130807,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871210,54.349999999999994,1,1,1,有,有,有,6000,110,,0.0,0,,RPSNMLMKQHJGFDC28CC,獨立套房,有,1130807~1140806,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
中山區,租賃房屋,基隆市中山區復興路２３７號十三樓之６,0.0,,,,1130806,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130116,85.14,2,1,1,有,有,無,17600,207,,0.0,0,,RPTNMLMKQHJGFDC38CC,整棟(戶)出租,有,1130809~1140808,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
安樂區,租賃房屋,基隆市安樂區基金一路１４６號,0.0,,,,1130807,土地0建物1車位0,一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871210,122.8,3,2,1,有,有,有,12000,98,,0.0,0,,RPUNMLMKQHJGFDC48CC,整棟(戶)出租,有,1130817~1140816,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
中山區,租賃房屋,基隆市中山區復興路２１７號五樓之８,0.0,,,,1130809,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111201,86.89,2,2,1,有,有,有,18100,208,,0.0,0,管理費1700元,RPVNMLMKQHJGFDC58CC,整棟(戶)出租,有,1130825~1140824,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
中正區,租賃房屋,基隆市中正區信六路３４巷１２號,0.0,,,,1130809,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0491215,65.72,2,1,1,有,無,有,8000,122,,0.0,0,,RPWNMLMKQHJGFDC68CC,整棟(戶)出租,無,1130831~1140830,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
安樂區,租賃房屋,基隆市安樂區樂利三街５９號三樓之３,0.0,,,,1130809,土地0建物1車位0,三層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860117,95.02,2,1,1,有,有,有,12500,132,,0.0,0,,RPXNMLMKQHJGFDC78CC,整棟(戶)出租,有,1130821~1140820,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
