編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLMKQHJGFDC48CC,26,104.19,住家用,鋼筋混凝土造,87年12月10日,十二層,,
RPUNMLMKQHJGFDC48CC,26,2.47,共用部份,鋼筋混凝土造,87年12月10日,十二層,,
RPRNMLMKQHJGFDC18CC,2,66.08,集合住宅,鋼筋混凝土造,111年12月1日,十五層,,
RPPNMLMKQHJGFDC97CC,26,57.92,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPUNMLMKQHJGFDC48CC,26,16.14,共用部份,鋼筋混凝土造,87年12月10日,十二層,,
RPWNMLMKQHJGFDC68CC,64,65.72,住家用,加強磚造,49年12月15日,二層,,
RPRNMLMKQHJGFDC18CC,2,35.18,本建物共有部分之項目有停車空間．機電設備空間．無障礙電梯．排煙室．自來水池．防空避難室兼停車空間．台電配電場所．垃圾儲藏室．梯廳．外廊．門廊．陽台．管委會管理空間．游泳池．安全梯．管道間．消防水箱．自來水箱．樓梯間等共１９項。,鋼筋混凝土造,111年12月1日,十五層,,
RPPNMLMKQHJGFDC97CC,26,7.88,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLMKQHJGFDC97CC,26,.70,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLMKQHJGFDC97CC,26,2.10,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLMKQHJGFDC97CC,26,1.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLMKQHJGFDC97CC,26,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPQNMLMKQHJGFDC08CC,28,77.03,住家用,鋼筋混凝土造,85年5月3日,五層,,
RPTNMLMKQHJGFDC38CC,1,55.48,集合住宅,鋼筋混凝土造,113年1月16日,十三層,,
RPQNMLMKQHJGFDC08CC,28,5.22,共用部份,鋼筋混凝土造,85年5月3日,五層,,
RPTNMLMKQHJGFDC38CC,1,29.66,本建物共有部分之項目有防災中心．安全梯．緊急升降機．梯廳．排風管道．門廊．排煙室．儲藏室．管委會管理空間．機電設備空間．無障礙樓梯．管道間．樓梯間．電梯間．消防水箱．自來水箱．台電配電場所．停車空間．防空避難室兼停車空間．垃圾儲藏室．門廳．台電管道間．自來水池．陽台．雨遮．中繼消防水箱等共２６項。,鋼筋混凝土造,113年1月16日,二十二層,,
RPQNMLMKQHJGFDC08CC,28,9.34,共用部份,鋼筋混凝土造,85年5月3日,五層,,
RPVNMLMKQHJGFDC58CC,2,56.74,集合住宅,鋼筋混凝土造,111年12月1日,十五層,,
RPVNMLMKQHJGFDC58CC,2,30.15,本建物共有部分之項目有停車空間．機電設備空間．無障礙電梯．排煙室．自來水池．防空避難室兼停車空間．台電配電場所．垃圾儲藏室．梯廳．外廊．門廊．陽台．管委會管理空間．游泳池．安全梯．管道間．消防水箱．自來水箱．樓梯間等共１９項。,鋼筋混凝土造,111年12月1日,十五層,,
RPSNMLMKQHJGFDC28CC,26,40.48,住家用,鋼筋混凝土造,87年12月10日,十二層,,
RPSNMLMKQHJGFDC28CC,26,7.72,共用部份,鋼筋混凝土造,87年12月10日,十二層,,
RPSNMLMKQHJGFDC28CC,26,6.15,共用部份,鋼筋混凝土造,87年12月10日,十二層,,
RPXNMLMKQHJGFDC78CC,28,74.19,住家用,鋼筋混凝土造,86年1月17日,二十層,,
RPOOMLMKQHJGFDC97CC,28,87.64,住家用,鋼筋混凝土造,85年4月26日,十六層,,
RPOOMLMKQHJGFDC97CC,28,8.81,共用部份,鋼筋混凝土造,85年4月26日,十六層,,
RPXNMLMKQHJGFDC78CC,28,19.33,共用部份,鋼筋混凝土造,86年1月17日,二十層,,
RPXNMLMKQHJGFDC78CC,28,1.50,共用部份,鋼筋混凝土造,86年1月17日,二十層,,
RPSNMLNKQHJGFDC38CC,42,104.35,住家用,鋼筋混凝土造,71年12月29日,五層,,
RPPNMLNKQHJGFDC08CC,49,71.11,住家用,鋼筋混凝土加強磚造,64年7月5日,四層,,
RPVNMLNKQHJGFDC68CC,42,72.33,住家用,鋼筋混凝土造,71年9月15日,四層,,
RPPOMLMKQHJGFDC08CC,64,55.59,住商用,加強磚造,49年7月1日,三層,,
RPXNMLNKQHJGFDC88CC,9,46.91,集合住宅,鋼筋混凝土造,104年12月28日,十五層,,
RPXNMLNKQHJGFDC88CC,9,24.11,本共有部分之項目有公共服務空間、管委會使用空間、門廳、梯廳、緊急升降機、進氣管道、排氣管道、排煙室、特別安全梯、行動不便者電梯、機電設備空間、樓梯間、消防水池、自來水箱、台電配電室、發電機室、垃圾儲藏室、垃圾車裝卸空間、機電設備空間（電信使用）、防空避難室兼停車空間、電梯間、停車空間、機電設備空間（污廢水設備）及消防泵浦室等２４項,鋼筋混凝土造,104年12月28日,十五層,,
RPWNMLNKQHJGFDC78CC,27,72.68,住家用,鋼筋混凝土造,87年1月8日,五層,,
RPWNMLNKQHJGFDC78CC,27,11.54,共用部份,鋼筋混凝土造,87年1月8日,五層,,
RPOOMLNKQHJGFDC08CC,29,92.13,住家用,鋼筋混凝土造,84年12月18日,十一層,,
RPOOMLNKQHJGFDC08CC,29,2.37,共用部份,鋼筋混凝土造,84年12月18日,十一層,,
RPOOMLNKQHJGFDC08CC,29,20.30,共用部份,鋼筋混凝土造,84年12月18日,十一層,,
RPOOMLNKQHJGFDC08CC,29,2.52,共用部份,鋼筋混凝土造,84年12月18日,十一層,,
RPSOMLNKQHJGFDC48CC,53,59.52,住家用,加強磚造,59年3月28日,二層,,
RPQOMLNKQHJGFDC28CC,1,100.15,集合住宅,鋼筋混凝土造,110年10月14日,九層,,
RPRNMLOKQHJGFDC38CC,1,56.23,集合住宅,鋼筋混凝土造,113年1月16日,十三層,,
RPQOMLNKQHJGFDC28CC,1,53.58,本建物共有部分之項目有行動不便者電梯、管委會使用空間、樓電梯間、梯廳、中控警衛室、大廳、樓梯間、機械室、水箱、防空避難室兼停車空間、停車空間、走廊、配電室、警衛室、消防泵浦室、汽車坡道、機車停車空間、發電機室、電信室、防空避難室、車道、垃圾儲藏室、機房等共２３項。,鋼筋混凝土造,110年10月14日,九層,,
RPRNMLOKQHJGFDC38CC,1,30.18,本建物共有部分之項目有防災中心．安全梯．緊急升降機．梯廳．排風管道．門廊．排煙室．儲藏室．管委會管理空間．機電設備空間．無障礙樓梯．管道間．樓梯間．電梯間．消防水箱．自來水箱．台電配電場所．停車空間．防空避難室兼停車空間．垃圾儲藏室．門廳．台電管道間．自來水池．陽台．雨遮．中繼消防水箱等共２６項。,鋼筋混凝土造,113年1月16日,二十二層,,
RPQNMLOKQHJGFDC28CC,43,91.08,住家用,鋼筋混凝土造,70年10月8日,四層,,
RPPOMLNKQHJGFDC18CC,37,97.09,住家用,鋼筋混凝土造,76年2月18日,十層,,
RPTOMLNKQHJGFDC58CC,27,87.57,住家用,鋼筋混凝土造,86年4月1日,五層,,
RPSNMLOKQHJGFDC48CC,5,42.50,集合住宅,鋼筋混凝土造,108年2月12日,十四層,,
RPTOMLNKQHJGFDC58CC,27,17.05,共用部份,鋼筋混凝土造,86年4月1日,五層,,
RPSNMLOKQHJGFDC48CC,5,8.30,本共有部分之項目有樓電梯間、梯廳、樓梯間、設備室、機械室及水箱等六項,鋼筋混凝土造,108年2月12日,十四層,,
RPSNMLOKQHJGFDC48CC,5,12.44,本共有部分之項目有車道、住宅門廳、排煙室兼梯廳、樓電梯間、陽台、防空避難室兼停車空間、受電箱、安全梯、台電配電場所、電信室、機房、儲藏室、機械設備室、機械室、排煙室、樓梯間、貯藏室、管委會使用空間、門廳及住宅挑高門廳等二十項,鋼筋混凝土造,108年2月12日,十四層,,
RPPOMLNKQHJGFDC18CC,37,20.51,共用部份,鋼筋混凝土造,76年2月18日,十層,,
