鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
安南區,房地(土地+建物),臺南市安南區公學路五段６９７巷１５７號九樓,12.55,,,,1130901,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870814,83.74000000000001,2,1,1,有,有,3250000,38811,,0.0,0,,RPTNMLTJRHJGFBD88DA,54.49,0.0,11.29,有,
將軍區,土地,巷口段二小段846地號,627.25,,特定農業區,農牧用地,1130903,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,478,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKRHJGFGD28EA,0.0,0.0,0.0,無,
中西區,房地(土地+建物),臺南市中西區尊王路１６８號,60.58,商,,,1130902,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0690410,175.88,7,2,3,有,無,5800000,32977,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLKKRHJGFAD18DA,175.88,0.0,0.0,無,
中西區,房地(土地+建物)+車位,臺南市中西區成功路４５７號十三樓之６,18.46,商,,,1130902,土地4建物1車位2,十三層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0801212,257.09000000000003,0,0,0,無,有,6100000,23727,坡道機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLKKRHJGFAD67DA,188.28,0.0,0.0,有,
安南區,土地,淵東段351-1地號,25.02,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,845718,33802,,0.0,0,協議價購；,RPOOMLMJRHJGFBD77DA,0.0,0.0,0.0,無,001
安南區,土地,外塭段572-15地號,72.06,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2763150,38345,,0.0,0,,RPQNMLOJRHJGFBD08DA,0.0,0.0,0.0,無,
安南區,土地,溪東段1007地號,14.0,都市：其他:主要計畫道路用地,,,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,280000,20000,,0.0,0,包含公共設施保留地用地；,RPQNMLQJRHJGFBD28DA,0.0,0.0,0.0,無,002
安南區,土地,土城段638-35地號,383.75,都市：其他:細部計畫道路用地,,,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5223735,13612,,0.0,0,道路用地,RPXNMLKKRHJGFBD48DA,0.0,0.0,0.0,無,
東區,土地,泉南段453地號,24.51,都市：其他:細部計畫道路用地,,,1130904,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,750000,30600,,0.0,0,包含公共設施保留地用地；,RPUOMLTJRHJGFCD56DA,0.0,0.0,0.0,無,
善化區,土地,善特段246地號,7.8,住,,,1130902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,837692,107396,,0.0,0,,RPQOMLTJRHJGFHD66DA,0.0,0.0,0.0,無,003
新市區,土地,富強段478地號,50.99,農,,,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2004600,39314,,0.0,0,,RPTNMLKKRHJGFHD68DA,0.0,0.0,0.0,無,
安定區,土地,中榮段186地號,111.54,,鄉村區,乙種建築用地,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4757459,42652,,0.0,0,政府機關標讓售；,RPPNMLMKRHJGFHD58EA,0.0,0.0,0.0,無,
中西區,房地(土地+建物),臺南市中西區西門路二段３０７巷２３號三樓之６,4.24,商,,,1130903,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0790414,24.08,1,0,1,有,無,800000,33223,,0.0,0,,RPVOMLKKRHJGFAD28DA,18.33,0.0,0.0,有,004
南區,土地,鹽埕段297-62地號,29.0,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3358300,115803,,0.0,0,政府機關標讓售；,RPPNMLMKRHJGFCD97DA,0.0,0.0,0.0,無,
東區,土地,關帝段1210地號,5.59,都市：其他:主要計畫道路用地,,,1130910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,626000,111986,,0.0,0,包含公共設施保留地用地；,RPSNMLMKRHJGFCD28DA,0.0,0.0,0.0,無,005
白河區,土地,中興段1581地號,4.96,住,,,1130910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,80645,,0.0,0,,RPRNMLMKRHJGFED38DA,0.0,0.0,0.0,無,006
官田區,土地,湖山段726地號,535.96,農,,,1130907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,1493,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKKRHJGFFD28DA,0.0,0.0,0.0,無,
永康區,土地,大灣段4840-1地號,160.0,都市：其他:道路用地,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4506667,28167,,0.0,0,包含公共設施保留地用地；,RPUNMLQJRHJGFKD96DA,0.0,0.0,0.0,無,
永康區,土地,大灣段4840-3地號,20.0,都市：其他:道路用地,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,563333,28167,,0.0,0,包含公共設施保留地用地；,RPVNMLQJRHJGFKD07DA,0.0,0.0,0.0,無,
中西區,房地(土地+建物),臺南市中西區民族路二段５７巷１２號三樓之１,4.05,商,,,1130901,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790705,20.54,1,0,1,有,有,1750000,85200,,0.0,0,,RPWOMLNJRHJGFAD58DA,14.84,0.0,0.0,有,007
北區,土地,立人段648地號,51.0,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2900000,56863,,0.0,0,本案價格含免除債務新台幣2390000元整視同贈與親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKRHJGFAD67DA,0.0,0.0,0.0,無,
安南區,土地,育安段1101-2地號,7.34,都市：其他:道路用地,,,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,27248,,0.0,0,包含公共設施保留地用地；,RPVOMLTJRHJGFBD56DA,0.0,0.0,0.0,無,008
安南區,土地,安北段319地號,2190.01,農,,,1130906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,40079920,18301,,0.0,0,,RPTNMLMKRHJGFBD28DA,0.0,0.0,0.0,無,009
南區,房地(土地+建物)+車位,臺南市南區大同路二段１０４號三樓之２,41.57,住,,,1130903,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881021,176.18,4,2,2,有,有,4000000,22704,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLLKRHJGFCD68DA,101.4,0.0,14.4,有,
麻豆區,土地,莊禮段830地號,853.94,,特定農業區,農牧用地,1130903,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,1405,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNKRHJGFFD48DA,0.0,0.0,0.0,無,
