編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLTJRHJGFBD88DA,26,65.78,住家用,鋼筋混凝土造,87年8月14日,十二層,九層 陽台,全筆移轉
RPVNMLKKRHJGFAD18DA,44,175.88,住商用,鋼筋混凝土造,69年4月10日,四層,一層 二層 三層 四層 騎樓 地下層,全筆移轉
RPTNMLTJRHJGFBD88DA,26,17.96,共有部分,鋼筋混凝土造,87年8月14日,十二層,,持分移轉
RPPOMLKKRHJGFAD67DA,33,188.28,商業用,鋼筋混凝土造,80年12月12日,十七層,十三層,全筆移轉
RPPOMLKKRHJGFAD67DA,33,21.34,共有部分,鋼筋混凝土造,80年12月12日,十七層,,持分移轉
RPPOMLKKRHJGFAD67DA,33,8.58,共有部分,鋼筋混凝土造,80年12月12日,十七層,,持分移轉
RPPOMLKKRHJGFAD67DA,33,38.89,共有部分,鋼筋混凝土造,80年12月12日,十七層,,持分移轉
RPVOMLKKRHJGFAD28DA,34,5.75,共有部分,鋼筋混凝土造,79年4月14日,七層,,持分移轉
RPVOMLKKRHJGFAD28DA,34,18.33,商業用,鋼筋混凝土造,79年4月14日,七層,三層,全筆移轉
RPWOMLNJRHJGFAD58DA,34,14.84,住家用,鋼筋混凝土造,79年7月5日,六層,三層,全筆移轉
RPWOMLNJRHJGFAD58DA,34,5.70,共有部分,鋼筋混凝土造,79年7月5日,六層,,持分移轉
RPPOMLMKRHJGFGD48DA,58,123.20,住商用,加強磚造,55年5月15日,三層,一層 二層 三層 騎樓,全筆移轉
RPXNMLLKRHJGFCD68DA,25,115.80,集合住宅,鋼筋混凝土造,88年10月21日,十三層,三層 陽台,全筆移轉
RPXNMLLKRHJGFCD68DA,25,21.23,共有部分,鋼筋混凝土造,88年10月21日,十三層,,持分移轉
RPXNMLLKRHJGFCD68DA,25,39.14,共有部分,鋼筋混凝土造,88年10月21日,十三層,,持分移轉
RPUNMLNKRHJGFBD48DA,41,115.31,住家用,加強磚造,72年4月6日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPROMLPJRHJGFCD48DA,42,6.23,共有部分,鋼筋混凝土造,71年11月29日,五層,,持分移轉
RPROMLPJRHJGFCD48DA,42,87.02,集合住宅,鋼筋混凝土造,71年11月29日,五層,五層 陽台,全筆移轉
RPROMLPJRHJGFCD48DA,41,.00,共有部分,鋼筋混凝土造,72年8月3日,五層,,持分移轉
RPROMLPJRHJGFCD48DA,41,.00,共有部分,鋼筋混凝土造,72年8月3日,五層,,持分移轉
RPROMLPJRHJGFCD48DA,41,.06,集合住宅,鋼筋混凝土造,72年8月3日,五層,一層 陽台,持分移轉
RPROMLPJRHJGFCD48DA,41,.06,集合住宅,鋼筋混凝土造,72年8月3日,五層,一層 陽台,持分移轉
RPPNMLNKRHJGFED28DA,48,99.64,住家用,加強磚造,65年10月9日,二層,一層 二層,全筆移轉
RPPNMLRJRHJGFGD78DA,48,105.17,住家用,加強磚造,65年10月25日,二層,一層 二層,全筆移轉
RPRNMLNKRHJGFCD28DA,33,1.40,共有部分,鋼筋混凝土造,80年5月18日,十一層,,持分移轉
RPRNMLNKRHJGFCD28DA,33,3.89,共有部分,鋼筋混凝土造,80年5月18日,十一層,,持分移轉
RPRNMLNKRHJGFCD28DA,33,16.14,住家用,鋼筋混凝土造,80年5月18日,十一層,七層 陽台,全筆移轉
RPPNMLNKRHJGFFD38DA,1,68.68,集合住宅,鋼筋混凝土造,113年1月18日,六層,四層 陽台,全筆移轉
RPPNMLNKRHJGFFD38DA,1,26.66,本共有部分之項目有：停車空間、樓梯間、電梯間、消防機械室、電信室、管理委員會使用空間、安全梯、梯廳共八項。,鋼筋混凝土造,113年1月18日,六層,,持分移轉
RPRNMLNKRHJGFDD38DA,5,103.61,住家用,鋼筋混凝土造,108年3月10日,三層,一層 二層 三層 陽台 屋頂突出物,持分移轉
RPSNMLLKRHJGFDD28DA,1,53.29,Ｈ２集合住宅,鋼筋混凝土造,112年5月9日,五層,二層 陽台,全筆移轉
RPSNMLLKRHJGFDD28DA,1,16.53,本共有部分之項目有停車空間、安全梯、梯廳、電梯間及電梯升降道等五項,鋼筋混凝土造,112年5月9日,五層,,持分移轉
