編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLKKRHJGFAD18DA,星鑽段,60.58,都市：其他:商業區,1,1,全筆移轉,21990000
RPQNMLQJRHJGFBD28DA,溪東段,14.00,都市：其他:主要計畫道路用地,3826,331,持分移轉,10070000
RPTNMLTJRHJGFBD88DA,南興段,12.55,都市：其他:市場用地,10000,43,持分移轉,02590000
RPXNMLKKRHJGFBD48DA,土城段,383.75,都市：其他:細部計畫道路用地,1,1,全筆移轉,06380035
RPPNMLKKRHJGFGD28EA,將軍段一小段,278.00,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,02860000
RPPNMLKKRHJGFGD28EA,巷口段二小段,349.25,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,08460000
RPPOMLKKRHJGFAD67DA,老古石段,10.66,都市：其他:商業區,10000,90,持分移轉,00780000
RPOOMLMJRHJGFBD77DA,淵東段,25.02,都市：其他:住宅區,48,6,持分移轉,03510001
RPPOMLKKRHJGFAD67DA,老古石段,5.76,都市：其他:住宅區,10000,90,持分移轉,00790000
RPPOMLKKRHJGFAD67DA,老古石段,1.29,都市：其他:商業區,10000,90,持分移轉,00800000
RPPOMLKKRHJGFAD67DA,老古石段,.74,都市：其他:住宅區,10000,90,持分移轉,00810000
RPQOMLTJRHJGFHD66DA,善特段,3.17,都市：其他:第三種之二住宅區,810000,2024,持分移轉,00460000
RPQOMLTJRHJGFHD66DA,善特段,4.63,都市：其他:第三種之二住宅區,990000,2473,持分移轉,02460000
RPQNMLOJRHJGFBD08DA,外塭段,72.06,都市：其他:住宅區,10000,489,持分移轉,05720015
RPUOMLTJRHJGFCD56DA,泉南段,15.96,都市：其他:細部計畫道路用地,3389,44,持分移轉,04530000
RPUOMLTJRHJGFCD56DA,泉南段,.92,都市：其他:細部計畫道路用地,3389,44,持分移轉,04640000
RPUOMLTJRHJGFCD56DA,泉南段,.90,都市：其他:細部計畫道路用地,3389,44,持分移轉,04650000
RPUOMLTJRHJGFCD56DA,泉南段,.88,都市：其他:細部計畫道路用地,3389,44,持分移轉,04660000
RPUOMLTJRHJGFCD56DA,龍泉段,5.86,都市：其他:細部計畫道路用地,3000,46,持分移轉,16700000
