編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLKKRHJGFAD67DA,坡道機械,0,,地下四樓
RPPOMLKKRHJGFAD67DA,坡道機械,0,,地下四樓
RPXNMLLKRHJGFCD68DA,坡道平面,0,,地下一樓
RPTNMLNKRHJGFCD48DA,坡道平面,0,,地下一樓
RPPOMLLKRHJGFHD48DA,一樓平面,1100000,16.92,一樓
RPSPMLMKRHJGFHD98DA,坡道平面,0,21.70,地下一樓
RPSPMLMKRHJGFHD98DA,坡道平面,0,21.70,地下一樓
RPTNMLOJRHJGFAD28DA,坡道平面,0,31.89,地下四樓
RPTOMLPJRHJGFAD48DA,坡道平面,0,28.87,地下四樓
RPUNMLQJRHJGFBD68DA,坡道平面,1850000,24.39,地下一樓
RPOOMLPJRHJGFBD08DA,坡道平面,0,24.39,地下一樓
RPOOMLPJRHJGFBD08DA,坡道平面,0,23.35,地下一樓
RPWNMLNKQHJGFGD09DA,一樓平面,0,,一樓
RPPNMLKLQHJGFGD18DA,一樓平面,0,,一樓
RPXNMLRLQHJGFKD47DA,一樓平面,0,15.19,一樓
RPPNMLKKRHJGFED08EA,其他,600000,2.19,一樓
RPSNMLOJRHJGFAD18DA,坡道平面,0,31.99,地下二樓
RPPOMLSLQHJGFBD58DA,坡道平面,2400000,36.05,地下三樓
RPPNMLLKRHJGFBD77DA,一樓平面,0,13.75,一樓
RPXOMLTLQHJGFCD96DA,坡道平面,0,27.82,地下三樓
RPOOMLKKRHJGFGD18DA,坡道機械,0,18.16,地下一樓
RPQOMLLLQHJGFHD58DA,一樓平面,0,15.72,一樓
RPRNMLNLQHJGFHD78DA,坡道平面,0,,地下二樓
RPSNMLTJRHJGFKD07DA,坡道平面,0,,地下一樓
RPPOMLKKRHJGFKD68DA,坡道平面,0,,地下一樓
RPOOMLKKRHJGFKD58DA,坡道平面,0,,地下二樓
RPSNMLNJQHJGFAD97DA,坡道平面,1700000,32.44,地下三樓
RPPOMLLKRHJGFAD77DA,坡道平面,0,,地下一樓
RPWOMLKKRHJGFAD38DA,坡道平面,0,36.36,地下三樓
RPOOMLLLQHJGFHD38DA,坡道平面,0,28.93,地下二樓
RPVQMLPJRHJGFID07DA,坡道平面,1550000,26.19,地下一樓
RPRNMLLKRHJGFID68DA,坡道平面,1700000,31.61,地下一樓
RPPPMLMJRHJGFKD88DA,坡道平面,0,38.58,地下五樓含以下
RPQOMLLJQHJGFCD87DA,坡道平面,1500000,25.77,地下一樓
RPTPMLLKRHJGFAD28DA,坡道平面,0,27.73,地下三樓
RPROMLQLQHJGFCD68DA,坡道機械,0,9.83,地下一樓
RPTOMLLKRHJGFFD68DA,坡道平面,0,,地下一樓
RPSNMLNKRHJGFFD68DA,一樓平面,0,13.75,一樓
RPTNMLNKRHJGFFD78DA,一樓平面,0,13.75,一樓
RPUNMLNKRHJGFFD88DA,其他,0,5.50,一樓
RPVNMLNKRHJGFFD98DA,其他,0,5.50,一樓
RPWNMLNKRHJGFFD09DA,一樓平面,0,13.75,一樓
RPXNMLNKRHJGFFD56DA,一樓平面,0,21.00,一樓
RPSOMLNJRHJGFHD88DA,一樓平面,0,,一樓
RPWRMLPJRHJGFHD17DA,坡道平面,0,39.60,地下四樓
RPPOMLNJRHJGFID68DA,坡道平面,1700000,26.19,地下二樓
RPWNMLSLQHJGFAD09DA,坡道平面,0,,地下一樓
RPPNMLSLQHJGFFD88DA,一樓平面,950000,23.17,一樓
RPUNMLQLQHJGFHD76DA,升降機械,700000,12.12,一樓
RPVNMLQJRHJGFID86DA,坡道平面,0,,地下一樓
RPPPMLTJRHJGFHD66DA,坡道平面,0,,地下一樓
RPUOMLQJRHJGFKD07DA,坡道平面,0,14.99,地下三樓
RPROMLSLQHJGFAD68DA,坡道平面,0,,地下一樓
RPPOMLOJRHJGFAD97DA,坡道平面,0,27.73,地下三樓
