鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
中西區,房地(土地+建物)+車位,臺南市中西區中華西路二段與光賢街,25.15,住,,,1130811,土地4建物1車位1,三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,197.45,3,2,2,有,無,25110000,138832,坡道平面,30.27,1900000,,RPQNMLMKQHJGFAD77CB,艾美御之苑,A3-3F號,
永康區,房地(土地+建物)+車位,臺南市永康區永安二街新行街口,30.74,住,,,1130811,土地1建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,190.74,3,2,2,有,無,20280000,118063,坡道平面,49.46,3600000,本案土地標示鹽新段95、95-1、95-2、95-3、95-4、95-5地號等6筆於民國113年03月08日合併為鹽新段95地號,RPQNMLNKQHJGFKD88CB,春福開緒,A棟1號,
永康區,房地(土地+建物)+車位,臺南市永康區永安二街新行街口,25.74,住,,,1130812,土地1建物1車位2,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.63,3,2,2,有,無,17550000,117750,坡道平面,49.46,3400000,本案土地標示鹽新段95、95-1、95-2、95-3、95-4、95-5地號等6筆於民國113年03月08日合併為鹽新段95地號,RPRNMLNKQHJGFKD98CB,春福開緒,B棟5號,
永康區,房地(土地+建物)+車位,臺南市永康區南灣街,18.43,住,,,1130813,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.72,2,1,2,有,無,9800000,103832,坡道平面,16.48,1780000,房屋買賣契約書之共有部分 含停車位面積,RPPOMLNKQHJGFKD88CB,鄰語堂5期,A棟9號,
山上區,房地(土地+建物),臺南市山上區南洲里8-21號旁,103.97,住,,,1130812,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,183.85,5,2,5,有,無,14150000,76965,,0.0,0,,RPVNMLOKQHJGFHD56CB,欣欣名邸,A6棟0號,
仁德區,房地(土地+建物)+車位,臺南市仁德區保仁路195號對面,15.5,住,,,1130813,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.98,2,2,1,有,無,10230000,103286,坡道平面,32.2,1680000,,RPQNMLOKQHJGFID78CB,東都綠學,1E棟8F號,
安南區,房地(土地+建物)+車位,臺南市安南區長和路四段與鎮安路,19.6,住,,,1130816,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.15,2,2,2,有,無,10120000,92402,坡道平面,24.97,1510000,,RPOPMLRKQHJGFBD38CB,春福安安,A棟5號,
永康區,房地(土地+建物)+車位,臺南市永康區鹽行路.鹽洲二街,27.06,住,,,1130812,土地12建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.29,3,2,2,有,無,18830000,118750,坡道平面,31.88,1800000,,RPRNMLRKQHJGFKD76CB,誠真映月,A2棟7F號,
永康區,房地(土地+建物)+車位,臺南市永康區鹽行路.鹽洲二街,21.43,住,,,1130812,土地12建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.35,3,2,2,有,無,15750000,122940,坡道平面,31.88,1800000,,RPSNMLRKQHJGFKD86CB,誠真映月,A3棟6F號,
新化區,房地(土地+建物)+車位,臺南市新化區正新北路81巷11弄45號對面,34.53,住,,,1130811,土地1建物1車位2,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.23,3,2,2,有,無,15480000,94396,坡道平面,68.08,3100000,,RPQNMLSKQHJGFHD09CB,協奏曲2期,A棟A1號,
關廟區,房地(土地+建物)+車位,臺南市關廟區南雄路一段,22.79,,鄉村區,乙種建築用地,1130817,土地1建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.71,2,1,2,有,無,6990000,68571,坡道平面,23.73,1300000,,RPPNMLSKQHJGFID09CB,幸福之森,D棟8號,
中西區,房地(土地+建物)+車位,臺南市中西區中華西路二段與光賢街,22.13,住,,,1130812,土地4建物1車位1,十三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.08,3,2,2,有,無,23738000,150456,坡道平面,30.27,1800000,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKQHJGFAD38CB,艾美御之苑,D2-13F號,
中西區,房地(土地+建物)+車位,臺南市中西區中華西路二段與光賢街,22.13,住,,,1130815,土地4建物1車位1,十八層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.08,3,2,2,有,無,24520000,155476,坡道平面,30.27,1850000,,RPQNMLTKQHJGFAD48CB,艾美御之苑,D2-18F號,
北區,房地(土地+建物)+車位,臺南市北區北華街,20.22,商,,,1130818,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.21,3,2,2,有,無,18600000,134196,坡道平面,26.51,2000000,,RPRNMLTKQHJGFAD58CB,城之樹,A5-4F棟0號,
善化區,房地(土地+建物),臺南市善化區成功路169巷96弄旁,73.49,住,,,1130816,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,209.98,4,2,5,有,無,25800000,122869,,0.0,0,,RPQNMLTKQHJGFHD56CB,宇晨植得,北小新段棟A5號,
永康區,房地(土地+建物),臺南市永康區富強路二段,23.8,住,,,1130818,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,69.66,2,2,2,有,無,6860000,98478,,0.0,0,,RPQNMLTKQHJGFKD86CB,安居樂業．永康富強,B棟5F-Q1號,
永康區,房地(土地+建物)+車位,臺南市永康區永善路與永榮一街,24.63,住,,,1130811,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.76,3,2,2,有,無,14590000,105968,坡道平面,39.76,1450000,,RPSNMLTKQHJGFKD07CB,昕暉景寬,A棟6號,
麻豆區,房地(土地+建物)+車位,臺南市麻豆區安業,111.88,,鄉村區,乙種建築用地,1130813,土地3建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,191.34,4,2,5,有,無,14500000,75781,一樓平面,0.0,0,內含停車位一個,RPPNMLTKQHJGFFD98DB,傳家堡8,B棟16號,
安南區,房地(土地+建物)+車位,臺南市安南區樂活一街6號旁,19.87,住,,,1130814,土地1建物1車位1,二十八層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,218.85,3,2,2,有,無,22880000,112312,坡道平面,32.94,2000000,,RPPNMLKLQHJGFBD67CB,湖映白,B棟B6-28F號,
東區,房地(土地+建物)+車位,臺南市東區平實路,0.0,,,,1130813,土地0建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.07,2,2,2,有,無,11760000,121317,坡道平面,23.91,1550000,地上權房屋；,RPPNMLKLQHJGFCD77CB,清景麟夢公園,B棟2號,
東區,房地(土地+建物)+車位,臺南市東區平實路,0.0,,,,1130813,土地0建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.59,2,2,2,有,無,14200000,121046,坡道平面,23.91,1650000,地上權房屋；,RPQNMLKLQHJGFCD87CB,清景麟夢公園,B棟7號,
東區,房地(土地+建物)+車位,臺南市東區中華東路一段與瑞祥街交叉口,12.94,商,,,1130812,土地2建物1車位1,四層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.46,3,2,2,有,無,24950000,168876,坡道平面,26.45,2150000,,RPTNMLKLQHJGFCD18CB,浩瀚無極,B棟B5號,
善化區,房地(土地+建物)+車位,臺南市善化區大成路85-2號旁,21.67,住,,,1130812,土地7建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.39,2,2,2,有,無,13580000,127673,坡道平面,22.34,1700000,,RPQNMLKLQHJGFHD38CB,春福．一遇,A棟A5-13F號,
新市區,房地(土地+建物)+車位,臺南市新市區富安七街102號旁,20.17,住,,,1130814,土地3建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.46,2,2,2,有,無,15550000,145755,坡道平面,28.81,1900000,,RPRNMLKLQHJGFHD48CB,世界南科B,A3號,
新市區,房地(土地+建物)+車位,臺南市新市區富安七街102號旁,20.17,住,,,1130816,土地3建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.46,2,2,2,有,無,15530000,144474,坡道平面,28.81,2000000,,RPSNMLKLQHJGFHD58CB,世界南科B,A5號,
