鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中西區,租賃房屋,臺南市中西區武聖路１５３號,0.0,,,,1130729,土地0建物0車位0,全,3,透天厝,辦公室、店舖、住宅,鋼筋混凝土造,0851216,23.14,36,0,36,有,無,有,11500,497,,0.0,0,租金總額含水費；,RPPNMLLKQHJGFAD67CC,分租套房,無,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
北區,租賃房屋,臺南市北區西門路四段２００巷２６號６樓,0.0,,,,1130718,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0851009,153.12,3,2,2,有,有,有,15000,98,,0.0,0,參加臺南市社會住宅包租代管第4期計畫租金為市價9折,RPQNMLLKQHJGFAD77CC,整棟(戶)出租,有,1130720~1140719,有,熱水器,社會住宅代管
中西區,租賃房屋,臺南市中西區金華路三段２１８號５樓之１２,0.0,,,,1130719,土地0建物1車位0,五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840704,82.21000000000001,1,1,1,有,有,有,10800,131,,0.0,0,參加臺南市社會住宅包租代管第3期計畫租金為市價9折租金總額含管理費；續租案件；,RPRNMLLKQHJGFAD87CC,獨立套房,有,1130720~1140719,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
北區,租賃房屋,臺南市北區裕民街１０４號３樓之３,0.0,,,,1130719,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690604,50.16,1,1,1,有,無,有,8000,159,,0.0,0,參加臺南市社會住宅包租代管第3期計畫租金為市價9折續租案件；,RPSNMLLKQHJGFAD97CC,獨立套房,無,1130720~1140719,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
北區,租賃房屋,臺南市北區開元路５０１號１５樓之７,0.0,,,,1130718,土地0建物1車位0,十五層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1041105,81.61,2,2,1,有,有,有,18500,227,,0.0,0,參加臺南市社會住宅包租代管第3期計畫租金為市價9折租金總額含管理費；續租案件；,RPUNMLLKQHJGFAD18CC,整棟(戶)出租,有,1130720~1150719,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
東區,租賃房屋,臺南市東區崇德１９街２９號４樓之２,0.0,,,,1130715,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800706,192.29,3,2,2,有,有,有,17000,88,,0.0,0,參加臺南市社會住宅包租代管第4期計畫租金為市價9折,RPPNMLLKQHJGFCD87CC,整棟(戶)出租,有,1130720~1140719,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
東區,租賃房屋,臺南市東區東寧路５３８巷９號５樓之１,0.0,,,,1130718,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780425,16.93,1,1,1,有,有,有,7000,413,,0.0,0,參加臺南市社會住宅包租代管第4期計畫租金為市價9折租金總額含管理費；,RPQNMLLKQHJGFCD97CC,獨立套房,有,1130720~1140719,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
東區,租賃房屋,臺南市東區崇明十街７２號六樓之２,0.0,,,,1130719,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800827,96.7,2,1,2,有,有,有,15200,157,,0.0,0,參加臺南市社會住宅包租代管第3期計畫租金為市價9折租金總額含管理費；續租案件；,RPRNMLLKQHJGFCD08CC,整棟(戶)出租,有,1130720~1140719,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
東區,租賃房屋,臺南市東區裕豐街２９號４樓之５,0.0,,,,1130719,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781124,25.479999999999997,1,0,1,有,有,有,6300,247,,0.0,0,參加臺南市社會住宅包租代管第3期計畫租金為市價9折租金總額含管理費；,RPTNMLLKQHJGFCD28CC,獨立套房,有,1130720~1140719,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
