編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLMKQHJGFCD08CC,桶盤淺段,73.00,都市：住,,,,03650003
RPUNMLMKQHJGFCD48CC,竹篙厝段,10.65,都市：住,,,,16780008
RPQNMLMKQHJGFHD58CC,大社段,265.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18090000
RPRNMLNKQHJGFAD08CC,東豐段,19.49,都市：住,,,,04660000
RPSNMLNKQHJGFKD56CC,大灣段,25.19,都市：商,,,,63380000
RPTNMLNKQHJGFKD66CC,橋北段,85.93,都市：住,,,,00860026
RPUOMLOKQHJGFCD78CC,東光段,11.46,都市：住,,,,00990000
RPRNMLOKQHJGFID98CC,潭墘段,63.34,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,11320000
RPPNMLOKQHJGFKD09DC,鹽東段,562.00,都市：工,,,,04920000
RPTNMLPKQHJGFCD68CC,富農段,1.85,都市：住,,,,00480000
RPTNMLPKQHJGFCD68CC,富農段,.74,都市：住,,,,00480001
RPSNMLPKQHJGFID56CC,林子邊段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,03930001
RPQNMLPKQHJGFID98CC,林子邊段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,03930001
RPTNMLQKQHJGFAD58CC,延平段,41.84,都市：住,,,,11690059
RPPNMLQKQHJGFID98CC,南勢園段,76.46,都市：住,,,,04460000
RPPNMLRKQHJGFID09CC,歸仁北段,15.00,都市：住,,,,05940027
RPPNMLRKQHJGFID09CC,歸仁北段,4.29,都市：住,,,,05940022
RPROMLQKQHJGFKD86CC,兵北段,16.16,都市：住,,,,07880000
RPPNMLSKQHJGFID56CC,武東段,14.16,都市：商,,,,02190000
RPPNMLSKQHJGFKD76CC,永仁段,61.66,都市：住,,,,07440002
RPSNMLTKQHJGFAD78CC,文元段,83.49,都市：住,,,,01250007
RPPNMLTKQHJGFHD56CC,茄拔段一小段,117.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08350019
RPSNMLTKQHJGFHD86CC,華興段,166.22,都市：住,,,,05150000
RPQNMLTKQHJGFKD96CC,大灣段,25.19,都市：商,,,,63380000
RPWNMLKLQHJGFAD38CC,大興段,85.00,都市：住,,,,13440000
RPUPMLKLQHJGFAD38CC,北元段,15.21,都市：住,,,,04330000
RPSNMLKLQHJGFBD08CC,安西段,97.00,都市：住,,,,01700000
RPSNMLKLQHJGFBD08CC,安西段,173.00,都市：住,,,,03870000
RPSNMLKLQHJGFBD08CC,安西段,132.00,都市：住,,,,03880000
RPRNMLKLQHJGFHD58CC,山上段,3942.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,10840003
RPRNMLKLQHJGFHD58CC,山上段,330.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,10840007
RPQNMLKLQHJGFHD48CC,善文段,23.55,都市：住,,,,09350000
RPPNMLKLQHJGFKD68CC,頂安段,99.56,都市：住,,,,02220000
RPPNMLKLQHJGFKD68CC,頂安段,24.94,都市：住,,,,02290000
RPRNMLMLQHJGFGD68CC,佳化段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,16920001
RPPNMLNLQHJGFFD48CC,龜子港段,93.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,16990009
RPPNMLTLQHJGFID76CC,仁義段,1358.34,都市：商,,,,01140000
RPPOMLKMQHJGFKD88CC,五王段,105.44,都市：住,,,,07660000
RPRNMLPJRHJGFID09CC,仁義段,48.96,都市：住,,,,00030000
RPRNMLPJRHJGFID09CC,仁義段,35.64,都市：住,,,,00080000
RPSNMLTJRHJGFID96CC,仁義段,48.96,都市：住,,,,00030000
RPSNMLTJRHJGFID96CC,仁義段,35.64,都市：住,,,,00080000
RPPNMLTJRHJGFKD96DC,鹽南段,215.23,都市：工,,,,09210000
RPPNMLTJRHJGFKD96DC,鹽南段,3.06,都市：工,,,,09220000
RPTNMLLKRHJGFBD28CC,安慶段,50.00,都市：住,,,,08630000
RPPNMLNKRHJGFKD98CC,鹽行段,21.92,都市：住,,,,15710000
RPPNMLNKRHJGFKD98CC,鹽行段,33.08,都市：住,,,,15710000
RPRNMLNKRHJGFID98CC,崁腳南段,1481.72,都市：農,,,,04730000
RPRNMLNKRHJGFID98CC,崁腳南段,921.14,都市：農,,,,04730001
RPRNMLNKRHJGFID98CC,崁腳南段,760.20,都市：農,,,,04730002
