編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMKQHJGFAD77CC,坡道平面,2000,30.66,地下四樓
RPUNMLMKQHJGFCD48CC,坡道平面,0,,地下三樓
RPPNMLMKQHJGFKD78CC,坡道平面,0,22.00,地下一樓
RPPNMLNKQHJGFBD97CC,坡道平面,0,29.94,地下四樓
RPVNMLNKQHJGFCD68CC,坡道平面,0,33.74,地下二樓
RPQNMLNKQHJGFID78CC,坡道平面,0,20.52,地下二樓
RPPNMLNKQHJGFKD88CC,坡道平面,0,,地下二樓
RPOOMLOKQHJGFAD97CC,坡道機械,0,18.54,地下四樓
RPXOMLOKQHJGFAD88CC,坡道機械,0,24.50,地下四樓
RPOPMLOKQHJGFAD08CC,坡道機械,0,24.50,地下四樓
RPVOMLOKQHJGFAD68CC,坡道機械,0,24.50,地下四樓
RPRNMLOKQHJGFCD38CC,坡道平面,0,38.95,地下三樓
RPRNMLOKQHJGFCD38CC,坡道平面,0,38.95,地下三樓
RPVOMLOKQHJGFCD88CC,坡道平面,0,47.64,地下二樓
RPWOMLOKQHJGFCD98CC,坡道平面,0,56.47,地下一樓
RPSNMLOKQHJGFKD66CC,坡道平面,0,40.68,地下二樓
RPXNMLPKQHJGFAD88CC,坡道機械,0,18.54,地下三樓
RPROMLPKQHJGFAD38CC,坡道平面,0,25.96,地下二樓
RPXNMLPKQHJGFCD09CC,坡道平面,3000,,無固定樓層
RPPNMLPKQHJGFKD09CC,坡道機械,1350,19.29,地下三樓
RPOOMLQKQHJGFAD18CC,坡道平面,2500,40.74,地下二樓
RPRNMLQKQHJGFHD09CC,坡道平面,3000,26.06,地下一樓
RPPNMLRKQHJGFID09CC,坡道機械,0,2.67,地下一樓
RPPNMLSKQHJGFID56CC,坡道機械,0,12.24,地下二樓
RPRNMLTKQHJGFAD68CC,坡道平面,40,30.66,地下五樓含以下
RPTNMLTKQHJGFKD27CC,坡道平面,0,,地下二樓
RPQNMLKLQHJGFAD77CC,坡道平面,0,31.99,地下二樓
RPQNMLKLQHJGFDD08CC,坡道平面,0,,地下一樓
RPPNMLKLQHJGFDD97CC,坡道平面,0,,地下一樓
RPPNMLKLQHJGFID48CC,坡道平面,2500,26.88,地下二樓
RPQNMLKLQHJGFHD48CC,升降機械,0,5.66,一樓
RPUNMLKLQHJGFID98CC,坡道平面,0,31.41,地下三樓
RPOOMLKLQHJGFKD68CC,坡道機械,0,,地下一樓
RPXNMLLLQHJGFAD58CC,坡道機械,0,18.54,地下四樓
RPPNMLLLQHJGFCD97CC,坡道機械,0,,地下一樓
RPPNMLLLQHJGFHD48CC,坡道平面,0,31.00,地下一樓
RPOOMLMLQHJGFAD87CC,坡道機械,0,28.37,地下四樓
RPUNMLMLQHJGFCD58CC,坡道平面,0,40.00,地下二樓
RPPNMLNLQHJGFBD08CC,坡道平面,0,29.82,地下二樓
RPQNMLNLQHJGFBD18CC,升降機械,0,8.92,一樓
RPSOMLMLQHJGFKD66CC,坡道平面,0,,地下一樓
RPQNMLQLQHJGFKD76CC,坡道機械,1900,7.11,一樓
RPPOMLRLQHJGFAD48CC,升降機械,0,12.10,地下五樓含以下
RPRNMLRLQHJGFBD68CC,一樓平面,0,13.84,一樓
RPUNMLRLQHJGFHD96CC,升降機械,0,,一樓
RPQNMLSLQHJGFAD58CC,坡道平面,0,,地下二樓
RPRNMLSLQHJGFKD07CC,坡道平面,0,,地下二樓
RPRNMLTLQHJGFAD78CC,坡道機械,0,18.54,地下四樓
RPSNMLTLQHJGFCD09CC,坡道平面,0,34.54,地下三樓
RPTNMLKMQHJGFKD56CC,坡道機械,0,23.14,地下三樓
RPRNMLNJRHJGFCD28CC,坡道平面,0,15.13,地下二樓
RPPNMLNJRHJGFGD48CC,一樓平面,0,20.06,一樓
RPQOMLKMQHJGFKD98CC,坡道平面,0,,地下一樓
RPRNMLQJRHJGFBD48CC,坡道平面,1100,29.82,地下二樓
RPXOMLQJRHJGFKD47CC,坡道平面,1000,37.35,地下五樓含以下
RPRNMLTJRHJGFHD76CC,一樓平面,0,14.26,一樓
RPVNMLTJRHJGFID27CC,坡道平面,4000,17.45,地下一樓
RPRNMLLKRHJGFAD97CC,坡道機械,1900,11.17,地下三樓
RPPNMLLKRHJGFBD87CC,坡道平面,1000,24.39,地下三樓
RPRNMLNKRHJGFBD28CC,坡道平面,0,24.93,地下三樓
RPPNMLNKRHJGFKD98CC,坡道平面,0,36.35,地下三樓
