鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
岡山區,土地,成功段524-4地號,16.0,住,,,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1481760,92610,,0.0,0,政府機關標讓售；,RPSNMLKKRHJGFFE48DA,0.0,0.0,0.0,無,
阿蓮區,房地(土地+建物)+車位,高雄市阿蓮區成功街３巷１０號五樓之６,21.81,住,,,1130901,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831014,132.74,4,2,2,有,有,4900000,36914,坡道平面,0.0,0,,RPSNMLMJRHJGFJE98DA,82.25,0.0,7.97,有,
六龜區,土地,荖濃段9-86地號,218.25,,山坡地保育區,丙種建築用地,1130905,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,780000,3574,,0.0,0,,RPOPMLPJRHJGFKE56DA,0.0,0.0,0.0,無,
鼓山區,土地,內惟段八小段716地號,11.78,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,33956,,0.0,0,地主賣清的地主不負擔土地增值稅、印花登記費、代書費、仲介費等親友、員工、共有人或其他特殊關係間之交易；未登記建物；畸零地或有合併使用效益；,RPQNMLLMQHJGFAE97DA,0.0,0.0,0.0,無,0001
楠梓區,房地(土地+建物),高雄市楠梓區惠民路１０８之４號,35.45,住,,,1130901,土地6建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680521,77.13,3,2,1,有,無,4080000,52898,,0.0,0,含傢俱設備費；其他增建；,RPPPMLMJRHJGFEE38DA,77.13,0.0,0.0,無,0002
梓官區,土地,赤崁新段1390地號,44.23,,鄉村區,乙種建築用地,1130901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,468000,10581,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLJRHJGFFE18DA,0.0,0.0,0.0,無,0003
岡山區,土地,石螺段1381地號,14.93,,鄉村區,交通用地,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,370000,24782,,0.0,0,包含公共設施保留地用地；,RPROMLPJRHJGFFE88DA,0.0,0.0,0.0,無,0004
旗山區,土地,中正段1106地號,1891.22,,特定農業區,農牧用地,1130904,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5500000,2908,,0.0,0,買賣價含未保存登記建物一棟。未登記建物；農作物；,RPPNMLOJRHJGFHE68DA,0.0,0.0,0.0,無,
路竹區,土地,三埤段214地號,3413.47,,一般農業區,農牧用地,1130902,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15485100,4536,,0.0,0,,RPPNMLRJRHJGFJE56DA,0.0,0.0,0.0,無,0005
