編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLMJRHJGFJE98DA,30,90.22,集合住宅,鋼筋混凝土造,83年10月14日,七層,五層 陽台,全筆移轉
RPSNMLMJRHJGFJE98DA,30,42.52,樓梯間、防空避難室、停車空間、機械房、水箱。,鋼筋混凝土造,83年10月14日,七層,,持分移轉
RPPPMLMJRHJGFEE38DA,45,77.13,公寓住宅,鋼筋混凝土造,68年5月21日,四層,四層,全筆移轉
RPPPMLKKRHJGFAE87DA,74,188.00,住商用,加強磚造,39年10月1日,二層,一層 二層 騎樓,全筆移轉
RPQNMLOJRHJGFBE18DA,42,84.24,,鋼筋混凝土造,71年4月27日,七層,三層 陽台,全筆移轉
RPROMLOJRHJGFDE58DA,3,53.21,集合住宅,鋼筋混凝土,110年7月26日,二十二層,十四層 陽台 雨遮,全筆移轉
RPROMLOJRHJGFDE58DA,3,49.59,本共有部分之項目有防空避難室兼停車空間、停車空間、梯廳、特安梯、排煙室、緊急升降機、管道、防災中心、車道、緩衝空間、廁所、垃圾暫存室、管委會使用空間、頂蓋型開放空間、升降機、門廊、警衛室、伸縮縫、樓梯間、陽台等項。,鋼筋混凝土,110年7月26日,二十二層,,持分移轉
RPPOMLTJRHJGFGE56DA,31,33.71,停車空間,鋼筋混凝土造,82年11月8日,十三層,十層 陽台 花台,持分移轉
RPPOMLTJRHJGFGE56DA,31,2.05,共有部份,鋼筋混凝土造,82年11月8日,十三層,,持分移轉
RPTOMLLKRHJGFBE38DA,36,37.38,,鋼筋混凝土造,77年9月15日,十二層,二層 陽台 雨遮,全筆移轉
RPTOMLLKRHJGFBE38DA,36,11.32,,鋼筋混凝土造,77年9月15日,十二層,,持分移轉
RPWNMLLKRHJGFGE09DA,35,83.20,住家用,鋼筋混凝土造,78年8月10日,十二層,六層 陽台,全筆移轉
RPWNMLLKRHJGFGE09DA,35,22.38,共有部份,鋼筋混凝土造,78年8月10日,十二層,,持分移轉
RPXOMLMKRHJGFEE56DA,29,80.11,住家用,鋼筋混凝土造,84年10月20日,二十四層,十三層 陽台 雨遮,全筆移轉
RPXOMLMKRHJGFEE56DA,29,22.06,見使用執照,鋼筋混凝土造,84年10月20日,二十四層,,持分移轉
RPRNMLLKRHJGFIE78DA,4,46.26,集合住宅,鋼筋混凝土,110年1月5日,十五層,十一層 陽台,全筆移轉
RPRNMLLKRHJGFIE78DA,4,48.90,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、門廊、梯廳、公共服務空間、樓電梯間、車道、門廳、樓梯間、機房、水箱等１１項,鋼筋混凝土,110年1月5日,十五層,,持分移轉
