編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLKKRHJGFFE48DA,成功段,16.00,都市：其他:住宅區,1,1,全筆移轉,05240004
RPOPMLPJRHJGFKE56DA,荖濃段,192.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00090086
RPOPMLPJRHJGFKE56DA,荖濃段,26.25,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,4,1,持分移轉,00090087
RPROMLPJRHJGFFE88DA,石螺段,14.93,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,13810000
RPPNMLOJRHJGFHE68DA,中正段,1093.31,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11060000
RPPNMLOJRHJGFHE68DA,中正段,530.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11070000
RPPNMLOJRHJGFHE68DA,中正段,267.91,非都市：特定農業區 ; 非都市編定：農牧用地,3301,261,持分移轉,11620000
RPPNMLLJRHJGFFE18DA,赤崁新段,44.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,900,57,持分移轉,13900000
RPQNMLLMQHJGFAE97DA,內惟段八小段,11.78,都市：其他:第三種住宅區。,18,2,持分移轉,07160000
RPSNMLMJRHJGFJE98DA,北蓮段,21.81,都市：其他:住宅區,10000,125,持分移轉,04790000
RPPPMLMJRHJGFEE38DA,加昌段,14.53,都市：其他:第四種住宅區,40,1,持分移轉,02200000
RPPPMLMJRHJGFEE38DA,加昌段,.55,都市：其他:第四種住宅區,40,1,持分移轉,02210000
RPPPMLMJRHJGFEE38DA,加昌段,.05,都市：其他:第四種住宅區,40,1,持分移轉,02260001
RPPPMLMJRHJGFEE38DA,加昌段,4.12,都市：其他:第四種住宅區,40,1,持分移轉,02280000
RPPPMLMJRHJGFEE38DA,加昌段,15.90,都市：其他:第二種特定商業專用區,40,1,持分移轉,02280001
RPPPMLMJRHJGFEE38DA,加昌段,.30,都市：其他:道路用地,40,1,持分移轉,02290000
RPPNMLRJRHJGFJE56DA,三埤段,483.15,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02120000
RPPNMLRJRHJGFJE56DA,三埤段,289.08,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02130000
RPPNMLRJRHJGFJE56DA,三埤段,2641.24,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02140000
RPPNMLTJRHJGFJE76DA,聖母段,118.89,都市：其他:住宅區,2,1,持分移轉,14780001
RPPNMLKKRHJGFIE58EA,保甲段,21.70,都市：其他:住宅區,1,1,全筆移轉,09670000
RPQNMLPJRHJGFLE66DA,清水巖段,29.22,都市：其他:住宅區,180000,2697,持分移轉,05270000
RPPPMLKKRHJGFAE87DA,鹽中段,92.00,都市：其他:第四種商業區,1,1,全筆移轉,03550000
RPPPMLKKRHJGFAE87DA,鹽中段,22.00,都市：其他:第四種商業區,1,1,全筆移轉,03560000
RPPPMLKKRHJGFAE87DA,鹽中段,5.00,都市：其他:道路用地,1,1,全筆移轉,03570000
RPQNMLOJRHJGFBE18DA,林德官段二小段,19.31,都市：其他:第三種住宅區。,1000,34,持分移轉,34900000
