編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLMJRHJGFJE98DA,坡道平面,0,,地下一樓
RPROMLOJRHJGFDE58DA,坡道平面,0,21.26,地下三樓
RPPOMLTJRHJGFGE56DA,坡道平面,0,,二樓含以上
RPRNMLLKRHJGFIE78DA,坡道平面,0,21.48,地下二樓
RPROMLMKRHJGFDE48DA,坡道平面,850000,38.24,地下二樓
RPSOMLMJRHJGFAE18DA,坡道平面,0,49.04,地下三樓
RPPOMLSLQHJGFAE58DA,坡道平面,0,18.02,地下一樓
RPQOMLTJRHJGFCE88DA,一樓平面,0,,一樓
RPTOMLRLQHJGFDE56DA,坡道平面,0,26.21,地下二樓
RPTOMLRLQHJGFDE56DA,坡道平面,0,26.21,地下二樓
RPOOMLKLQHJGFEE08DA,坡道平面,2400000,37.93,地下一樓
RPPOMLTLQHJGFEE09DA,坡道平面,0,44.11,地下一樓
RPQOMLSJQHJGFGE09DA,坡道平面,0,,地下一樓
RPQPMLRLQHJGFGE66DA,坡道平面,0,33.05,地下四樓
RPSOMLOJRHJGFIE56DA,坡道平面,0,38.52,地下三樓
RPSOMLOJRHJGFIE56DA,坡道平面,0,35.74,地下三樓
RPSOMLPJRHJGFIE66DA,坡道平面,2200000,39.01,地下二樓
RPTOMLPJRHJGFIE76DA,坡道平面,2200000,39.01,地下二樓
RPUPMLOKQHJGFLE17DA,坡道平面,0,,地下一樓
RPQNMLQJRHJGFEE78EA,坡道平面,0,,地下二樓
RPPNMLRKQHJGFAE28DA,坡道機械,0,,地下三樓
RPPNMLRKQHJGFAE28DA,坡道機械,0,,地下三樓
RPSPMLQJRHJGFAE68DA,坡道平面,0,24.25,地下二樓
RPUNMLQJRHJGFCE88DA,升降平面,1000000,,地下一樓
RPQOMLNLQHJGFDE48DA,坡道機械,0,6.25,地下一樓
RPQOMLKLQHJGFEE28DA,坡道平面,2400000,37.93,地下一樓
RPVRMLMJRHJGFEE56DA,坡道平面,2050000,25.12,地下二樓
RPSRMLMJRHJGFEE88DA,坡道平面,2350000,25.12,地下二樓
RPTNMLOJRHJGFEE78DA,坡道平面,1750000,24.80,地下四樓
RPUNMLOJRHJGFEE88DA,坡道平面,2050000,25.12,地下四樓
RPXQMLOJRHJGFEE86DA,坡道平面,0,,地下三樓
RPWNMLOJRHJGFEE09DA,坡道平面,2350000,25.12,地下一樓
RPWPMLPJRHJGFEE76DA,坡道平面,2400000,37.93,地下一樓
RPSNMLOJRHJGFIE09DA,坡道平面,0,20.69,地下一樓
RPSNMLOJRHJGFIE09DA,坡道平面,0,26.40,地下一樓
RPUPMLPJRHJGFIE96DA,坡道平面,1700000,27.72,地下三樓
RPQNMLTJRHJGFBE78EA,坡道機械,1500000,,地下一樓
RPPNMLKLQHJGFAE67DA,坡道平面,2300000,33.87,地下四樓
RPTOMLKKRHJGFAE18DA,坡道平面,0,33.81,地下二樓
RPXOMLKKRHJGFAE58DA,坡道平面,0,18.43,地下四樓
RPXOMLKKRHJGFAE58DA,坡道平面,0,18.43,地下四樓
RPROMLSJQHJGFCE78DA,坡道平面,0,16.51,地下一樓
RPPNMLNJRHJGFCE08DA,坡道平面,0,17.24,地下三樓
RPQOMLNJRHJGFCE28DA,坡道機械,0,10.73,地下三樓
RPVOMLRLQHJGFEE86DA,坡道機械,0,7.94,地下三樓
RPUQMLNJRHJGFEE09DA,坡道機械,0,14.82,地下一樓
RPTPMLTLQHJGFEE96DA,坡道平面,2200000,34.67,地下二樓
RPOPMLTLQHJGFEE09DA,坡道平面,2000000,34.67,地下三樓
RPPSMLOJRHJGFEE88DA,坡道平面,1830000,22.19,地下一樓
RPQSMLOJRHJGFEE98DA,坡道平面,1880000,22.19,地下一樓
RPROMLPJRHJGFEE78DA,坡道平面,2330000,22.19,地下二樓
RPROMLLKRHJGFEE48DA,坡道平面,0,,地下一樓
RPTOMLPJRHJGFEE98DA,坡道平面,0,16.22,地下一樓
RPPQMLQKQHJGFGE09DA,坡道平面,1950000,26.42,地下二樓
RPUNMLNKQHJGFGE98DA,坡道平面,0,18.85,地下三樓
RPRNMLKMQHJGFAE97DA,坡道機械,1250000,18.48,地下五樓含以下
RPWOMLLKRHJGFAE58DA,坡道機械,0,20.20,地下五樓含以下
RPPOMLTJRHJGFCE78DA,坡道平面,0,22.51,地下一樓
RPTOMLLKRHJGFFE78DA,升降機械,0,,一樓
RPVOMLQJRHJGFEE66DA,坡道機械,1100000,5.71,地下二樓
RPQPMLKKRHJGFEE38DA,坡道平面,1900000,14.46,地下二樓
RPPNMLOJRHJGFIE78DA,坡道平面,1500000,26.15,地下二樓
RPPNMLMKRHJGFLE98DA,坡道平面,0,,地下一樓
RPRRMLMKRHJGFAE48DA,坡道平面,0,19.76,地下三樓
RPRRMLMKRHJGFAE48DA,坡道平面,0,19.76,地下三樓
RPPPMLKKRHJGFCE08DA,坡道平面,0,26.46,地下三樓
RPWNMLMKRHJGFDE88DA,坡道平面,0,23.18,地下二樓
RPVOMLMKRHJGFEE98DA,坡道機械,0,11.76,地下二樓
RPPOMLNLQHJGFGE68DA,坡道平面,1800000,26.42,地下三樓
RPXNMLNJRHJGFGE66DA,坡道平面,1650000,25.09,地下一樓
RPQOMLSLQHJGFGE66DA,坡道平面,2100000,26.42,地下一樓
RPVOMLMKRHJGFGE56DA,坡道平面,0,24.31,地下一樓
RPPNMLQJRHJGFGE78DA,坡道平面,0,15.21,地下二樓
RPPNMLQKRHJGFGE98EA,升降機械,0,25.24,地下二樓
RPUOMLMKRHJGFBE58DA,坡道平面,0,,地下一樓
RPUOMLMKRHJGFBE58DA,坡道平面,0,,地下二樓
RPROMLNLQHJGFCE48DA,坡道機械,0,15.63,地下四樓
RPWNMLNKRHJGFCE88DA,坡道機械,0,,地下三樓
RPUOMLLKRHJGFEE78DA,坡道平面,1880000,22.19,地下一樓
RPPOMLNJRHJGFFE48DA,升降機械,850000,5.06,一樓
RPQOMLNJRHJGFFE58DA,升降機械,900000,5.06,一樓
RPSOMLNJRHJGFFE78DA,一樓平面,1900000,13.82,一樓
RPTOMLNJRHJGFFE88DA,升降機械,1150000,9.13,一樓
RPXNMLQKRHJGFAE09DA,坡道機械,0,,地下二樓
RPRNMLOJRHJGFBE28DA,坡道平面,0,18.64,地下四樓
RPRNMLOJRHJGFBE28DA,坡道平面,0,18.64,地下四樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
RPQNMLMLQHJGFBE08DA,坡道平面,0,,地下一樓
