編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKQHJGFIE58CB,烏林段,73.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12490007
RPTOMLPKQHJGFDE88CB,灣昌段,25.24,都市：住,100000,1122,持分移轉,03370000
RPQNMLPKQHJGFAE18CB,博孝段,.06,都市：商,100000,144,持分移轉,12320002
RPQNMLMKQHJGFDE18CB,新都段,8.52,都市：住,100000,640,持分移轉,03420000
RPQNMLPKQHJGFAE18CB,博孝段,.03,都市：商,100000,144,持分移轉,12370001
RPTNMLNKQHJGFLE76CB,溪州段,72.00,都市：住,1,1,全筆移轉,28970047
RPQNMLPKQHJGFAE18CB,博孝段,2.47,都市：商,100000,144,持分移轉,12370002
RPQNMLMKQHJGFDE18CB,新都段,11.29,都市：住,100000,640,持分移轉,03430000
RPQNMLPKQHJGFAE18CB,博孝段,.12,都市：商,100000,144,持分移轉,12370003
RPTNMLNKQHJGFLE76CB,溪州段,16.58,都市：住,24,1,持分移轉,28970000
RPQNMLMKQHJGFDE18CB,新都段,6.32,都市：住,100000,640,持分移轉,03440000
RPQNMLPKQHJGFAE18CB,博孝段,.34,都市：商,100000,144,持分移轉,12370005
RPQNMLPKQHJGFAE18CB,博孝段,.11,都市：商,100000,144,持分移轉,12370008
RPQNMLPKQHJGFAE18CB,博孝段,.03,都市：商,100000,144,持分移轉,12370009
RPQNMLPKQHJGFAE18CB,博孝段,.04,都市：商,100000,144,持分移轉,12370010
RPQNMLPKQHJGFAE18CB,博孝段,.11,都市：商,100000,144,持分移轉,12370011
RPQNMLPKQHJGFAE18CB,博孝段,.03,都市：商,100000,144,持分移轉,12370012
RPQNMLPKQHJGFAE18CB,博孝段,.04,都市：商,100000,144,持分移轉,12370013
RPQNMLPKQHJGFAE18CB,博孝段,.72,都市：商,100000,144,持分移轉,12370014
RPQNMLPKQHJGFAE18CB,博孝段,.01,都市：商,100000,144,持分移轉,12370015
RPVNMLNKQHJGFGE09CB,竹子腳段,8.09,都市：住,100000,215,持分移轉,02610030
RPVNMLNKQHJGFGE09CB,竹子腳段,.50,都市：住,100000,215,持分移轉,02020013
RPVNMLNKQHJGFGE09CB,竹子腳段,1.77,都市：住,100000,215,持分移轉,02600001
RPVNMLNKQHJGFGE09CB,竹子腳段,.84,都市：住,100000,215,持分移轉,02600022
RPVNMLNKQHJGFGE09CB,竹子腳段,1.64,都市：住,100000,215,持分移轉,02600023
RPVNMLNKQHJGFGE09CB,竹子腳段,.06,都市：住,100000,215,持分移轉,02610004
RPVNMLNKQHJGFGE09CB,竹子腳段,1.66,都市：住,100000,215,持分移轉,02600027
RPVNMLNKQHJGFGE09CB,竹子腳段,1.68,都市：住,100000,215,持分移轉,02610028
RPVNMLNKQHJGFGE09CB,竹子腳段,.12,都市：住,100000,215,持分移轉,02610065
RPSNMLOKQHJGFJE56CB,和蓮段,32.60,都市：住,100000,4265,持分移轉,02500012
RPTNMLNKQHJGFGE88CB,竹子腳段,6.24,都市：住,100000,166,持分移轉,02610030
RPTNMLNKQHJGFGE88CB,竹子腳段,.38,都市：住,100000,166,持分移轉,02020013
RPTNMLNKQHJGFGE88CB,竹子腳段,1.37,都市：住,100000,166,持分移轉,02600001
RPTNMLNKQHJGFGE88CB,竹子腳段,.65,都市：住,100000,166,持分移轉,02600022
RPTNMLNKQHJGFGE88CB,竹子腳段,1.26,都市：住,100000,166,持分移轉,02600023
RPTNMLNKQHJGFGE88CB,竹子腳段,.05,都市：住,100000,166,持分移轉,02610004
RPTNMLNKQHJGFGE88CB,竹子腳段,1.28,都市：住,100000,166,持分移轉,02600027
RPTNMLNKQHJGFGE88CB,竹子腳段,1.29,都市：住,100000,166,持分移轉,02610028
RPTNMLNKQHJGFGE88CB,竹子腳段,.09,都市：住,100000,166,持分移轉,02610065
RPPNMLPKQHJGFAE08CB,博孝段,.09,都市：商,100000,202,持分移轉,12320002
RPPNMLPKQHJGFAE08CB,博孝段,.04,都市：商,100000,202,持分移轉,12370001
RPPNMLPKQHJGFAE08CB,博孝段,3.46,都市：商,100000,202,持分移轉,12370002
RPPNMLPKQHJGFAE08CB,博孝段,.16,都市：商,100000,202,持分移轉,12370003
RPPNMLPKQHJGFAE08CB,博孝段,.48,都市：商,100000,202,持分移轉,12370005
RPPNMLPKQHJGFAE08CB,博孝段,.15,都市：商,100000,202,持分移轉,12370008
RPPNMLPKQHJGFAE08CB,博孝段,.05,都市：商,100000,202,持分移轉,12370009
RPPNMLPKQHJGFAE08CB,博孝段,.06,都市：商,100000,202,持分移轉,12370010
RPPNMLPKQHJGFAE08CB,博孝段,.15,都市：商,100000,202,持分移轉,12370011
RPPNMLPKQHJGFAE08CB,博孝段,.05,都市：商,100000,202,持分移轉,12370012
RPPNMLPKQHJGFAE08CB,博孝段,.06,都市：商,100000,202,持分移轉,12370013
RPPNMLPKQHJGFAE08CB,博孝段,1.01,都市：商,100000,202,持分移轉,12370014
RPPNMLPKQHJGFAE08CB,博孝段,.02,都市：商,100000,202,持分移轉,12370015
RPSNMLNKQHJGFGE78CB,竹子腳段,6.24,都市：住,100000,166,持分移轉,02610030
RPSNMLNKQHJGFGE78CB,竹子腳段,.38,都市：住,100000,166,持分移轉,02020013
RPSNMLNKQHJGFGE78CB,竹子腳段,1.37,都市：住,100000,166,持分移轉,02600001
