編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTOMLPKQHJGFDE88CB,坡道平面,2350000,29.59,地下二樓
RPQNMLMKQHJGFDE18CB,坡道平面,2050000,16.48,地下二樓
RPQNMLPKQHJGFAE18CB,坡道平面,2000000,15.22,地下四樓
RPVNMLNKQHJGFGE09CB,坡道平面,2150000,15.63,地下一樓
RPSNMLOKQHJGFJE56CB,一樓平面,1100000,12.00,一樓
RPTNMLNKQHJGFGE88CB,坡道平面,2050000,15.63,地下二樓
RPPNMLPKQHJGFAE08CB,坡道平面,2150000,15.22,地下三樓
RPSNMLNKQHJGFGE78CB,坡道平面,2050000,15.63,地下二樓
RPUOMLPKQHJGFDE98CB,坡道平面,2050000,16.48,地下二樓
RPUOMLPKQHJGFDE98CB,坡道平面,2050000,16.48,地下二樓
RPVSMLQKQHJGFDE96CB,坡道平面,1500000,27.60,地下二樓
RPUSMLQKQHJGFDE86CB,坡道平面,1500000,27.60,地下二樓
RPXSMLQKQHJGFDE17CB,坡道平面,1500000,27.60,地下二樓
RPWSMLQKQHJGFDE07CB,坡道平面,1500000,27.60,地下二樓
RPOTMLQKQHJGFDE98CB,坡道平面,1500000,27.60,地下二樓
RPVOMLPKQHJGFDE09CB,坡道平面,2050000,16.48,地下二樓
RPVOMLPKQHJGFDE09CB,坡道平面,2050000,16.48,地下二樓
RPOPMLRKQHJGFDE68CB,坡道平面,2050000,16.48,地下二樓
RPRNMLQKQHJGFAE38CB,坡道平面,2100000,14.99,地下二樓
RPQNMLPKQHJGFIE98CB,坡道機械,1450000,24.35,地下二樓
RPQPMLRKQHJGFDE88CB,坡道平面,2050000,16.48,地下二樓
RPUPMLRKQHJGFDE66CB,坡道平面,2050000,19.80,地下三樓
RPPNMLSKQHJGFIE56CB,坡道平面,1600000,16.54,地下一樓
RPRNMLRKQHJGFEE88CB,坡道機械,1650000,5.90,地下四樓
RPPNMLTKQHJGFCE68CB,坡道平面,2000000,17.81,地下三樓
RPPNMLSKQHJGFDE78DB,坡道平面,2250000,24.75,地下一樓
RPPNMLSKQHJGFDE78DB,坡道平面,2250000,24.75,地下一樓
RPOQMLTKQHJGFDE98CB,坡道機械,1350000,15.08,地下三樓
RPPQMLTKQHJGFDE09CB,坡道平面,2350000,20.36,地下一樓
RPQQMLTKQHJGFDE56CB,坡道機械,1350000,15.08,地下三樓
RPQNMLSKQHJGFIE66CB,坡道平面,1600000,16.54,地下一樓
RPRQMLTKQHJGFDE66CB,坡道平面,2000000,20.36,地下三樓
RPSQMLTKQHJGFDE76CB,坡道機械,1250000,15.08,地下三樓
RPTQMLTKQHJGFDE86CB,坡道機械,1500000,15.08,地下三樓
RPXQMLTKQHJGFDE27CB,坡道平面,2150000,17.84,地下二樓
RPUQMLTKQHJGFDE96CB,坡道平面,2350000,20.36,地下一樓
RPORMLTKQHJGFDE09CB,坡道機械,1350000,15.08,地下三樓
RPPRMLTKQHJGFDE56CB,坡道平面,1950000,17.84,地下三樓
RPQRMLTKQHJGFDE66CB,坡道機械,1500000,15.08,地下三樓
RPRRMLTKQHJGFDE76CB,坡道機械,1350000,15.08,地下三樓
RPSRMLTKQHJGFDE86CB,坡道平面,2350000,20.36,地下一樓
RPTRMLTKQHJGFDE96CB,坡道平面,2200000,20.36,地下二樓
RPURMLTKQHJGFDE07CB,坡道平面,2350000,20.36,地下一樓
RPVRMLTKQHJGFDE17CB,坡道平面,2150000,20.36,地下二樓
RPOSMLTKQHJGFDE56CB,坡道機械,1500000,15.08,地下三樓
RPXRMLTKQHJGFDE37CB,坡道機械,1500000,15.08,地下三樓
RPRSMLTKQHJGFDE86CB,坡道機械,1350000,15.08,地下三樓
RPWRMLTKQHJGFDE27CB,坡道機械,1500000,15.08,地下三樓
RPTSMLTKQHJGFDE07CB,坡道平面,2350000,20.36,地下一樓
RPQSMLTKQHJGFDE76CB,坡道平面,2350000,20.36,地下一樓
RPSSMLTKQHJGFDE96CB,坡道機械,1250000,15.08,地下三樓
RPRNMLTKQHJGFIE86CB,一樓平面,1500000,,一樓
RPPNMLTKQHJGFIE66CB,坡道平面,2000000,21.46,地下二樓
RPPNMLKLQHJGFDE97CB,坡道平面,2050000,19.80,地下三樓
RPQNMLKLQHJGFDE08CB,坡道平面,2300000,27.09,地下四樓
RPQNMLKLQHJGFCE97CB,坡道平面,1700000,22.69,地下二樓
RPPNMLKLQHJGFCE87CB,坡道平面,1650000,23.50,地下三樓
RPRNMLKLQHJGFDE18CB,坡道平面,1850000,27.09,地下五樓含以下
RPPNMLKLQHJGFAE67CB,坡道平面,2000000,15.22,地下四樓
RPSNMLKLQHJGFDE28CB,坡道平面,2100000,27.09,地下四樓
RPTNMLKLQHJGFDE38CB,坡道平面,2100000,27.09,地下四樓
RPUNMLKLQHJGFDE48CB,坡道平面,1750000,25.98,地下五樓含以下
RPXNMLKLQHJGFDE78CB,坡道平面,1800000,28.33,地下五樓含以下
RPVNMLKLQHJGFDE58CB,坡道平面,1850000,27.09,地下五樓含以下
RPWNMLKLQHJGFDE68CB,坡道平面,1650000,25.98,地下五樓含以下
RPOOMLKLQHJGFDE97CB,坡道平面,2200000,27.09,地下四樓
RPPOMLKLQHJGFDE08CB,坡道平面,1950000,27.09,地下五樓含以下
RPVNMLKLQHJGFEE68CB,坡道平面,2650000,16.53,地下一樓
RPPNMLKLQHJGFFE18CB,一樓平面,1500000,15.00,一樓
RPRNMLKLQHJGFFE38CB,一樓平面,1400000,13.75,一樓
RPQOMLKLQHJGFDE18CB,坡道平面,2200000,19.80,地下二樓
RPTNMLKLQHJGFFE58CB,坡道機械,1250000,7.03,地下一樓
RPPNMLKLQHJGFIE48CB,坡道平面,2100000,20.13,地下三樓
RPRNMLKLQHJGFIE68CB,坡道平面,2300000,20.13,地下二樓
RPQNMLLLQHJGFDE18CB,坡道機械,1350000,15.08,地下三樓
RPQNMLKLQHJGFIE58CB,坡道平面,2200000,20.13,地下二樓
RPRNMLLLQHJGFGE58CB,一樓平面,1200000,13.73,一樓
RPSNMLLLQHJGFDE38CB,坡道平面,2200000,20.36,地下二樓
RPQNMLLLQHJGFJE78CB,坡道平面,1550000,13.90,地下一樓
RPSNMLLLQHJGFGE68CB,一樓平面,1300000,13.73,一樓
RPQNMLMLQHJGFEE38CB,坡道平面,2550000,26.50,地下三樓
RPRNMLMLQHJGFCE38DB,坡道平面,1900000,17.15,地下一樓
RPSNMLMLQHJGFCE48DB,坡道平面,1900000,15.54,地下三樓
RPQNMLMLQHJGFCE28DB,坡道平面,1900000,17.15,地下一樓
RPPNMLMLQHJGFCE18DB,坡道平面,2000000,17.15,地下三樓
RPPQMLMLQHJGFCE48DB,坡道平面,1950000,17.15,地下一樓
RPOQMLMLQHJGFCE38DB,坡道平面,2000000,15.54,地下二樓
RPSNMLNLQHJGFAE28CB,坡道平面,2500000,13.92,地下五樓含以下
RPRNMLNLQHJGFAE18CB,坡道平面,2800000,13.92,地下五樓含以下
RPPNMLNLQHJGFCE18CB,坡道平面,2400000,21.87,地下二樓
RPQNMLNLQHJGFCE28CB,坡道平面,2700000,23.12,地下二樓
RPXNMLNLQHJGFCE98CB,坡道平面,2400000,21.87,地下四樓
RPRNMLOLQHJGFDE58CB,坡道平面,2100000,18.49,地下四樓
RPPNMLNLQHJGFGE58CB,坡道平面,1800000,15.53,地下二樓
RPSNMLOLQHJGFDE68CB,坡道平面,2250000,18.49,地下三樓
RPSNMLOLQHJGFDE68CB,坡道平面,2250000,18.49,地下三樓
RPUNMLOLQHJGFDE88CB,坡道平面,2050000,16.99,地下四樓
RPSNMLOLQHJGFAE38CB,坡道平面,2400000,23.59,地下二樓
RPSNMLOLQHJGFAE38CB,坡道平面,2200000,23.59,地下三樓
RPTNMLOLQHJGFDE78CB,坡道平面,2250000,18.49,地下三樓
RPVNMLOLQHJGFDE98CB,坡道平面,2250000,18.49,地下三樓
RPPOMLOLQHJGFDE48CB,坡道平面,1400000,27.60,地下三樓
RPPNMLPLQHJGFEE58CB,坡道平面,2300000,26.49,地下二樓
RPRNMLPLQHJGFEE78CB,坡道平面,2400000,26.49,地下三樓
RPTNMLPLQHJGFEE98CB,坡道平面,1950000,26.49,地下二樓
RPQNMLPLQHJGFEE68CB,坡道平面,2250000,26.49,地下二樓
RPVNMLPLQHJGFEE56CB,坡道平面,2250000,26.49,地下二樓
RPWNMLPLQHJGFEE66CB,坡道平面,1850000,26.49,地下三樓
RPUNMLPLQHJGFEE09CB,坡道平面,2000000,26.49,地下二樓
RPSNMLPLQHJGFEE88CB,坡道平面,2050000,26.49,地下四樓
RPXNMLPLQHJGFEE76CB,坡道平面,2400000,26.49,地下一樓
RPOOMLPLQHJGFEE58CB,坡道平面,2250000,26.49,地下二樓
RPROMLPLQHJGFEE88CB,坡道平面,2050000,26.49,地下三樓
RPQOMLPLQHJGFEE78CB,坡道平面,2250000,26.49,地下二樓
RPSOMLPLQHJGFEE98CB,坡道平面,1700000,26.49,地下二樓
