鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
鼓山區,租賃房屋,高雄市鼓山區文信路２２６號,0.0,,,,1130730,土地0建物0車位0,七層,7,華廈(10層含以下有電梯),住宅,鋼筋混凝土,1090619,26.44,35,1,35,有,無,有,14500,548,,0.0,0,,RPPNMLLKQHJGFAE77CC,分租套房,無,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
鼓山區,租賃房屋,高雄市鼓山區文信路２２６號,0.0,,,,1130731,土地0建物0車位0,七層,7,華廈(10層含以下有電梯),住宅,鋼筋混凝土,1090619,23.14,35,1,35,有,無,有,13000,562,,0.0,0,,RPQNMLLKQHJGFAE87CC,分租套房,無,1130731~1130831,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
苓雅區,租賃房屋,高雄市苓雅區四維三路５９號５樓,0.0,,,,1130805,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690529,16.52,6,0,6,有,無,有,6450,390,,0.0,0,租金總額含水費；,RPQNMLLKQHJGFBE97CC,分租套房,無,1130805~1140731,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
苓雅區,租賃房屋,高雄市苓雅區永康街９７.９９號,0.0,,,,1130802,土地0建物0車位0,全,3,透天厝,,加強磚造,0571002,16.52,22,1,22,有,無,有,6700,406,,0.0,0,高雄市永康街97、99號，二個門牌為打通的格局．租金總額含水費；,RPRNMLLKQHJGFBE08CC,分租套房,無,1130802~1140331,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
苓雅區,租賃房屋,高雄市苓雅區廣東二街５７號,0.0,,,,1130729,土地0建物0車位0,全,2,透天厝,,加強磚造,0630528,16.52,15,0,15,有,無,有,7000,424,,0.0,0,租金總額含水費；,RPTNMLLKQHJGFBE28CC,分租套房,無,1130729~1140731,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
新興區,租賃房屋,高雄市新興區忠孝一路２３９巷４３號,0.0,,,,1130731,土地0建物0車位0,全,2,透天厝,,加強磚造,0521021,16.52,8,0,8,有,無,有,7300,442,,0.0,0,租金總額含水費；,RPUNMLLKQHJGFBE38CC,分租套房,無,1130731~1140731,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
苓雅區,租賃房屋,高雄市苓雅區武嶺街２１巷３５號,0.0,,,,1130728,土地0建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,1030424,16.52,34,1,34,有,無,有,7000,424,,0.0,0,租金總額含水費；其他另收每月公共水電費200元；,RPVNMLLKQHJGFBE48CC,分租套房,無,1130728~1140731,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
新興區,租賃房屋,高雄市新興區忠孝一路２３９巷４３號,0.0,,,,1130806,土地0建物0車位0,全,2,透天厝,,加強磚造,0521021,13.22,8,0,8,有,無,有,6500,492,,0.0,0,租金總額含水費；,RPWNMLLKQHJGFBE58CC,分租套房,無,1130806~1140831,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
前鎮區,租賃房屋,高雄市前鎮區天山路２３號,0.0,,,,1130730,土地0建物0車位0,全,7,透天厝,住家用,鋼筋混凝土,1070115,16.52,49,0,49,有,無,有,6400,387,,0.0,0,,RPPNMLLKQHJGFCE97CC,分租套房,無,1130801~1140731,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
