編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLKQHJGFAE77CC,4,26.44,住宅,鋼筋混凝土,109年6月19日,七層,,
RPWNMLLKQHJGFBE58CC,61,13.22,,加強磚造,52年10月21日,二層,,
RPTNMLLKQHJGFBE28CC,50,16.52,,加強磚造,63年5月28日,二層,,
RPUNMLLKQHJGFBE38CC,61,16.52,,加強磚造,52年10月21日,二層,,
RPRNMLLKQHJGFBE08CC,56,16.52,,加強磚造,57年10月2日,三層,,
RPQNMLLKQHJGFBE97CC,44,16.52,,鋼筋混凝土造,69年5月29日,五層,,
RPQNMLLKQHJGFAE87CC,4,23.14,住宅,鋼筋混凝土,109年6月19日,七層,,
RPVNMLLKQHJGFBE48CC,10,16.52,住家用,鋼筋混凝土造,103年4月24日,五層,,
RPPNMLLKQHJGFCE97CC,7,16.52,住家用,鋼筋混凝土,107年1月15日,七層,,
RPQNMLLKQHJGFCE08CC,7,16.52,住家用,鋼筋混凝土,107年1月15日,七層,,
RPPNMLLKQHJGFDE08CC,42,16.52,,鋼筋混凝土造,71年2月26日,五層,,
RPRNMLLKQHJGFDE28CC,42,16.52,,鋼筋混凝土造,71年2月26日,五層,,
RPTNMLLKQHJGFCE38CC,7,16.52,住家用,鋼筋混凝土,107年1月15日,七層,,
RPQNMLLKQHJGFDE18CC,42,16.52,,鋼筋混凝土造,71年2月26日,五層,,
RPRNMLLKQHJGFCE18CC,7,16.52,住家用,鋼筋混凝土,107年1月15日,七層,,
RPTNMLLKQHJGFDE48CC,31,23.14,商業用,鋼筋混凝土造,82年2月27日,十二層,,
RPPNMLLKQHJGFFE28CC,1,51.63,集合住宅,鋼筋混凝土造,112年4月18日,十五層,,
RPPNMLLKQHJGFEE18CC,16,52.82,住家用,鋼筋混凝土造,97年4月10日,十五層,,
RPPNMLLKQHJGFFE28CC,1,52.35,本共有部分之項目有停車空間、門廳兼梯廳、管委會使用空間、門廊、中央監控室、樓梯間、車道、管道間、機械室、水箱等共１０項。,鋼筋混凝土造,112年4月18日,十五層,,
RPRNMLMKQHJGFAE08CC,12,58.57,住家用,鋼筋混凝土造,101年7月10日,十五層,,
RPRNMLMKQHJGFAE08CC,12,36.58,本共有部分之項目有防空避難室、停車空間、電樓梯間、機械室、水箱、頂蓋型沿街步道式開放空間、頂蓋型廣場式開放空間、公共服務中心、門廊、門廳兼管理員室等１０項。,鋼筋混凝土造,101年7月10日,十五層,,
RPPNMLLKQHJGFGE38CC,4,16.52,店舖,鋼筋混凝土造,110年1月4日,十五層,,
RPTNMLMKQHJGFAE28CC,1,48.71,集合住宅,鋼筋混凝土,112年9月20日,二十四層,,
RPTNMLMKQHJGFAE28CC,1,49.22,本共有部分之項目有電樓梯間、機械室、水箱、防空避難室兼停車空間、停車空間、中繼設備空間等６項。,鋼筋混凝土,112年9月20日,二十四層,,
RPPNMLMKQHJGFAE87CC,19,28.96,住家用,鋼筋混凝土造,94年6月24日,十五層,,
RPPNMLMKQHJGFAE87CC,19,2.54,共有部份,鋼筋混凝土造,94年6月24日,十五層,,
RPQNMLMKQHJGFBE08CC,43,19.50,,鋼筋混凝土造,70年12月24日,五層,,
