編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKQHJGFEE18CC,果貿段,8.69,都市：住,,,,00060000
RPPNMLMKQHJGFBE97CC,新興段四小段,5.19,都市：商,,,,12140000
RPRNMLMKQHJGFCE28CC,獅甲段,.21,都市：商,,,,03300000
RPRNMLMKQHJGFCE28CC,獅甲段,.65,都市：商,,,,03310000
RPVNMLMKQHJGFDE78CC,陽明段四小段,76.00,都市：住,,,,01250002
RPUNMLMKQHJGFDE68CC,新都段,8.66,都市：住,,,,00670000
RPSOMLMKQHJGFDE58CC,獅頭段一小段,10.88,都市：商,,,,14590000
RPVOMLMKQHJGFEE98CC,和平段三小段,29.70,都市：商,,,,00510000
RPRNMLMKQHJGFFE58CC,成功段,78.00,都市：住,,,,04910001
RPVNMLMKQHJGFGE09CC,道爺廍段下菜園小段,67.00,都市：住,,,,00620095
RPSNMLNKQHJGFAE28CC,府北段五小段,4.63,都市：商,,,,01230000
RPRNMLNKQHJGFAE18CC,青海段,440.51,都市：住,,,,04130001
RPVNMLNKQHJGFBE68CC,意誠段,5.77,都市：商,,,,01990000
RPVNMLNKQHJGFDE88CC,覆鼎金段覆鼎金小段,3.33,都市：商,,,,12740000
RPVNMLNKQHJGFDE88CC,覆鼎金段覆鼎金小段,3.52,都市：住,,,,12740001
RPPOMLNKQHJGFDE38CC,獅頭段一小段,15.59,都市：商,,,,18100000
RPSNMLNKQHJGFEE68CC,楠梓段一小段,100.00,都市：住,,,,01580077
RPSNMLNKQHJGFEE68CC,楠梓段一小段,4.34,都市：住,,,,01580090
RPOOMLNKQHJGFEE38CC,新民段,8.68,都市：商,,,,01810000
RPSOMLNKQHJGFEE78CC,楠都段三小段,84.00,都市：住,,,,05060000
RPTNMLNKQHJGFFE88CC,大德段,34.77,都市：住,,,,00300000
RPTNMLNKQHJGFFE88CC,大德段,31.54,都市：住,,,,00310000
RPQNMLNKQHJGFFE58CC,後壁田段,16.89,都市：住,,,,03670001
RPUNMLNKQHJGFFE98CC,橋南段,28.00,都市：住,,,,10090006
RPWNMLOKQHJGFAE78CC,文東段,276.00,都市：商,,,,10820000
RPOOMLOKQHJGFAE08CC,北金段,32.00,都市：住,,,,01770000
RPRNMLOKQHJGFCE48CC,宏明段,10.17,都市：住,,,,04410000
RPXNMLOKQHJGFEE66CC,果貿段,11.57,都市：住,,,,01770000
RPPNMLOKQHJGFFE58CC,大德段,114.95,都市：住,,,,00300000
RPPNMLOKQHJGFFE58CC,大德段,104.27,都市：住,,,,00310000
RPPNMLOKQHJGFFE58CC,大德段,21.73,都市：其他:道路用地,,,,00310001
RPPNMLOKQHJGFFE58CC,大德段,23.95,都市：其他:道路用地,,,,00300001
RPPNMLOKQHJGFIE88CC,澄德段,18.88,都市：商,,,,00090000
RPWNMLPKQHJGFDE56CC,灣內段,65.13,都市：其他:乙種工業區,,,,01470000
RPWNMLPKQHJGFDE56CC,灣內段,16.55,都市：其他:乙種工業區,,,,01480000
RPWNMLPKQHJGFDE56CC,灣內段,2.01,都市：其他:乙種工業區,,,,01420198
RPTNMLQKQHJGFAE68CC,龍華段三小段,102.00,都市：農,,,,07000000
RPRNMLQKQHJGFAE48CC,龍中段,7.47,都市：商,,,,01120000
RPTOMLQKQHJGFAE78CC,青海段,12.12,都市：住,,,,05080000
RPPNMLQKQHJGFBE38CC,意誠段,4.81,都市：商,,,,01990000
RPUNMLQKQHJGFBE88CC,苓東段,17.69,都市：住,,,,01280000
RPUNMLQKQHJGFBE88CC,苓東段,33.46,都市：住,,,,01290000
RPQOMLQKQHJGFBE58CC,苓洲段,59.00,都市：商,,,,01770000
RPSNMLQKQHJGFCE78CC,瑞隆段二小段,64.00,都市：住,,,,00450000
RPSOMLQKQHJGFEE09CC,菜公段四小段,58.00,都市：住,,,,09540000
RPUNMLQKQHJGFFE66CC,海城段,33.28,都市：住,,,,01990000
RPRNMLQKQHJGFFE98CC,岡山段,18.00,都市：住,,,,05720002
RPRNMLQKQHJGFFE98CC,岡山段,183.00,都市：住,,,,05640004
RPRNMLQKQHJGFFE98CC,岡山段,7.00,都市：住,,,,05720008
RPOOMLQKQHJGFFE78CC,大紅段,74.00,都市：住,,,,05670000
RPPOMLQKQHJGFFE88CC,大紅段,74.00,都市：住,,,,05670000
RPPNMLRKQHJGFBE48CC,五塊厝段,23.85,都市：商,,,,24460000
RPQNMLRKQHJGFCE68CC,松華段,44.50,都市：住,,,,00200000
RPPNMLRKQHJGFDE68CC,新都段,18.73,都市：住,,,,01630000
RPPNMLRKQHJGFCE58CC,松華段,54.00,都市：住,,,,00110068
RPPNMLRKQHJGFCE58CC,松華段,20.04,都市：住,,,,00110056
RPQNMLRKQHJGFLE96CC,鳳芸段,33.50,都市：住,,,,01900008
