編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLKQHJGFFE28CC,坡道平面,0,24.41,地下三樓
RPTNMLMKQHJGFAE28CC,坡道平面,0,21.33,地下三樓
RPSNMLMKQHJGFAE18CC,坡道平面,0,28.39,地下二樓
RPUNMLMKQHJGFDE68CC,坡道平面,0,21.25,地下三樓
RPSOMLMKQHJGFDE58CC,坡道平面,0,39.76,地下三樓
RPVOMLMKQHJGFEE98CC,坡道平面,0,,地下一樓
RPSNMLMKQHJGFFE68CC,坡道平面,0,23.50,地下三樓
RPQNMLMKQHJGFGE58CC,坡道機械,0,9.93,地下三樓
RPVNMLMKQHJGFGE09CC,一樓平面,0,,一樓
RPPNMLNKQHJGFAE97CC,坡道平面,0,22.73,地下三樓
RPVNMLNKQHJGFAE58CC,坡道平面,0,,地下二樓
RPTNMLNKQHJGFCE58CC,坡道平面,0,24.86,地下三樓
RPXNMLNKQHJGFDE09CC,坡道平面,0,19.75,地下一樓
RPQNMLNKQHJGFEE48CC,坡道平面,0,10.36,地下三樓
RPSNMLNKQHJGFEE68CC,坡道平面,0,54.68,地下一樓
RPTNMLNKQHJGFEE78CC,坡道平面,0,22.28,地下二樓
RPTNMLNKQHJGFEE78CC,坡道平面,0,22.28,地下二樓
RPOOMLNKQHJGFEE38CC,坡道平面,0,,地下三樓
RPUNMLNKQHJGFGE09CC,坡道平面,0,19.34,地下一樓
RPPNMLOKQHJGFAE08CC,坡道平面,0,26.54,地下一樓
RPPNMLOKQHJGFAE08CC,坡道平面,0,26.54,地下一樓
RPPNMLOKQHJGFEE48CC,坡道平面,0,24.78,地下一樓
RPQOMLOKQHJGFDE58CC,坡道平面,0,21.45,地下二樓
RPTNMLOKQHJGFEE88CC,坡道平面,0,,地下一樓
RPRNMLOKQHJGFEE68CC,坡道平面,0,36.24,地下二樓
RPQNMLOKQHJGFEE58CC,坡道平面,0,31.96,地下五樓含以下
RPVNMLOKQHJGFEE09CC,坡道平面,0,18.00,地下三樓
RPXNMLOKQHJGFFE76CC,坡道平面,0,27.99,地下二樓
RPPNMLOKQHJGFIE88CC,坡道平面,0,25.54,地下三樓
RPSNMLPKQHJGFDE78CC,坡道平面,0,7.21,地下三樓
RPUNMLPKQHJGFDE98CC,坡道平面,0,14.53,地下二樓
RPOOMLPKQHJGFDE48CC,坡道平面,0,18.70,地下一樓
RPQOMLPKQHJGFDE68CC,升降機械,0,,地下一樓
RPUOMLPKQHJGFDE09CC,坡道平面,2500,,地下二樓
RPWNMLPKQHJGFEE66CC,坡道平面,0,,地下一樓
RPPOMLPKQHJGFEE68CC,升降機械,0,,地下二樓
RPQOMLPKQHJGFEE78CC,坡道機械,0,6.98,地下四樓
RPRNMLPKQHJGFFE88CC,坡道平面,0,24.41,地下三樓
RPVOMLPKQHJGFEE66CC,坡道平面,0,16.11,地下三樓
RPOOMLPKQHJGFGE78CC,坡道平面,0,,地下二樓
RPSNMLQKQHJGFAE58CC,坡道平面,0,19.34,地下二樓
RPPNMLQKQHJGFAE28CC,坡道平面,0,21.54,地下二樓
RPUNMLQKQHJGFAE78CC,坡道平面,0,22.73,地下二樓
RPRNMLQKQHJGFAE48CC,升降機械,0,6.07,地下二樓
RPXNMLQKQHJGFAE09CC,坡道平面,0,,地下四樓
RPPOMLQKQHJGFAE38CC,坡道平面,0,29.88,地下二樓
RPSOMLQKQHJGFAE68CC,坡道機械,0,,地下五樓含以下
RPUNMLQKQHJGFBE88CC,坡道平面,0,22.10,地下三樓
RPUNMLQKQHJGFBE88CC,坡道平面,0,22.10,地下三樓
RPUNMLQKQHJGFBE88CC,坡道平面,0,22.10,地下三樓
RPUNMLQKQHJGFBE88CC,坡道平面,0,22.10,地下三樓
RPTNMLQKQHJGFCE88CC,坡道平面,0,,地下二樓
RPTOMLQKQHJGFBE88CC,坡道平面,0,35.28,地下二樓
RPPOMLQKQHJGFEE78CC,坡道平面,0,,地下一樓
RPXOMLQKQHJGFEE96CC,坡道平面,0,,地下二樓
RPQPMLQKQHJGFEE98CC,坡道平面,0,41.08,地下二樓
RPRPMLQKQHJGFEE09CC,坡道平面,0,23.41,地下二樓
RPSPMLQKQHJGFEE56CC,坡道平面,0,31.96,地下五樓含以下
RPUNMLQKQHJGFFE66CC,一樓平面,0,,一樓
RPXNMLQKQHJGFFE96CC,坡道平面,0,7.87,地下二樓
RPRNMLQKQHJGFIE66CC,坡道平面,0,27.16,地下三樓
RPPNMLRKQHJGFEE78CC,坡道平面,0,,地下二樓
RPPNMLRKQHJGFDE68CC,坡道平面,0,26.90,地下四樓
RPPNMLRKQHJGFFE88CC,坡道平面,0,,地下二樓
RPQNMLTKQHJGFBE78CC,坡道平面,0,14.83,地下一樓
RPPNMLTKQHJGFEE98CC,坡道平面,0,16.11,地下三樓
RPQOMLTKQHJGFDE09CC,坡道機械,0,8.17,地下三樓
RPTNMLTKQHJGFFE86CC,坡道機械,0,18.38,地下四樓
RPPNMLTKQHJGFGE56CC,坡道平面,0,19.23,地下一樓
RPPNMLKLQHJGFAE77CC,坡道平面,0,21.33,地下四樓
RPPNMLKLQHJGFCE97CC,坡道機械,0,8.80,地下四樓
RPPNMLKLQHJGFGE38CC,坡道平面,2700,13.75,地下二樓
RPQNMLKLQHJGFGE48CC,坡道平面,0,31.21,地下二樓
RPTNMLKLQHJGFIE98CC,坡道平面,0,35.76,地下三樓
RPQNMLKLQHJGFLE98CC,一樓平面,0,13.87,一樓
RPXNMLLLQHJGFAE68CC,坡道平面,0,39.67,地下五樓含以下
RPPNMLLLQHJGFBE97CC,坡道平面,0,39.65,地下二樓
RPROMLLLQHJGFBE28CC,坡道平面,0,26.01,地下五樓含以下
RPQNMLLLQHJGFDE28CC,坡道平面,0,23.45,地下一樓
RPWOMLLLQHJGFDE98CC,坡道機械,0,12.99,地下五樓含以下
RPXNMLLLQHJGFEE09CC,坡道機械,0,,地下二樓
RPWPMLLLQHJGFEE56CC,坡道平面,0,20.31,地下三樓
RPSQMLLLQHJGFEE88CC,坡道平面,0,29.84,地下二樓
RPRNMLMLQHJGFCE38CC,坡道平面,0,21.21,地下一樓
RPSOMLMLQHJGFDE68CC,坡道機械,400,18.48,地下二樓
RPWNMLMLQHJGFEE09CC,坡道機械,0,,地下一樓
RPPOMLMLQHJGFEE48CC,坡道平面,0,24.66,地下二樓
RPWNMLMLQHJGFGE66CC,坡道平面,3800,18.97,地下三樓
