鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
板橋區,房地(土地+建物)+車位,新北市板橋區篤行路三段５０號二樓,14.59,住,,,1130903,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890129,134.63,3,2,2,有,有,14000000,110844,坡道平面,26.37,2000000,有壁癌由買方自行修復陽台外推；,RPWPMLTJRHJGFAF86DA,79.45,0.0,7.14,有,
林口區,土地,太平二段289地號,271.84,農,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3289240,12100,,0.0,0,,RPUOMLQJRHJGFBF98DA,0.0,0.0,0.0,無,0001
林口區,土地,建林段572地號,4.26,住,,,1130903,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,721900,169460,,0.0,0,,RPXOMLQJRHJGFBF66DA,0.0,0.0,0.0,無,0002
新店區,車位,新北市新店區北新路一段１２６巷２號,0.17,住,,,1130902,土地1建物1車位1,一層,十五層,其他,一般事務所,鋼筋混凝土構造,1080805,16.26,0,0,0,無,有,1570000,,其他,0.0,1570000,僅車位交易；,RPPNMLTJRHJGFCF88EA,0.0,0.0,0.0,有,0003
中和區,房地(土地+建物),新北市中和區捷運路６１巷１１號四樓,23.42,住,,,1130905,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700910,84.14,3,1,1,有,無,12500000,148562,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTJRHJGFHF76EA,71.81,0.0,12.33,無,
土城區,土地,瑞興段627地號,0.06,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13033,0,,0.0,0,,RPVOMLKKRHJGFAF48DA,0.0,0.0,0.0,無,0004
板橋區,建物,新北市板橋區僑中一街８０巷１２弄１號二樓,0.0,,,,1130904,土地0建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,103.86,0,0,0,無,無,153800,1481,,0.0,0,建物坐落地號：僑中段179地號；親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKRHJGFAF87EA,86.54,0.0,17.32,無,
林口區,土地,建林段572地號,1.35,住,,,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,228300,169111,,0.0,0,,RPQPMLQJRHJGFBF68DA,0.0,0.0,0.0,無,0005
新店區,房地(土地+建物)+車位,新北市新店區青山路８８巷１弄５號,65.59,,山坡地保育區,丙種建築用地,1130903,土地1建物1車位1,一層，二層，三層,五層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0881208,120.03999999999999,1,2,2,有,有,16800000,139953,坡道平面,0.0,0,,RPTNMLMKRHJGFCF58DA,72.67,0.0,0.0,有,
