編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWPMLTJRHJGFAF86DA,25,86.59,住家用,鋼筋混凝土造,89年1月29日,十三層,二層 陽台,全筆移轉
RPWPMLTJRHJGFAF86DA,25,11.35,樓梯間、機械室、水箱,鋼筋混凝土造,89年1月29日,十三層,,持分移轉
RPWPMLTJRHJGFAF86DA,25,36.69,共有部分,鋼筋混凝土造,89年1月29日,十三層,,持分移轉
RPPNMLTJRHJGFCF88EA,5,.05,一般事務所,鋼筋混凝土構造,108年8月5日,十五層,一層,持分移轉
RPPNMLTJRHJGFCF88EA,5,16.21,本共有部分計有：梯廳、台電管道間、走道、管道間、特別安全梯、排煙室、緊急昇降機、行動不便昇降機、自行車停車空間、汽機車雙車道、物管室、無障礙特別安全梯、台電配電場所、配電箱、管道間（一）、管道間（二）、進風、排風、梯間、安全梯、無障礙安全梯、機房、水錶區、昇降機道、屋頂水箱、緩衝空間、一般安全梯、垃圾暫停車位、發電機進風管道、發電機排風管道、停車空間兼防空避難室、６８號行動不便車位、機電設備空間（供電信使用）、機電設備空間（供緊急發電機使用）、倉儲機械停車維修空間、４０號至６７號汽車車位、機電設備空間ＣＯ２鋼瓶室、機電設備空間（供消防泵浦室使用）、蓄水池、升降機附橫移＋迴轉、１號至３９號汽車車位等共計４１項。,鋼筋混凝土構造,108年8月5日,十五層,,持分移轉
RPPNMLTJRHJGFHF76EA,43,84.14,住家用,鋼筋混凝土造,70年9月10日,五層,四層 陽台,全筆移轉
RPTNMLMKRHJGFCF58DA,25,72.67,日用品零售及服務業,鋼筋混凝土造,88年12月8日,五層,一層 二層 三層,全筆移轉
RPTNMLMKRHJGFCF58DA,25,4.44,共有部分,鋼筋混凝土造,88年12月8日,五層,,持分移轉
RPTNMLMKRHJGFCF58DA,25,.89,共有部分,鋼筋混凝土造,88年12月8日,五層,,持分移轉
RPTNMLMKRHJGFCF58DA,25,42.05,共有部分,鋼筋混凝土造,88年12月8日,五層,,持分移轉
RPPNMLKKRHJGFAF87EA,,103.86,住家用,鋼筋混凝土造,,五層,二層 陽台,全筆移轉
RPRNMLKKRHJGFAF08EA,42,99.61,商業用,鋼筋混凝土造,71年4月3日,五層,一層 平台 騎樓,持分移轉
RPPNMLMKRHJGFEF48EA,7,34.17,本共有部分之項目有：停車空間、車道、發電機室進氣管道、發電機室排氣管道、發電機室、台電配電場所、受電箱及電表室、機房、防災中心、台電管道間、進風管道、排風管道、緊急昇降機、行動不便者使用電梯、消防中繼水箱、Ａ棟排煙室、Ｂ棟排煙室、垃圾車車位、垃圾貯存空間、泳池及水景機房、Ａ１梯、Ｂ１梯、Ａ棟電錶室、電信機房、Ａ‧Ｂ棟蓄水池、水箱（溫泉）、水箱（公設）、污水機房、防空避難室兼停車空間、消防機房及消防中繼機房等３１項,鋼骨鋼筋混凝土造,106年6月2日,二十三層,,持分移轉
RPRNMLMKRHJGFEF68EA,26,.52,廠房,鋼筋混凝土造,88年1月11日,二十三層,四層 陽台,持分移轉
RPRNMLMKRHJGFEF68EA,26,.05,共有部分,鋼筋混凝土造,88年1月11日,二十三層,,持分移轉
RPRNMLMKRHJGFEF68EA,26,.37,共有部分,鋼筋混凝土造,88年1月11日,二十三層,,持分移轉
RPRNMLMKRHJGFEF68EA,26,37.19,共有部分,鋼筋混凝土造,88年1月11日,二十三層,,持分移轉
RPRNMLKKRHJGFAF97DA,41,1.03,共有部分,鋼筋混凝土造,72年9月29日,十層,,持分移轉
RPRNMLQKRHJGFAF58DA,31,52.46,見使用執照,鋼筋混凝土造,82年8月24日,十四層,地下三層,持分移轉
RPRNMLKKRHJGFAF97DA,41,35.34,見使用執照,鋼筋混凝土造,72年9月29日,十層,地下層,持分移轉
RPTNMLNKRHJGFGF09DA,47,84.00,住家用,鋼筋混凝土造,66年5月11日,四層,二層 陽台,全筆移轉
RPRPMLKKRHJGFHF88DA,29,1.07,共有部分,鋼骨混凝土造,84年7月1日,二十二層,,持分移轉
RPRPMLKKRHJGFHF88DA,29,2.28,共有部分,鋼骨混凝土造,84年7月1日,二十二層,,持分移轉
RPRPMLKKRHJGFHF88DA,29,2.43,共有部分,鋼骨混凝土造,84年7月1日,二十二層,,持分移轉
RPQNMLLKRHJGFGF68EA,44,73.00,住家用,鋼筋混凝土造,69年10月11日,五層,三層 陽台,全筆移轉
RPRPMLKKRHJGFHF88DA,29,42.00,防空避難室兼停車場。,鋼骨混凝土造,84年7月1日,二十二層,通道 地下四層 地下五層,持分移轉
RPRPMLKKRHJGFHF88DA,29,3.66,共有部分,鋼筋混凝土造,84年7月1日,二十二層,,持分移轉
RPPNMLMKRHJGFAF08EA,,22.65,住家用,加強磚造,,四層,四層,持分移轉
RPUNMLLKRHJGFCF68EA,48,97.15,住家用,鋼筋混凝土造,65年10月5日,四層,三層,全筆移轉
RPOOMLLKRHJGFBF97DA,25,25.79,住家用,鋼筋混凝土造,88年5月3日,十四層,十一層 陽台,全筆移轉
RPOOMLLKRHJGFBF97DA,25,4.91,共有部分,鋼筋混凝土造,88年5月3日,十四層,,持分移轉
RPOOMLLKRHJGFBF97DA,25,4.63,共有部分,鋼筋混凝土造,88年5月3日,十四層,,持分移轉
RPSNMLMKRHJGFBF48EA,28,9.65,辦公室,鋼筋混凝土造,85年3月11日,二十一層,地下一層,全筆移轉
RPSNMLMKRHJGFBF48EA,28,8.91,共有部分,鋼筋混凝土造,85年3月11日,二十一層,,持分移轉
RPSNMLMKRHJGFBF48EA,28,.68,共有部分,鋼筋混凝土造,85年3月11日,二十一層,,持分移轉
RPSNMLMKRHJGFBF48EA,28,2.02,共有部分,鋼筋混凝土造,85年3月11日,二十一層,,持分移轉
RPTNMLQJRHJGFDF98DA,28,.07,住家用,鋼骨鋼筋混凝土造,86年1月11日,二十八層,一層,持分移轉
