編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLQJRHJGFBF98DA,太平二段,271.84,都市：其他:農業區,8400,360,持分移轉,02890000
RPWPMLTJRHJGFAF86DA,成功段,14.59,都市：其他:第一種住宅區,10000,47,持分移轉,06520000
RPQPMLQJRHJGFBF68DA,建林段,1.35,都市：其他:第二種住宅區,2000000,1712,持分移轉,05720000
RPPNMLTJRHJGFCF88EA,行政段,.17,都市：其他:住宅區,10000,2,持分移轉,08830000
RPXOMLQJRHJGFBF66DA,建林段,.32,都市：其他:第二種住宅區,6000000,6858,持分移轉,05260000
RPXOMLQJRHJGFBF66DA,建林段,.51,都市：其他:第二種住宅區,6000000,6858,持分移轉,05320000
RPXOMLQJRHJGFBF66DA,建林段,.58,都市：其他:第二種住宅區,6000000,6858,持分移轉,05550000
RPXOMLQJRHJGFBF66DA,建林段,.59,都市：其他:第二種住宅區,6000000,6858,持分移轉,05560000
RPXOMLQJRHJGFBF66DA,建林段,1.80,都市：其他:第二種住宅區,2000000,2286,持分移轉,05720000
RPXOMLQJRHJGFBF66DA,建林段,.47,都市：其他:第二種住宅區,6000000,10434,持分移轉,13130000
RPPNMLTJRHJGFHF76EA,捷運段,23.42,都市：其他:住宅區,5,1,持分移轉,03840000
RPTNMLMKRHJGFCF58DA,青山段,65.59,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,113,持分移轉,07920000
RPVOMLKKRHJGFAF48DA,瑞興段,.06,都市：其他:住宅區,12096000,2016,持分移轉,06270000
RPRNMLKKRHJGFDF28DA,溫泉段,243.58,都市：其他:第二種住宅區,1,1,全筆移轉,00850000
RPRNMLLKRHJGFFF58DA,新港段,42.90,都市：其他:道路用地,42,6,持分移轉,06690000
RPRNMLKKRHJGFAF08EA,忠孝段,.16,都市：其他:住宅區,500,1,持分移轉,06350000
RPRNMLKKRHJGFAF08EA,忠孝段,.15,都市：其他:住宅區,500,1,持分移轉,06360000
