鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
淡水區,房地(土地+建物)+車位,新北市淡水區淡海路163號,13.37,商,,,1130811,土地6建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,101.79,2,2,2,有,無,13000000,123534,塔式車位,6.27,1200000,,RPXNMLLKQHJGFEF98CB,水悅日光,A3號,
泰山區,房地(土地+建物)+車位,新北市泰山區莊泰路與莊田路路口,23.98,住,,,1130811,土地12建物1車位1,九層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.42,3,2,2,有,無,25300000,180614,坡道平面,20.63,2400000,,RPWNMLOKQHJGFBF88CB,閱讀台灣,B棟5號,
泰山區,房地(土地+建物)+車位,新北市泰山區莊泰路與莊田路路口,22.62,住,,,1130811,土地12建物1車位1,十七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.3,3,2,2,有,無,24520000,184842,坡道平面,20.63,2400000,,RPXNMLOKQHJGFBF98CB,閱讀台灣,A棟5號,
五股區,房地(土地+建物)+車位,新北市五股區新城八路,10.58,住,,,1130814,土地7建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,85.32,2,1,1,有,無,12900000,175154,坡道平面,26.8,2650000,交易總價含下列非屬預售屋價格之費用:家電費,RPVOMLOKQHJGFBF88CB,芳洲漾,A1棟15F號,
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路二段143巷,61.73,住,,,1130812,土地1建物1車位1,二十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,221.41,2,2,1,有,無,29300000,144420,坡道平面,33.07,2100000,,RPXNMLOKQHJGFEF66CB,明日晴,D3-20F號,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路與新月三街交叉口旁,11.38,住,,,1130812,土地6建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.29,2,1,1,有,無,16120000,199509,坡道平面,33.02,2300000,,RPTNMLQKQHJGFAF68CB,立信晴朗,A棟10號,
三重區,房地(土地+建物)+車位,新北市三重區頂文二街,15.09,住,,,1130811,土地7建物1車位1,十八層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,106.1,2,2,1,有,無,21100000,249370,坡道平面,30.71,2300000,,RPPNMLQKQHJGFGF88CB,新濠漾III-巴黎公園,A7棟18號,
三重區,房地(土地+建物)+車位,新北市三重區頂文二街,15.09,住,,,1130811,土地7建物1車位1,二十四層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,108.84,2,2,1,有,無,21660000,254808,坡道平面,33.45,2450000,,RPQNMLQKQHJGFGF98CB,新濠漾III-巴黎公園,A7棟24號,
土城區,房地(土地+建物)+車位,新北市土城區青和街,22.96,住,,,1130811,土地1建物1車位2,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.84,3,2,2,有,無,27210000,175561,坡道平面,59.04,5300000,,RPQNMLRKQHJGFAF48CB,寶佳淳青,B棟1號,
