編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLRKQHJGFAF48CB,明德段,22.96,都市：住,100000,541,持分移轉,03600000
RPXNMLLKQHJGFEF98CB,沙崙段,1.69,都市：商,10000,209,持分移轉,05300000
RPXNMLLKQHJGFEF98CB,沙崙段,1.55,都市：商,10000,209,持分移轉,05310000
RPXNMLLKQHJGFEF98CB,沙崙段,1.01,都市：商,10000,209,持分移轉,05320000
RPXNMLLKQHJGFEF98CB,沙崙段,1.54,都市：商,10000,209,持分移轉,05330000
RPXNMLOKQHJGFEF66CB,水仙段,61.73,都市：住,100000,1525,持分移轉,06280000
RPXNMLLKQHJGFEF98CB,沙崙段,3.50,都市：商,10000,209,持分移轉,05340000
RPXNMLLKQHJGFEF98CB,沙崙段,4.09,都市：商,10000,209,持分移轉,05350000
RPXNMLOKQHJGFBF98CB,信華段五小段,.83,都市：住,100000,350,持分移轉,00430000
RPXNMLOKQHJGFBF98CB,信華段五小段,1.73,都市：住,100000,350,持分移轉,00430001
RPXNMLOKQHJGFBF98CB,信華段五小段,4.31,都市：住,100000,350,持分移轉,00430002
RPXNMLOKQHJGFBF98CB,信華段五小段,1.67,都市：住,100000,350,持分移轉,00460000
RPXNMLOKQHJGFBF98CB,信華段五小段,1.34,都市：住,100000,350,持分移轉,00470000
RPTNMLQKQHJGFAF68CB,新都段,4.37,都市：住,1000000,5523,持分移轉,00900000
RPTNMLQKQHJGFAF68CB,新都段,.48,都市：住,1000000,5523,持分移轉,00900001
RPRNMLRKQHJGFAF58CB,明德段,17.61,都市：住,100000,415,持分移轉,03600000
RPXNMLOKQHJGFBF98CB,信華段五小段,2.68,都市：住,100000,350,持分移轉,00480000
RPTNMLQKQHJGFAF68CB,新都段,3.48,都市：住,1000000,5523,持分移轉,00910000
RPXNMLOKQHJGFBF98CB,信華段五小段,2.39,都市：住,100000,350,持分移轉,00510000
RPTNMLQKQHJGFAF68CB,新都段,.36,都市：住,1000000,5523,持分移轉,00910001
RPXNMLOKQHJGFBF98CB,信華段五小段,1.26,都市：住,100000,350,持分移轉,00600001
RPTNMLQKQHJGFAF68CB,新都段,1.72,都市：住,1000000,5523,持分移轉,00920000
RPXNMLOKQHJGFBF98CB,信華段五小段,1.73,都市：住,100000,350,持分移轉,00490000
RPTNMLQKQHJGFAF68CB,新都段,.97,都市：住,1000000,5523,持分移轉,00930000
RPXNMLOKQHJGFBF98CB,信華段五小段,1.54,都市：住,100000,350,持分移轉,00500000
RPXNMLOKQHJGFBF98CB,信華段五小段,.49,都市：住,100000,350,持分移轉,00590000
RPXNMLOKQHJGFBF98CB,信華段五小段,2.66,都市：住,100000,350,持分移轉,00600000
RPQNMLQKQHJGFGF98CB,五谷王段,.53,都市：住,100000,292,持分移轉,01090000
RPQNMLQKQHJGFGF98CB,五谷王段,3.93,都市：住,100000,292,持分移轉,01100000
RPQNMLQKQHJGFGF98CB,五谷王段,2.28,都市：住,100000,292,持分移轉,01110000
RPQNMLQKQHJGFGF98CB,五谷王段,1.07,都市：住,100000,292,持分移轉,01120000
RPPNMLQKQHJGFGF88CB,五谷王段,.53,都市：住,100000,292,持分移轉,01090000
RPQNMLQKQHJGFGF98CB,五谷王段,1.56,都市：住,100000,292,持分移轉,01130000
RPPNMLQKQHJGFGF88CB,五谷王段,3.93,都市：住,100000,292,持分移轉,01100000
