編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLRKQHJGFAF48CB,坡道平面,2600000,29.52,地下一樓
RPQNMLRKQHJGFAF48CB,坡道平面,2700000,29.52,地下一樓
RPXNMLOKQHJGFEF66CB,坡道平面,2100000,33.07,地下一樓
RPXNMLLKQHJGFEF98CB,塔式車位,1200000,6.27,
RPRNMLRKQHJGFAF58CB,坡道平面,2400000,29.52,地下一樓
RPTNMLQKQHJGFAF68CB,坡道平面,2300000,33.02,地下五樓含以下
RPXNMLOKQHJGFBF98CB,坡道平面,2400000,20.63,地下三樓
RPQNMLQKQHJGFGF98CB,坡道平面,2450000,33.45,地下三樓
RPPNMLQKQHJGFGF88CB,坡道平面,2300000,30.71,地下三樓
RPWNMLOKQHJGFBF88CB,坡道平面,2400000,20.63,地下二樓
RPVOMLOKQHJGFBF88CB,坡道平面,2650000,26.80,地下二樓
RPPNMLRKQHJGFBF48CB,坡道平面,2200000,24.75,地下二樓
RPPNMLRKQHJGFBF48CB,坡道平面,2400000,24.75,地下二樓
RPSNMLRKQHJGFGF66CB,坡道平面,2700000,16.72,地下二樓
RPPNMLRKQHJGFGF09DB,坡道平面,2400000,45.19,地下四樓
RPQNMLSKQHJGFBF68CB,坡道平面,2900000,24.75,地下一樓
RPQNMLRKQHJGFBF68DB,坡道平面,2500000,26.01,地下二樓
RPPNMLRKQHJGFBF58DB,坡道平面,2500000,26.01,地下二樓
RPQNMLTKQHJGFAF68CB,坡道平面,2550000,24.24,地下三樓
RPRNMLRKQHJGFBF78DB,坡道平面,2200000,26.01,地下四樓
RPPNMLSKQHJGFEF98DB,坡道平面,1600000,29.31,地下四樓
RPSNMLRKQHJGFBF88DB,坡道平面,2600000,26.01,地下一樓
RPSNMLTKQHJGFEF66CB,坡道平面,1750000,27.77,地下一樓
RPVNMLTKQHJGFEF96CB,坡道平面,1550000,27.77,地下三樓
RPWNMLTKQHJGFEF07CB,坡道平面,1550000,27.77,地下三樓
RPQOMLTKQHJGFBF88CB,坡道平面,2400000,30.17,地下四樓
RPXNMLTKQHJGFEF17CB,坡道平面,1800000,28.88,地下一樓
RPSNMLTKQHJGFAF88CB,坡道平面,2700000,27.74,地下二樓
RPSNMLTKQHJGFGF86CB,坡道平面,2750000,19.40,地下五樓含以下
RPTNMLTKQHJGFEF76CB,坡道平面,1700000,28.88,地下二樓
RPUOMLKLQHJGFAF38CB,坡道平面,2500000,33.02,地下三樓
RPTNMLKLQHJGFAF18CB,坡道平面,1800000,16.18,地下五樓含以下
RPOQMLKLQHJGFGF58CB,坡道平面,2400000,18.21,地下五樓含以下
RPPQMLKLQHJGFGF68CB,坡道平面,2400000,18.21,地下五樓含以下
RPQQMLKLQHJGFGF78CB,坡道平面,2400000,18.21,地下五樓含以下
RPSQMLKLQHJGFGF98CB,坡道平面,2400000,18.21,地下五樓含以下
RPUQMLKLQHJGFGF56CB,坡道平面,2650000,32.27,地下二樓
RPVQMLKLQHJGFGF66CB,坡道平面,2700000,35.65,地下一樓
RPWQMLKLQHJGFGF76CB,坡道平面,2250000,30.07,地下三樓
RPPRMLKLQHJGFGF78CB,坡道平面,2400000,30.07,地下二樓
RPORMLKLQHJGFGF68CB,坡道平面,2450000,30.07,地下二樓
RPRRMLKLQHJGFGF98CB,坡道平面,2350000,30.07,地下二樓
RPXQMLKLQHJGFGF86CB,坡道平面,2500000,30.07,地下二樓
RPQRMLKLQHJGFGF88CB,坡道平面,2300000,30.07,地下三樓
RPTRMLKLQHJGFGF56CB,坡道平面,2500000,30.07,地下二樓
RPURMLKLQHJGFGF66CB,坡道平面,2150000,30.07,地下二樓
RPSRMLKLQHJGFGF09CB,坡道平面,2350000,30.07,地下二樓
RPVRMLKLQHJGFGF76CB,坡道平面,1900000,30.07,地下四樓
RPPSMLKLQHJGFGF88CB,坡道平面,2450000,30.07,地下一樓
RPQSMLKLQHJGFGF98CB,坡道平面,2450000,30.07,地下一樓
RPRSMLKLQHJGFGF09CB,坡道平面,2500000,36.08,地下二樓
RPXRMLKLQHJGFGF96CB,坡道平面,2250000,30.07,地下三樓
RPWRMLKLQHJGFGF86CB,坡道平面,2300000,30.07,地下二樓
RPSSMLKLQHJGFGF56CB,坡道平面,2150000,30.07,地下二樓
RPTSMLKLQHJGFGF66CB,坡道平面,2300000,30.07,地下二樓
RPUSMLKLQHJGFGF76CB,坡道平面,2350000,30.07,地下二樓
RPWSMLKLQHJGFGF96CB,坡道平面,2500000,36.08,地下二樓
RPVSMLKLQHJGFGF86CB,坡道平面,2250000,30.07,地下一樓
RPOTMLKLQHJGFGF88CB,坡道平面,2450000,30.07,地下一樓
RPXSMLKLQHJGFGF07CB,坡道平面,1900000,30.07,地下四樓
RPRTMLKLQHJGFGF56CB,坡道平面,2250000,30.07,地下三樓
RPPTMLKLQHJGFGF98CB,坡道平面,2250000,30.07,地下三樓
RPQTMLKLQHJGFGF09CB,坡道平面,2250000,30.07,地下三樓
RPSTMLKLQHJGFGF66CB,坡道平面,2100000,30.07,地下四樓
RPWTMLKLQHJGFGF07CB,坡道平面,2300000,30.07,地下三樓
RPTTMLKLQHJGFGF76CB,坡道平面,2250000,30.07,地下三樓
RPUTMLKLQHJGFGF86CB,坡道平面,2250000,30.07,地下三樓
RPXTMLKLQHJGFGF17CB,坡道平面,2250000,30.07,地下三樓
RPVTMLKLQHJGFGF96CB,坡道平面,2200000,30.07,地下三樓
RPOUMLKLQHJGFGF98CB,塔式車位,1600000,36.16,
RPQUMLKLQHJGFGF56CB,坡道平面,2450000,40.41,地下二樓
RPQUMLKLQHJGFGF56CB,坡道平面,2500000,40.41,地下二樓
RPPNMLKLQHJGFHF48CB,坡道平面,2500000,34.21,地下三樓
RPPNMLKLQHJGFHF48CB,坡道平面,2500000,34.21,地下三樓
RPOOMLKLQHJGFHF48CB,坡道平面,2200000,31.27,地下五樓含以下
RPXNMLKLQHJGFHF66CB,坡道平面,2350000,31.27,地下四樓
RPTUMLKLQHJGFGF86CB,坡道平面,2750000,25.75,地下二樓
RPWNMLKLQHJGFHF56CB,坡道平面,2350000,31.27,地下四樓
RPROMLKLQHJGFHF78CB,坡道平面,2500000,31.27,地下三樓
RPQOMLKLQHJGFHF68CB,坡道平面,2500000,31.27,地下三樓
RPSOMLKLQHJGFHF88CB,坡道平面,2350000,31.27,地下四樓
RPPNMLKLQHJGFBF97DB,坡道平面,1900000,33.33,地下五樓含以下
RPVPMLLLQHJGFAF68CB,坡道平面,2750000,32.48,地下三樓
RPOOMLLLQHJGFBF97CB,坡道平面,2100000,29.75,地下五樓含以下
RPWNMLLLQHJGFBF68CB,坡道平面,2200000,30.85,地下五樓含以下
RPUPMLLLQHJGFAF58CB,坡道平面,2500000,32.48,地下四樓
RPQOMLLLQHJGFBF18CB,坡道平面,2000000,30.85,地下五樓含以下
RPWNMLLLQHJGFGF56CB,坡道平面,2300000,32.27,地下三樓
RPXNMLLLQHJGFGF66CB,坡道平面,2750000,32.27,地下二樓
RPOOMLLLQHJGFGF48CB,坡道平面,2250000,32.27,地下三樓
RPPOMLLLQHJGFGF58CB,坡道平面,2350000,20.73,地下五樓含以下
RPROMLLLQHJGFGF78CB,坡道平面,2550000,20.73,地下四樓
RPRPMLLLQHJGFGF88CB,坡道平面,2300000,19.36,地下五樓含以下
RPSPMLLLQHJGFGF98CB,坡道平面,2550000,21.08,地下四樓
RPOQMLLLQHJGFGF68CB,坡道平面,2450000,19.36,地下四樓
RPPPMLLLQHJGFGF68CB,坡道平面,2300000,19.36,地下五樓含以下
RPUOMLLLQHJGFGF09CB,坡道平面,2450000,19.05,地下四樓
RPUPMLLLQHJGFGF56CB,坡道平面,2750000,18.34,地下四樓
RPQNMLMLQHJGFBF18CB,坡道平面,2600000,18.44,地下一樓
RPWNMLMLQHJGFGF66CB,坡道平面,2600000,33.45,地下二樓
RPQOMLMLQHJGFGF78CB,坡道平面,2700000,33.86,地下一樓
RPPNMLMLQHJGFBF18DB,坡道平面,2100000,39.39,地下五樓含以下
RPWNMLMLQHJGFEF09CB,坡道平面,1500000,35.42,地下一樓
RPOOMLMLQHJGFGF58CB,坡道平面,2300000,33.45,地下三樓
RPQNMLMLQHJGFEF48CB,坡道平面,2150000,38.60,地下二樓
RPTNMLMLQHJGFEF78CB,坡道平面,2050000,38.60,地下二樓
RPXNMLMLQHJGFGF76CB,坡道平面,2100000,33.45,地下四樓
RPSNMLMLQHJGFEF68CB,坡道平面,2050000,38.60,地下三樓
RPPNMLNLQHJGFAF08CB,坡道平面,2250000,30.38,地下四樓
RPUNMLNLQHJGFAF58CB,坡道平面,1600000,29.52,地下五樓含以下
RPTNMLNLQHJGFAF48CB,坡道平面,1900000,32.10,地下四樓
RPQNMLNLQHJGFAF18CB,坡道平面,1900000,32.10,地下四樓
RPVNMLNLQHJGFAF68CB,坡道平面,1750000,32.10,地下五樓含以下
RPTOMLNLQHJGFAF58CB,坡道平面,2100000,32.10,地下三樓
RPUPMLNLQHJGFAF78CB,坡道平面,1700000,32.10,地下五樓含以下
RPTPMLNLQHJGFAF68CB,坡道平面,1750000,32.10,地下五樓含以下
RPQQMLNLQHJGFAF48CB,坡道平面,2000000,33.02,地下五樓含以下
RPWOMLNLQHJGFAF88CB,坡道平面,1750000,32.10,地下五樓含以下
RPXOMLNLQHJGFAF98CB,坡道平面,1900000,32.10,地下四樓
RPSQMLNLQHJGFAF68CB,坡道平面,2400000,30.36,地下四樓
RPUQMLNLQHJGFAF88CB,坡道平面,2550000,32.48,地下三樓
RPRQMLNLQHJGFAF58CB,坡道平面,2400000,33.02,地下二樓
RPQNMLNLQHJGFEF58CB,坡道平面,1700000,32.07,地下一樓
RPVQMLNLQHJGFAF98CB,坡道平面,2550000,32.48,地下三樓
RPPNMLNLQHJGFEF48CB,坡道平面,1800000,32.19,地下一樓
RPWQMLNLQHJGFAF09CB,坡道平面,2500000,33.02,地下四樓
RPRNMLNLQHJGFEF68CB,坡道平面,1700000,32.07,地下一樓
RPRNMLNLQHJGFGF88CB,坡道平面,2900000,29.20,地下一樓
RPQNMLNLQHJGFGF78CB,坡道平面,2900000,29.20,地下一樓
RPQNMLOLQHJGFAF28CB,坡道平面,1700000,32.10,地下五樓含以下
RPQNMLOLQHJGFGF88CB,坡道平面,2850000,18.21,地下二樓
RPPNMLOLQHJGFBF28CB,坡道平面,2150000,22.77,地下一樓
RPPNMLPLQHJGFAF28CB,坡道平面,2200000,29.52,地下三樓
RPQNMLPLQHJGFAF38CB,坡道平面,2700000,29.52,地下一樓
RPVNMLOLQHJGFGF76CB,坡道平面,2850000,18.21,地下二樓
RPRNMLPLQHJGFAF48CB,坡道平面,2300000,29.52,地下四樓
RPVNMLPLQHJGFIF07CB,坡道平面,1800000,27.91,地下四樓
RPPNMLPLQHJGFEF68CB,坡道平面,2100000,27.13,地下二樓
RPTNMLPLQHJGFEF09CB,坡道機械,850000,21.73,地下四樓
RPRNMLPLQHJGFEF88CB,坡道機械,950000,21.34,地下四樓
RPUNMLPLQHJGFIF96CB,坡道平面,1800000,27.91,地下四樓
RPUOMLQLQHJGFBF09CB,坡道平面,2600000,20.63,地下一樓
RPPNMLQLQHJGFCF58CB,坡道平面,2750000,30.42,地下一樓
RPVOMLQLQHJGFBF56CB,坡道平面,2600000,20.63,地下一樓
RPPNMLQLQHJGFEF78CB,坡道平面,2100000,33.06,地下二樓
RPWOMLQLQHJGFBF66CB,坡道平面,2400000,20.63,地下三樓
RPQNMLQLQHJGFEF88CB,坡道平面,2000000,33.06,地下三樓
RPTNMLQLQHJGFEF56CB,坡道平面,1530000,30.48,地下二樓
RPPNMLRLQHJGFAF48CB,坡道平面,2700000,31.38,地下二樓
RPQOMLRLQHJGFAF68CB,坡道平面,2150000,26.94,地下五樓含以下
RPQNMLRLQHJGFAF58CB,坡道平面,2800000,32.48,地下二樓
RPSOMLRLQHJGFAF88CB,坡道平面,2900000,26.94,地下二樓
RPRNMLRLQHJGFAF68CB,坡道平面,2250000,32.48,地下五樓含以下
RPROMLRLQHJGFAF78CB,坡道平面,2450000,26.94,地下三樓
RPPNMLRLQHJGFBF58CB,坡道平面,2650000,29.99,地下二樓
RPRNMLRLQHJGFBF78CB,坡道平面,2600000,29.99,地下三樓
RPQNMLRLQHJGFBF68CB,坡道平面,2500000,29.99,地下四樓
RPSPMLRLQHJGFBF09CB,坡道平面,2700000,19.15,地下五樓含以下
RPSOMLRLQHJGFGF86CB,坡道平面,2500000,33.45,地下二樓
RPPNMLRLQHJGFEF98DB,坡道平面,1450000,24.94,地下三樓
RPRNMLRLQHJGFEF56DB,坡道平面,1450000,24.94,地下三樓
RPSNMLRLQHJGFEF66DB,坡道平面,1400000,24.94,地下三樓
RPQOMLRLQHJGFGF66CB,坡道平面,2450000,32.34,地下二樓
RPPOMLRLQHJGFGF56CB,坡道平面,2550000,32.34,地下二樓
RPWNMLRLQHJGFEF07DB,坡道平面,1750000,24.94,地下一樓
RPWNMLRLQHJGFBF76DB,坡道平面,2500000,26.01,地下二樓
RPOOMLRLQHJGFEF98DB,坡道平面,1550000,24.94,地下二樓
RPQOMLRLQHJGFEF56DB,坡道平面,1550000,24.94,地下二樓
RPROMLRLQHJGFEF66DB,坡道平面,1650000,24.94,地下一樓
RPRNMLSLQHJGFAF78CB,坡道平面,2500000,31.92,地下三樓
RPPNMLSLQHJGFAF58CB,坡道平面,2600000,33.02,地下五樓含以下
RPVNMLSLQHJGFGF17CB,其他,1800000,6.76,地下二樓
RPUNMLSLQHJGFBF56CB,坡道平面,2700000,24.57,地下三樓
