鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
板橋區,租賃房屋,新北市板橋區陽明街２９巷４３號四樓,0.0,,,,1130720,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800614,106.32,3,2,2,有,有,有,28000,263,,0.0,0,,RPPNMLLKQHJGFAF87CC,整棟(戶)出租,有,1130901~1170831,無,冷氣、熱水器、瓦斯或天然氣,
板橋區,租賃房屋,新北市板橋區龍興街９９巷１６號４樓,0.0,,,,1130810,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,68.0,3,1,1,有,無,有,15200,224,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為16900元，因選擇代管方案須打9折且簽約租金無條件捨去至百分位實際租賃契約金額15200元。續租案件；,RPQNMLLKQHJGFAF97CC,整棟(戶)出租,無,1130810~1140809,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
板橋區,租賃房屋,新北市板橋區瑞安街５９巷６弄６號３樓,0.0,,,,1130806,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700418,76.58,2,1,1,有,無,無,20000,261,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為22300元，因選擇代管方案須打9折且簽約租金無條件捨去至百分位實際租賃契約金額20000元。,RPRNMLLKQHJGFAF08CC,整棟(戶)出租,無,1130806~1140805,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
板橋區,租賃房屋,新北市板橋區貴興路２號８樓之２,0.0,,,,1130725,土地0建物1車位0,八層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061023,89.28,1,0,1,有,有,有,17400,195,,0.0,0,續租案件；,RPSNMLLKQHJGFAF18CC,整棟(戶)出租,無,1130810~1140809,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
新莊區,租賃房屋,新北市新莊區瓊林路３８巷１０號３樓,17.56,住,,,1130714,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0590518,63.15,3,2,1,有,無,有,18000,285,,0.0,0,,RPQNMLLKQHJGFBF08CC,整棟(戶)出租,無,1130720~1140719,無,冷氣、熱水器、冰箱、瓦斯或天然氣,
汐止區,租賃房屋,新北市汐止區大同路二段２８３號１４樓之２,0.0,,,,1130720,土地0建物1車位0,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,57.19,1,1,1,有,有,有,20000,350,,0.0,0,,RPPNMLLKQHJGFDF18CC,獨立套房,有,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
淡水區,租賃房屋+車位,新北市淡水區濱海路二段２０２巷７２號二樓,17.7,住,,,1130808,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060707,144.89,3,2,2,有,有,有,22000,152,坡道機械,17.04,0,租金總額含管理費；網路費；,RPPNMLLKQHJGFEF28CC,整棟(戶)出租,有,1130901~1140831,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,
淡水區,租賃房屋+車位,新北市淡水區沙崙路８０３號９樓,12.0,商,,,1130715,土地1建物1車位1,九層,23,住宅大樓(11層含以上有電梯),一般事務所,鋼筋混凝土造,1120727,133.32999999999998,3,2,2,有,有,有,27306,205,坡道平面,35.2,0,多人共同承租2；,RPQNMLLKQHJGFEF38CC,整棟(戶)出租,有,1130715~1150714,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
淡水區,租賃房屋+車位,新北市淡水區新市三路二段２２９號１６樓,9.93,商,,,1130811,土地1建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,152.47,3,2,2,有,有,無,23000,151,坡道平面,30.47,0,多人共同承租2；租金總額含管理費；,RPRNMLLKQHJGFEF48CC,整棟(戶)出租,有,1130820~1150819,有,冷氣、熱水器、瓦斯或天然氣,
淡水區,租賃房屋+車位,新北市淡水區崁頂五路１６５巷１５號七樓,0.0,,,,1130716,土地0建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060104,134.31,3,2,2,有,有,有,19153,143,坡道機械,16.03,0,,RPSNMLLKQHJGFEF58CC,整棟(戶)出租,有,1130722~1140721,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
八里區,租賃房屋,新北市八里區龍米路一段１０５巷１３號３樓,0.0,,,,1130810,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0670930,89.28,2,1,1,有,無,有,14000,157,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為15600元，因選擇代管方案須打9折且簽約租金無條件捨去至百分位實際租賃契約金額14000元。續租案件；,RPTNMLLKQHJGFEF68CC,整棟(戶)出租,無,1130810~1140809,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
蘆洲區,租賃房屋,新北市蘆洲區得勝街１２９號７樓,0.0,,,,1130810,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850501,119.59,3,2,2,有,有,有,24400,204,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為27200元，因選擇代管方案須打9折且簽約租金無條件捨去至百分位實際租賃契約金額24400元。續租案件；,RPPNMLLKQHJGFGF48CC,整棟(戶)出租,有,1130810~1140809,有,冷氣、熱水器,社會住宅代管
中和區,租賃房屋,新北市中和區民生街１０巷１４弄１６號二樓,0.0,,,,1130720,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0650819,38.26,2,1,1,有,無,無,17000,444,,0.0,0,含增建或未登記建物；,RPQNMLLKQHJGFHF68CC,整棟(戶)出租,無,1130727~1140726,無,熱水器,
中和區,租賃房屋,新北市中和區連城路１３１號二樓,24.88,住,,,1130716,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0590608,56.71,3,2,1,有,無,無,22000,388,,0.0,0,租賃期間含免租裝潢期含增建或未登記建物；,RPRNMLLKQHJGFHF78CC,整棟(戶)出租,無,1130717~1160716,無,熱水器,
板橋區,租賃房屋,新北市板橋區南雅東路８號四樓之３０,0.0,,,,1130806,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),一般事務所,鋼筋混凝土造,0861121,37.06,1,0,1,有,有,有,13000,351,,0.0,0,由承租人負擔管理費用 500元「此為新北市社會住宅包租代管計畫之物件，評定市價租金為14500元，因選擇代管方案須打9折且簽約租金無條件捨去至百分位，實際租賃契約金額13000元。」,RPPNMLMKQHJGFAF97CC,獨立套房,無,1130806~1140805,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
板橋區,租賃房屋,新北市板橋區幸福路３２巷１弄１２號３樓,0.0,,,,1130808,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,加強磚造,,72.01,3,1,1,有,無,無,15000,208,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為18800元，因選擇包租方案須打8折且簽約租金無條件捨去至百分位，實際租賃契約金額為15000元。,RPQNMLMKQHJGFAF08CC,整棟(戶)出租,無,1130930~1140929,無,熱水器,社會住宅包租轉租
板橋區,租賃房屋,新北市板橋區三民路二段８１巷４１號５樓,0.0,,,,1130808,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680725,106.49,3,2,2,有,無,無,18000,169,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為20000元，因選擇代管方案須打9折且簽約租金無條件捨去至百分位，實際租賃契約金額為18000元。,RPRNMLMKQHJGFAF18CC,整棟(戶)出租,無,1130928~1140927,無,熱水器、瓦斯或天然氣,社會住宅代管
板橋區,租賃房屋,新北市板橋區中山路一段２９１之２號,0.0,,,,1130731,土地0建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0720704,81.02,0,0,1,有,無,無,68000,839,,0.0,0,,RPSNMLMKQHJGFAF28CC,,無,1130812~1170922,無,,
