編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLKQHJGFAF87CC,33,103.69,住家用,鋼筋混凝土造,80年6月14日,五層,,
RPQNMLLKQHJGFEF38CC,1,64.13,一般事務所,鋼筋混凝土造,112年7月27日,二十三層,,
RPPNMLLKQHJGFAF87CC,33,2.63,共有部份,鋼筋混凝土造,80年6月14日,五層,,
RPQNMLLKQHJGFEF38CC,1,21.43,本案共有部分項目有：排煙室、空調機房、梯廳、Ｌ棟排煙室、Ｌ１水箱、Ｌ２水箱、梯間、噴灌機房、機房、消防中繼機械室、電梯機房、水箱、消防水箱等１３項,鋼筋混凝土造,112年7月27日,二十三層,,
RPQNMLLKQHJGFEF38CC,1,.66,本案共有部分項目有：共同梯廳等１項,鋼筋混凝土造,112年7月27日,二十三層,,
RPQNMLLKQHJGFEF38CC,1,47.10,本案共有部分項目有：騎樓、Ｋ１通廊、迴廊、Ａ１通廊、門廳（一）、防災中心、門廳（二）、Ｅ１通廊、Ｆ１通廊、Ｇ１通廊、Ｈ１通廊、Ｉ１管委會使用空間、Ｂ１管委會使用空間、Ｌ１管委會使用空間、Ａ１管委會使用空間、儲藏室、Ｋ２管委會使用空間、Ｋ１管委會使用空間、通廊、陽台、空調機房、Ｈ１管委會使用空間、Ｈ２管委會使用空間、Ｇ１管委會使用空間、Ｆ３管委會使用空間、Ｆ１管委會使用空間、Ｆ２管委會使用空間、Ｅ１管委會使用空間、Ｅ２管委會使用空間、Ｃ１管委會使用空間、台電配電場所、停車空間、發電機室、梯間、垃圾儲藏室－０１、垃圾儲藏室－０２、受水池、機房、中繼水箱、電信室、防空避難室兼停車空間、雨水回收機房、消防機房、景觀機房等４４項,鋼筋混凝土造,112年7月29日,二十三層,,
RPQNMLLKQHJGFEF38CC,1,.01,一般事務所,鋼筋混凝土造,112年7月27日,二十三層,,
RPQNMLLKQHJGFBF08CC,54,63.15,住家用,加強磚造,59年5月18日,四層,,
RPQNMLLKQHJGFAF97CC,,68.00,住家用,鋼筋混凝土造,,四層,,
RPSNMLLKQHJGFAF18CC,7,31.00,集合住宅,鋼筋混凝土造,106年10月23日,十一層,,
RPSNMLLKQHJGFAF18CC,7,58.28,本共有部分項目有（停車空間、垃圾車專用停車位、垃圾儲存空間、發電機室、供行動不便者電梯、Ａ棟排煙室、Ａ３梯、地下室通風口、受電箱區、台電配電場所、Ｂ棟梯廳、電梯機坑、電信機房、Ｂ棟垃圾暫存空間、Ｃ棟垃圾暫存空間、Ｃ棟梯廳、Ｃ棟電錶區、Ａ－２蓄水池、Ｂ－２蓄水池、Ａ－１蓄水池、Ｂ－１蓄水池、消防機房、污水機房、Ｃ蓄水池、Ａ１梯、Ａ２梯、Ａ供行動不便者電梯、陽台、管委會空間、門廳（梯廳）、車道一、車道二、車道三、Ｂ１梯、Ｂ棟排煙室、Ｂ緊急昇降機、Ｂ２梯、Ｃ１梯、Ｃ２梯、Ａ棟梯廳、防空避難室兼停車空間、Ｃ供行動不便者電梯、Ｃ棟梯間（梯廳）、Ｂ梯廳、Ｂ１梯、Ｃ棟梯間、梯廳、Ａ棟梯間、消防水箱、機械室、水箱、Ｂ棟梯間）等共５２項。,鋼筋混凝土造,106年10月23日,十五層,,
RPPNMLLKQHJGFDF18CC,29,52.65,住家用,鋼筋混凝土造,84年1月26日,二十四層,,
RPPNMLLKQHJGFDF18CC,29,2.11,共有部分,鋼筋混凝土造,84年1月26日,二十六層,,
RPPNMLLKQHJGFDF18CC,29,2.43,共有部分,鋼筋混凝土造,84年1月26日,二十六層,,
RPPNMLLKQHJGFEF28CC,7,144.89,住家用,鋼筋混凝土造,106年7月7日,十五層,,
RPTNMLLKQHJGFEF68CC,46,89.28,住家用,加強磚造,67年9月30日,三層,,
RPQNMLLKQHJGFHF68CC,48,38.26,住家用,加強磚造,65年8月19日,四層,,
RPSNMLLKQHJGFEF58CC,8,80.35,住家用,鋼筋混凝土造,106年1月4日,十四層,,
RPSNMLLKQHJGFEF58CC,8,53.96,本共有部分項目有門廳、管委會辦公室、樓電梯間、排煙室、梯廳、陽台、樓梯間、機房、水箱、防空避難室兼停車空間、機車停車空間、腳踏車停車空間、電梯間、垃圾儲藏室、台電配電室、電表區、電信室、垃圾車位、發電機室、停車空間、消防泵浦室、雨水處理室共２２項。,鋼筋混凝土造,106年1月4日,十四層,,
RPRNMLLKQHJGFHF78CC,54,56.71,住家用,加強磚造,59年6月8日,四層,,
