編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLKQHJGFEF38CC,淡海段,12.00,都市：商,,,,00020000
RPQNMLLKQHJGFBF08CC,榮和段,17.56,都市：住,,,,09000000
RPPNMLLKQHJGFEF28CC,新市段,17.70,都市：住,,,,01310000
RPRNMLLKQHJGFHF78CC,連城段,24.88,都市：住,,,,04490000
RPRNMLLKQHJGFEF48CC,新市段,9.93,都市：商,,,,01410000
RPUPMLMKQHJGFAF68CC,府中段,2.83,都市：商,,,,01180000
RPVPMLMKQHJGFBF88CC,忠孝段,19.16,都市：住,,,,00610000
RPVPMLMKQHJGFBF88CC,全安段,.09,都市：住,,,,11130001
RPWPMLMKQHJGFBF98CC,同興段,8.47,都市：商,,,,01450000
RPXNMLMKQHJGFDF09CC,福德段,13.55,都市：商,,,,12990000
RPPOMLMKQHJGFDF38CC,福德段,10.86,都市：住,,,,04970000
RPTOMLMKQHJGFDF78CC,福德段,7.01,都市：住,,,,05890000
RPQNMLMKQHJGFEF48CC,公司田段,23.25,都市：住,,,,00360000
RPOOMLMKQHJGFEF38CC,新市段,33.59,都市：住,,,,00120000
RPRPMLMKQHJGFEF78CC,竹圍段,4.10,都市：住,,,,08950000
RPRQMLMKQHJGFGF09CC,五谷王段,8.80,都市：住,,,,00460000
RPTNMLNKQHJGFAF48CC,運校段,23.03,都市：住,,,,07180000
RPUNMLNKQHJGFBF68CC,力行段,1.45,都市：商,,,,07440000
RPVOMLNKQHJGFBF88CC,新塭段新塭小段,413.23,非都市：一般農業區 ; 非都市編定：交通用地,,,,01470003
RPOPMLNKQHJGFBF28CC,新塭段新塭小段,99.18,非都市：一般農業區 ; 非都市編定：交通用地,,,,01470003
RPUNMLNKQHJGFDF88CC,福德段,9.97,都市：商,,,,07700000
RPWNMLNKQHJGFEF56CC,沙崙段,34.58,都市：住,,,,04170000
RPOOMLNKQHJGFEF48CC,淡海段,22.70,都市：住,,,,00510000
RPWNMLNKQHJGFIF96CC,大學段二小段,16.31,都市：商,,,,00870000
RPPOMLNKQHJGFIF98CC,大學段一小段,5.88,都市：住,,,,01840000
RPUNMLNKQHJGFIF76CC,大學段二小段,25.14,都市：住,,,,01030000
RPTNMLNKQHJGFAF58DC,新興段,.00,都市：商,,,,01020000
RPRNMLNKQHJGFAF38DC,新興段,.00,都市：商,,,,01020000
RPQNMLNKQHJGFAF28DC,新興段,.00,都市：商,,,,01020000
RPSNMLNKQHJGFAF48DC,新興段,.00,都市：商,,,,01020000
RPUNMLNKQHJGFAF68DC,新興段,.00,都市：商,,,,01020000
RPVNMLNKQHJGFAF78DC,新興段,.00,都市：商,,,,01020000
RPOPMLOKQHJGFBF38CC,南勢段,495.87,都市：農,,,,03140000
