編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLLKQHJGFEF38CC,坡道平面,0,35.20,地下三樓
RPPNMLLKQHJGFEF28CC,坡道機械,0,17.04,地下四樓
RPSNMLLKQHJGFEF58CC,坡道機械,0,16.03,地下一樓
RPRNMLLKQHJGFEF48CC,坡道平面,0,30.47,地下三樓
RPTOMLMKQHJGFAF48CC,坡道機械,0,16.40,地下三樓
RPPNMLMKQHJGFBF08CC,坡道平面,0,19.87,地下三樓
RPPOMLMKQHJGFBF18CC,坡道平面,3500,29.48,地下一樓
RPUOMLMKQHJGFBF68CC,坡道平面,0,26.94,地下三樓
RPVOMLMKQHJGFBF78CC,坡道平面,3000,34.69,地下三樓
RPWOMLMKQHJGFBF88CC,坡道平面,3000,24.18,地下二樓
RPVPMLMKQHJGFBF88CC,坡道平面,0,38.36,地下三樓
RPQNMLMKQHJGFEF48CC,坡道平面,0,28.99,地下三樓
RPOOMLMKQHJGFEF38CC,坡道平面,0,29.84,地下三樓
RPXNMLMKQHJGFGF76CC,坡道平面,0,26.99,地下三樓
RPQOMLMKQHJGFHF88CC,升降機械,3000,13.14,地下二樓
RPTPMLMKQHJGFHF66CC,坡道平面,0,31.51,地下二樓
RPTNMLMKQHJGFIF56CC,坡道平面,0,,地下三樓
RPVNMLNKQHJGFAF68CC,坡道平面,4000,,地下二樓
RPRNMLNKQHJGFBF38CC,坡道平面,3000,30.71,地下五樓含以下
RPQNMLNKQHJGFCF38CC,坡道平面,0,25.45,地下五樓含以下
RPOOMLNKQHJGFEF48CC,坡道平面,0,30.58,地下二樓
RPWNMLNKQHJGFIF96CC,坡道平面,0,39.59,地下四樓
RPTOMLNKQHJGFIF76CC,坡道平面,0,47.81,地下二樓
RPUNMLNKQHJGFIF76CC,坡道平面,0,30.93,地下二樓
RPWNMLOKQHJGFAF88CC,坡道平面,0,29.35,地下三樓
RPPNMLOKQHJGFBF28CC,坡道平面,3000,30.43,地下三樓
RPTNMLOKQHJGFBF68CC,坡道平面,3300,,地下二樓
RPPPMLOKQHJGFBF48CC,坡道平面,3200,,地下一樓
RPXOMLOKQHJGFBF56CC,坡道平面,0,27.16,地下一樓
RPQPMLOKQHJGFBF58CC,坡道平面,4100,31.61,地下二樓
RPRPMLOKQHJGFBF68CC,坡道平面,0,37.12,地下二樓
RPRPMLOKQHJGFBF68CC,坡道平面,0,37.11,地下二樓
RPQNMLOKQHJGFCF48CC,坡道平面,0,23.20,地下一樓
RPQNMLOKQHJGFCF48CC,坡道平面,0,23.20,地下一樓
RPWNMLOKQHJGFEF66CC,坡道平面,3000,29.74,地下三樓
RPPNMLOKQHJGFEF58CC,坡道機械,0,16.03,地下一樓
RPSNMLPKQHJGFBF68CC,坡道平面,3000,25.20,地下三樓
RPWNMLPKQHJGFBF09CC,升降平面,3000,31.58,地下一樓
RPUNMLPKQHJGFBF88CC,坡道平面,3000,27.94,地下二樓
RPXNMLPKQHJGFBF56CC,坡道平面,3000,20.38,地下四樓
RPPOMLPKQHJGFBF48CC,坡道平面,3000,,地下一樓
RPQNMLPKQHJGFCF58CC,坡道平面,0,,一樓
RPRPMLPKQHJGFBF78CC,坡道平面,3000,32.40,地下三樓
RPRNMLPKQHJGFCF68CC,坡道平面,0,,地下一樓
RPRNMLPKQHJGFCF68CC,升降機械,0,,地下二樓
RPUOMLPKQHJGFEF66CC,坡道平面,0,29.86,地下二樓
RPSNMLPKQHJGFHF66CC,坡道平面,0,30.17,地下二樓
RPSNMLPKQHJGFHF66CC,坡道平面,0,30.17,地下二樓
RPSNMLPKQHJGFHF66CC,坡道平面,0,30.17,地下二樓
RPSNMLPKQHJGFHF66CC,坡道平面,0,30.17,地下二樓
RPSNMLPKQHJGFHF66CC,坡道平面,0,30.17,地下二樓
RPSNMLPKQHJGFHF66CC,坡道平面,0,30.17,地下二樓
RPSNMLPKQHJGFHF66CC,坡道平面,0,30.17,地下二樓
RPSNMLPKQHJGFHF66CC,坡道平面,0,30.17,地下二樓
RPSNMLPKQHJGFHF66CC,坡道平面,0,30.17,地下二樓
RPSNMLPKQHJGFHF66CC,坡道平面,0,30.17,地下二樓
RPVNMLQKQHJGFAF98CC,坡道平面,0,33.12,地下二樓
RPOOMLQKQHJGFAF38CC,坡道平面,0,,地下一樓
RPSNMLQKQHJGFBF78CC,坡道平面,0,42.83,地下二樓
RPOOMLQKQHJGFBF48CC,坡道平面,3000,32.10,地下二樓
RPUOMLQKQHJGFBF09CC,坡道平面,3000,,地下一樓
RPXOMLQKQHJGFBF76CC,坡道平面,3000,33.08,地下二樓
RPTPMLQKQHJGFBF09CC,坡道平面,3000,,地下二樓
RPPNMLQKQHJGFEF78CC,坡道平面,2000,30.58,地下三樓
RPTNMLQKQHJGFDF09CC,坡道平面,0,36.36,地下三樓
RPTOMLQKQHJGFEF66CC,坡道平面,0,21.04,地下二樓
RPQNMLQKQHJGFGF09CC,坡道平面,3000,23.31,地下四樓
RPXNMLQKQHJGFGF17CC,坡道平面,0,52.63,地下三樓
RPSNMLQKQHJGFIF86CC,坡道平面,0,36.14,地下二樓
RPQOMLQKQHJGFHF66CC,坡道平面,3000,39.70,地下五樓含以下
RPWNMLQKQHJGFIF27CC,坡道平面,3000,18.22,地下二樓
RPSNMLTKQHJGFBF09CC,坡道平面,0,33.86,地下四樓
RPWNMLTKQHJGFBF86CC,坡道平面,3000,16.57,地下二樓
