鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
羅東鎮,土地,東安段762地號,21.0,都市：其他:道路用地,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1080000,51429,,0.0,0,包含公共設施保留地用地；,RPTNMLQJRHJGFAG78DA,0.0,0.0,0.0,無,
五結鄉,房地(土地+建物),宜蘭縣五結鄉公園二路１４８號,3136.04,,特定農業區,農牧用地,1130909,土地1建物1車位0,全,二層,透天厝,農業用,鋼筋混凝土造,0951127,524.54,9,3,10,有,無,63000000,120105,,0.0,0,,RPTOMLTJRHJGFAG56DA,489.17,22.86,12.51,無,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮北投街１６１號,47.2,,特定農業區,甲種建築用地,1130903,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1090420,81.37,2,1,1,有,無,5400000,66364,,0.0,0,,RPPNMLMKRHJGFAG18EA,67.72,0.0,0.0,無,001
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路３２號,103.21,,特定農業區,甲種建築用地,1130903,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700122,121.9,2,1,2,有,無,4000000,32814,,0.0,0,,RPVOMLNKRHJGFAG88DA,121.9,0.0,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉冬山路五段２９７巷１弄１５號,65.27,住,,,1130901,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0610226,96.67,3,2,2,有,無,9300000,96204,,0.0,0,二樓後方及三樓鐵皮屋增建。其他增建；,RPRNMLTJRHJGFAG88DA,96.67,0.0,0.0,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉信義路３４巷６號八樓之三十五,6.13,商,,,1130902,土地2建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0971231,56.11,2,1,1,有,有,5220000,93032,,0.0,0,夾層；,RPOPMLOKRHJGFBG48DA,30.34,1.48,0.0,有,002
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市陽明三路５６號四樓,28.28,都市：其他:住宅區,,,1130901,土地5建物1車位2,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850215,169.91,3,2,2,有,有,9500000,55912,升降平面,0.0,0,,RPPOMLQKRHJGFBG68DA,102.01,1.16,11.4,有,
五結鄉,土地,百福段342地號,43.26,都市：其他:道路用地,,,1130902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,36986,,0.0,0,包含公共設施保留地用地；,RPPNMLRKRHJGFAG58DA,0.0,0.0,0.0,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉白石腳路９８號二樓之二,33.67,,一般農業區,甲種建築用地,1130814,土地1建物1車位0,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090406,94.68,0,0,0,無,有,7733000,81675,,0.0,0,,RPTNMLTLQHJGFBG66DA,48.93,1.67,7.96,有,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉白石腳路９８號二樓之十三,32.42,,一般農業區,甲種建築用地,1130814,土地1建物1車位0,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090406,91.14,0,0,0,無,有,7444000,81677,,0.0,0,,RPUNMLTLQHJGFBG76DA,48.05,1.26,7.07,有,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市大坡路一段１２１巷３３號六樓之二,23.06,住,,,1130802,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810825,140.95,4,2,2,有,有,7900000,56048,,0.0,0,,RPSOMLKMQHJGFBG48DA,102.69,4.22,13.32,有,003
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市弘志路３６號五樓,25.05,住,,,1130808,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860324,154.41,3,2,2,有,有,7850000,50839,坡道平面,0.0,0,,RPVNMLNJRHJGFBG78DA,78.13,0.51,11.5,有,
宜蘭市,車位,宜蘭縣宜蘭市大坡路,0.0,,,,1130805,土地0建物1車位1,,,其他,,,,35.0,0,0,0,無,有,900000,,坡道平面,35.0,900000,建物坐落地號：新店段37地號；僅車位交易；,RPPPMLNJRHJGFBG38DA,0.0,0.0,0.0,有,004
宜蘭市,車位,宜蘭縣宜蘭市大坡路,0.0,,,,1130805,土地0建物1車位1,,,其他,,,,35.0,0,0,0,無,有,900000,,坡道平面,35.0,900000,建物坐落地號：新店段37地號；僅車位交易；,RPQPMLNJRHJGFBG48DA,0.0,0.0,0.0,有,004
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉大忠路１６７號五樓之三,14.83,住,,,1130809,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970625,61.36,1,1,1,有,有,6180000,100717,,0.0,0,,RPXOMLTJRHJGFBG07DA,33.87,0.0,0.0,有,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉信義路３４巷６號九樓之三五,6.13,商,,,1130803,土地2建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0971231,56.11,2,1,1,有,有,5305000,94546,,0.0,0,車位先到先停夾層；,RPPPMLTJRHJGFBG98DA,30.34,1.48,0.0,有,006
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉公園路７０巷３９弄９號八樓之五,33.26,都市：其他:健康休閒專用區一,,,1130805,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1060628,99.28,1,1,1,有,有,12000000,120870,,0.0,0,車位先到先停,RPXNMLKKRHJGFBG78DA,43.07,1.59,5.2,有,
五結鄉,房地(土地+建物),宜蘭縣五結鄉下福東路２３之１０號,111.41,,鄉村區,乙種建築用地,1130812,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130621,153.07,4,2,3,有,無,8630000,56379,,0.0,0,,RPWNMLPJRHJGFAG09EA,137.13,0.0,15.94,無,
