編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLTJRHJGFAG88DA,53,96.67,住家用,鋼筋混凝土加強磚造,61年2月26日,二層,一層 二層,全筆移轉
RPTOMLTJRHJGFAG56DA,18,524.54,農舍,鋼筋混凝土造,95年11月27日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPOPMLOKRHJGFBG48DA,16,31.82,辦公室,鋼筋混凝土造,97年12月31日,十三層,八層 見其他登記事項,全筆移轉
RPOPMLOKRHJGFBG48DA,16,18.95,共有部分,鋼筋混凝土造,97年12月31日,十三層,,持分移轉
RPOPMLOKRHJGFBG48DA,16,5.35,共有部分,鋼筋混凝土造,97年12月31日,十三層,,持分移轉
RPTNMLTLQHJGFBG66DA,4,58.56,集合住宅,鋼筋混凝土造,109年4月6日,四層,二層 陽台 雨遮,全筆移轉
RPTNMLTLQHJGFBG66DA,4,36.12,本共有部分之項目有：停車空間、樓梯間、機械室等３項,鋼筋混凝土造,109年4月6日,四層,,持分移轉
RPVOMLNKRHJGFAG88DA,44,121.90,住家用,鋼筋混凝土加強磚造,70年1月22日,二層,一層 二層 騎樓,全筆移轉
RPUNMLTLQHJGFBG76DA,4,56.38,集合住宅,鋼筋混凝土造,109年4月6日,四層,二層 陽台 雨遮,全筆移轉
RPUNMLTLQHJGFBG76DA,4,34.76,本共有部分之項目有：停車空間、樓梯間、機械室等３項,鋼筋混凝土造,109年4月6日,四層,,持分移轉
RPPNMLMKRHJGFAG18EA,4,67.72,集合住宅,鋼筋混凝土造,109年4月20日,四層,一層,全筆移轉
RPPNMLMKRHJGFAG18EA,4,13.65,本共有部分之項目為：樓梯間、水箱等２項,鋼筋混凝土造,109年4月20日,四層,,持分移轉
RPSOMLKMQHJGFBG48DA,32,111.98,住家用,鋼筋混凝土造,81年8月25日,十五層,六層 陽台 花台,全筆移轉
RPSOMLKMQHJGFBG48DA,32,20.72,共有部分,鋼筋混凝土造,81年8月25日,十五層,,持分移轉
RPSOMLKMQHJGFBG48DA,32,8.25,停車場﹒防空避難室,鋼筋混凝土造,81年8月25日,十五層,地下層,持分移轉
RPPOMLQKRHJGFBG68DA,29,114.57,住家用,鋼筋混凝土造,85年2月15日,七層,四層 陽台 雨遮 見其他登記事項,全筆移轉
RPVNMLNJRHJGFBG78DA,27,90.14,住家用,鋼筋混凝土造,86年3月24日,六層,五層 陽台 雨遮,全筆移轉
RPPOMLQKRHJGFBG68DA,29,55.34,共有部分,鋼筋混凝土造,85年2月15日,七層,,持分移轉
RPVNMLNJRHJGFBG78DA,27,44.00,共有部分,鋼筋混凝土造,86年3月24日,六層,,持分移轉
RPVNMLNJRHJGFBG78DA,27,20.27,共有部分,鋼筋混凝土造,86年3月24日,六層,,持分移轉
RPQPMLNJRHJGFBG48DA,30,35.00,共有部分,鋼筋混凝土造,83年4月14日,十二層,,持分移轉
RPXOMLTJRHJGFBG07DA,16,33.87,集合住宅,鋼筋混凝土造,97年6月25日,十三層,五層,全筆移轉
RPXOMLTJRHJGFBG07DA,16,27.14,共有部分,鋼筋混凝土造,97年6月25日,十三層,,持分移轉
RPXOMLTJRHJGFBG07DA,16,.35,共有部分,鋼筋混凝土造,97年6月25日,十三層,,持分移轉
RPPPMLTJRHJGFBG98DA,16,31.82,辦公室,鋼筋混凝土造,97年12月31日,十三層,九層 見其他登記事項,全筆移轉
RPPPMLTJRHJGFBG98DA,16,18.95,共有部分,鋼筋混凝土造,97年12月31日,十三層,,持分移轉
RPPPMLTJRHJGFBG98DA,16,5.35,共有部分,鋼筋混凝土造,97年12月31日,十三層,,持分移轉
RPPPMLNJRHJGFBG38DA,30,35.00,共有部分,鋼筋混凝土造,83年4月14日,十二層,,持分移轉
RPPNMLKKRHJGFBG08EA,3,197.91,住宅、樓梯間、水箱室,鋼筋混凝土造,110年11月8日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
