編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLTJRHJGFAG88DA,群英段,65.27,都市：其他:住宅區,1,1,全筆移轉,05140000
RPTNMLQJRHJGFAG78DA,東安段,21.00,都市：其他:道路用地,1,1,全筆移轉,07620000
RPTOMLTJRHJGFAG56DA,新協和段,3136.04,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03110000
RPOPMLOKRHJGFBG48DA,湯仔城段,2.29,都市：其他:第四種商業區,10000,16,持分移轉,00800000
RPOPMLOKRHJGFBG48DA,湯仔城段,3.84,都市：其他:第五種商業區,10000,16,持分移轉,00840000
RPTNMLTLQHJGFBG66DA,白雲段,33.67,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1354,持分移轉,04810000
RPPNMLRKRHJGFAG58DA,百福段,24.22,都市：其他:道路用地,1,1,全筆移轉,03420000
RPPNMLRKRHJGFAG58DA,百福段,19.04,都市：其他:住宅區,1,1,全筆移轉,03430000
RPVOMLNKRHJGFAG88DA,丸山段,103.21,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,13010000
RPUNMLTLQHJGFBG76DA,白雲段,32.42,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1304,持分移轉,04810000
RPPNMLMKRHJGFAG18EA,北成一段,47.17,非都市：特定農業區 ; 非都市編定：甲種建築用地,48,7,持分移轉,10870001
RPPNMLMKRHJGFAG18EA,北成一段,.03,非都市：特定農業區 ; 非都市編定：甲種建築用地,48,7,持分移轉,10870024
RPSOMLKMQHJGFBG48DA,新店段,23.06,都市：其他:住宅區,10000,65,持分移轉,02940000
RPPOMLQKRHJGFBG68DA,黎明段,.89,都市：其他:住宅區,10000,236,持分移轉,05470000
RPVNMLNJRHJGFBG78DA,女中段,25.05,都市：其他:住宅區,10000,240,持分移轉,05300000
RPPOMLQKRHJGFBG68DA,黎明段,18.81,都市：其他:住宅區,10000,236,持分移轉,05590000
RPPOMLQKRHJGFBG68DA,黎明段,.39,都市：其他:道路用地,10000,236,持分移轉,05630000
RPPOMLQKRHJGFBG68DA,黎明段,7.37,都市：其他:住宅區,10000,236,持分移轉,05640000
RPPOMLQKRHJGFBG68DA,黎明段,.82,都市：其他:住宅區,10000,236,持分移轉,05650000
RPXOMLTJRHJGFBG07DA,忠義段,14.83,都市：其他:住宅區,941600,1516,持分移轉,07560000
RPPPMLTJRHJGFBG98DA,湯仔城段,2.29,都市：其他:第四種商業區,10000,16,持分移轉,00800000
RPPPMLTJRHJGFBG98DA,湯仔城段,3.84,都市：其他:第五種商業區,10000,16,持分移轉,00840000
RPPNMLKKRHJGFBG08EA,忠義段,96.63,都市：其他:農業區,10000,285,持分移轉,04320000
RPRNMLKKRHJGFBG28EA,農權段,39.75,都市：其他:住宅區,100000,500,持分移轉,11910000
RPWNMLPJRHJGFAG09EA,季寶段,82.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06610008
RPWNMLPJRHJGFAG09EA,季寶段,9.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,8511,960,持分移轉,06610012
RPXNMLKKRHJGFBG78DA,公園段,33.26,都市：其他:健康休閒專用區一,10000,158,持分移轉,01550000
RPWNMLPJRHJGFAG09EA,季寶段,18.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,17605,1897,持分移轉,06610013
RPXNMLPJRHJGFAG56EA,季寶段,79.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06610002
RPXNMLPJRHJGFAG56EA,季寶段,10.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,8511,1054,持分移轉,06610012
RPXNMLPJRHJGFAG56EA,季寶段,21.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,17605,2151,持分移轉,06610013
RPPNMLTJRHJGFAG78EA,東和段,.80,都市：其他:住宅區,1,1,全筆移轉,05590002
RPOOMLPJRHJGFAG38EA,季寶段,70.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06610005
RPSNMLKKRHJGFBG38EA,農權段,39.67,都市：其他:住宅區,100000,499,持分移轉,11910000
RPPNMLLKRHJGFAG97DA,大吉二段,17.03,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00230009
RPOOMLPJRHJGFAG38EA,季寶段,2.70,非都市：鄉村區 ; 非都市編定：乙種建築用地,8511,270,持分移轉,06610012
RPPNMLLKRHJGFAG97DA,大吉二段,57.27,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00230020
RPPNMLLKRHJGFAG97DA,大吉二段,3.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00230047
RPPNMLLKRHJGFAG97DA,大吉二段,12.06,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00230048
RPOOMLPJRHJGFAG38EA,季寶段,4.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,17605,479,持分移轉,06610013
RPOOMLPJRHJGFAG38EA,季寶段,33.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06610015
RPTOMLKKRHJGFAG38DA,武淵三段,942.77,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00270000
RPOOMLPJRHJGFAG28DA,利成段,86.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04170000
RPPNMLKKRHJGFBG97DA,宜大段,125.99,都市：其他:住宅區,1,1,全筆移轉,07920000
RPPNMLKKRHJGFBG97DA,宜大段,135.98,都市：其他:住宅區,5,2,持分移轉,07930000
RPSOMLTJRHJGFBG56DA,黎明段,20.91,都市：其他:住宅區,10000,147,持分移轉,02890000
RPUNMLKKRHJGFBG48DA,三城段,87.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02900000
RPTNMLTJRHJGFBG56DA,公園段,27.79,都市：其他:健康休閒專用區一,10000,132,持分移轉,01550000
RPVNMLKMQHJGFAG58DA,協孝段,44.02,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1011,持分移轉,09500000
RPXNMLKKRHJGFAG68DA,東安段,161.00,都市：其他:住宅區,1,1,全筆移轉,07290000
RPSNMLLKRHJGFAG28DA,新隆恩段,3259.55,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02430000
RPOPMLTLQHJGFBG98DA,大三鬮段,23.48,非都市：特定農業區 ; 非都市編定：甲種建築用地,8,1,持分移轉,03570000
RPOPMLTLQHJGFBG98DA,大三鬮段,103.47,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03580000
RPPOMLLKRHJGFAG08DA,新群一段,1.02,非都市：特定農業區 ; 非都市編定：甲種建築用地,10,1,持分移轉,01600000
RPPOMLLKRHJGFAG08DA,新群一段,100.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01600009
RPPOMLLKRHJGFAG08DA,新群一段,18.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,01600010
RPPOMLLKRHJGFAG08DA,新群一段,36.15,非都市：特定農業區 ; 非都市編定：甲種建築用地,10,1,持分移轉,01600013
RPPOMLLKRHJGFAG08DA,新群一段,.73,非都市：特定農業區 ; 非都市編定：甲種建築用地,10,1,持分移轉,01600014
RPPOMLLKRHJGFAG08DA,新群一段,.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,10,1,持分移轉,01600015
RPROMLLKRHJGFAG28DA,公正段,67.42,都市：其他:住宅區,100000,2072,持分移轉,15330002
RPWNMLLKRHJGFBG78DA,坤門二段,27.25,都市：其他:住宅區,1,1,全筆移轉,05500000
