編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLNJRHJGFBG78DA,坡道平面,0,,地下一樓
RPPOMLQKRHJGFBG68DA,升降平面,0,,地下一樓
RPPOMLQKRHJGFBG68DA,升降平面,0,,地下一樓
RPQPMLNJRHJGFBG48DA,坡道平面,900000,35.00,地下一樓
RPPPMLNJRHJGFBG38DA,坡道平面,900000,35.00,地下一樓
RPRNMLKKRHJGFBG28EA,坡道平面,1490000,33.69,地下一樓
RPSNMLKKRHJGFBG38EA,坡道平面,1490000,33.69,地下一樓
RPROMLLKRHJGFAG28DA,坡道平面,1100000,31.46,地下一樓
RPSNMLMKRHJGFBG48DA,坡道平面,1200000,55.65,地下一樓
RPSPMLLKRHJGFAG48DA,坡道平面,0,,地下二樓
RPQNMLKKRHJGFBG08DA,一樓平面,0,,一樓
RPWNMLNKRHJGFBG98DA,坡道平面,0,,地下一樓
RPROMLTKQHJGFBG09DA,坡道平面,1500000,29.84,地下一樓
RPUNMLQKRHJGFBG09DA,坡道平面,0,,地下一樓
RPOOMLNKRHJGFBG28DA,坡道平面,0,,地下一樓
RPWNMLQKRHJGFAG56DA,坡道平面,0,,地下二樓
RPRNMLRKRHJGFAG78DA,坡道平面,0,,地下一樓
RPPNMLMJRHJGFBG08DA,坡道平面,1500000,28.47,地下一樓
RPQOMLNKRHJGFBG48DA,坡道平面,0,,地下二樓
RPRNMLMJRHJGFBG28DA,坡道平面,1500000,28.47,地下一樓
RPQNMLMJRHJGFBG18DA,坡道平面,1500000,28.47,地下一樓
RPVNMLKKRHJGFBG58DA,坡道平面,1200000,28.81,地下一樓
RPUNMLTKQHJGFBG66DA,一樓平面,0,,一樓
RPUNMLQKRHJGFAG98DA,坡道平面,0,,地下一樓
RPSNMLMKRHJGFBG58EA,坡道平面,0,,無固定樓層
RPPOMLNLQHJGFAG28DA,坡道平面,1400000,45.85,地下一樓
RPPOMLNLQHJGFAG28DA,坡道平面,1400000,45.85,地下一樓
RPQOMLPKRHJGFBG68DA,一樓平面,0,14.84,一樓
RPOOMLPKRHJGFBG48DA,一樓平面,0,14.84,一樓
RPOPMLPKRHJGFBG58DA,一樓平面,0,14.84,一樓
RPSOMLPKRHJGFBG88DA,一樓平面,0,14.84,一樓
RPQNMLQKRHJGFBG68DA,一樓平面,0,14.84,一樓
RPROMLPKRHJGFBG78DA,一樓平面,0,14.84,一樓
RPPOMLPKRHJGFBG58DA,一樓平面,0,14.84,一樓
RPXOMLPKRHJGFBG76DA,一樓平面,0,14.84,一樓
RPUOMLPKRHJGFBG09DA,一樓平面,0,14.84,一樓
RPWOMLPKRHJGFBG66DA,一樓平面,0,14.84,一樓
RPVOMLPKRHJGFBG56DA,一樓平面,0,14.84,一樓
RPPPMLPKRHJGFBG68DA,一樓平面,0,14.84,一樓
RPQPMLPKRHJGFBG78DA,一樓平面,0,14.84,一樓
RPXOMLQKQHJGFBG76DA,坡道平面,930000,40.00,地下一樓
RPSNMLMLQHJGFBG48DA,坡道平面,980000,40.00,地下一樓
RPTNMLMLQHJGFBG58DA,坡道平面,980000,40.00,地下一樓
RPOOMLTLQHJGFBG88DA,坡道平面,950000,40.00,地下二樓
