編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLPKQHJGFAG28CB,坡道平面,750000,23.70,地下一樓
RPQNMLOKQHJGFAG28CB,一樓平面,0,,一樓
RPSNMLPKQHJGFBG68CB,一樓平面,1150000,33.62,一樓
RPPNMLRKQHJGFAG48CB,坡道平面,750000,23.70,地下一樓
RPPNMLTKQHJGFAG68CB,一樓平面,900000,,一樓
RPRNMLKLQHJGFAG08CB,一樓平面,0,25.44,一樓
RPUNMLKLQHJGFAG38CB,一樓平面,0,25.44,一樓
RPVNMLKLQHJGFAG48CB,一樓平面,0,25.44,一樓
RPPNMLQLQHJGFAG48CB,一樓平面,650000,13.75,一樓
RPPNMLRLQHJGFBG68CB,一樓平面,0,17.39,一樓
RPTNMLNJRHJGFAG48CB,坡道平面,1700000,31.43,地下三樓
RPSNMLNJRHJGFAG38CB,坡道平面,1700000,31.43,地下三樓
RPPNMLOJRHJGFBG28CB,一樓平面,0,,一樓
RPTNMLTJRHJGFAG09CB,一樓平面,0,14.88,一樓
RPUNMLTJRHJGFAG56CB,一樓平面,0,14.88,一樓
RPSNMLLKRHJGFAG28CB,坡道平面,1100000,27.98,地下一樓
RPRNMLLKRHJGFAG18CB,坡道平面,1000000,27.98,地下二樓
RPQNMLLKRHJGFAG08CB,坡道平面,1100000,27.98,地下一樓
RPRNMLSKRHJGFBG98CB,坡道平面,1500000,48.37,地下二樓
RPTNMLSKRHJGFBG56CB,一樓平面,0,,一樓
RPSNMLSKRHJGFBG09CB,坡道平面,1600000,48.37,地下一樓
