鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
羅東鎮,租賃房屋,宜蘭縣羅東鎮忠孝路９０巷２０號一樓,0.0,,,,1130801,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841018,82.05000000000001,1,0,1,有,無,有,10500,128,,0.0,0,,RPPNMLMKQHJGFAG08CC,獨立套房,無,1130820~1140819,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
羅東鎮,租賃房屋,宜蘭縣羅東鎮新群三路２１２號,0.0,,,,1130809,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0700629,148.44,3,1,2,有,無,有,13500,91,,0.0,0,,RPQNMLMKQHJGFAG18CC,整棟(戶)出租,無,1130820~1140819,無,冷氣、熱水器、洗衣機,社會住宅包租轉租
羅東鎮,租賃房屋,宜蘭縣羅東鎮公園路３３號四樓,0.0,,,,1130808,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821105,77.51,3,0,1,有,無,有,11500,148,,0.0,0,,RPRNMLMKQHJGFAG28CC,整棟(戶)出租,無,1130901~1140831,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
羅東鎮,租賃房屋,宜蘭縣羅東鎮禮運路５８號七樓之５,0.0,,,,1130809,土地0建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860401,41.17,1,1,1,有,有,無,9500,231,,0.0,0,租金總額含管理費；,RPSNMLMKQHJGFAG38CC,獨立套房,有,1130815~1140814,有,冷氣、熱水器、洗衣機、電視機、冰箱,
冬山鄉,租賃房屋,宜蘭縣冬山鄉興安路２４巷１６號,0.0,,,,1130715,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0671018,234.34,3,1,4,有,無,有,15000,64,,0.0,0,,RPTNMLMKQHJGFAG48CC,整棟(戶)出租,無,1130715~1140529,無,熱水器、冰箱、瓦斯或天然氣,社會住宅代管
羅東鎮,租賃房屋,宜蘭縣羅東鎮倉前路７７號５樓之６,0.0,,,,1130807,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831213,104.63,3,1,2,有,無,有,13000,124,,0.0,0,,RPVNMLMKQHJGFAG68CC,整棟(戶)出租,有,1130815~1140814,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
頭城鎮,租賃房屋,宜蘭縣頭城鎮開蘭路３６９之４號五樓,0.0,,,,1130805,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831114,147.03,3,2,2,有,有,有,12000,82,,0.0,0,,RPPNMLMKQHJGFBG18CC,整棟(戶)出租,無,1130809~1140808,有,冷氣、熱水器、冰箱,社會住宅代管
宜蘭市,租賃房屋+車位,宜蘭縣宜蘭市泰山路８５巷５號１０樓之２,0.0,,,,1130808,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930927,175.1,3,1,2,有,有,無,16000,91,坡道平面,0.0,0,,RPQNMLMKQHJGFBG28CC,整棟(戶)出租,有,1130808~1140807,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
五結鄉,租賃房屋,宜蘭縣五結鄉親河路二段１２３號六樓之７,0.0,,,,1130723,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850216,42.260000000000005,1,1,1,有,有,有,5500,130,,0.0,0,租金總額含管理費；,RPPNMLNKQHJGFAG18CC,獨立套房,無,1130723~1140722,有,冷氣、熱水器,社會住宅代管
羅東鎮,租賃房屋,宜蘭縣羅東鎮尚智街８２號３樓,0.0,,,,1130803,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820416,75.91,2,1,1,有,無,有,8000,105,,0.0,0,,RPQNMLNKQHJGFAG28CC,整棟(戶)出租,無,1130824~1140823,無,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅代管
冬山鄉,租賃房屋,宜蘭縣冬山鄉冬山路三段４８５號,0.0,,,,1130809,土地0建物1車位0,全,3,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土（ＲＣ）,1090922,313.72,4,3,5,有,無,無,42000,134,,0.0,0,113年8月1日至113年8月31日為免租期，此期間之水、電費由乙方負擔，免租期間乙方義務與起租日後相同。租金總額含稅；,RPRNMLNKQHJGFAG38CC,,無,1130901~1160831,有,,
羅東鎮,租賃房屋,宜蘭縣羅東鎮公正路６５號七樓之１,0.0,,,,1130723,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830302,83.50999999999999,2,0,2,有,有,有,15000,180,,0.0,0,租金總額含管理費；續租案件；,RPSNMLNKQHJGFAG48CC,整棟(戶)出租,無,1130901~1140824,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
羅東鎮,租賃房屋,宜蘭縣羅東鎮南昌街５３巷３弄８之２號,0.0,,,,1130725,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770210,89.21000000000001,3,2,1,有,無,有,14500,163,,0.0,0,多人共同承租2；,RPTNMLNKQHJGFAG58CC,整棟(戶)出租,無,1130801~1140731,無,冷氣、熱水器、電視機,社會住宅代管
羅東鎮,租賃房屋,宜蘭縣羅東鎮倉前路７７號十二樓之７,0.0,,,,1130726,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831213,104.63,3,2,2,有,有,有,16000,153,,0.0,0,租金總額含管理費；,RPUNMLNKQHJGFAG68CC,整棟(戶)出租,有,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機,社會住宅代管
蘇澳鎮,租賃房屋,宜蘭縣蘇澳鎮冷泉路１２之３號五樓,0.0,,,,1130726,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710227,102.08,2,2,1,有,無,有,12000,118,,0.0,0,,RPVNMLNKQHJGFAG78CC,整棟(戶)出租,無,1130801~1140731,無,冷氣、熱水器、洗衣機,社會住宅代管
五結鄉,租賃房屋,宜蘭縣五結鄉五結路二段２６６巷１２弄７０號,0.0,,,,1130726,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0701230,105.0,3,2,2,有,無,有,18000,171,,0.0,0,,RPWNMLNKQHJGFAG88CC,整棟(戶)出租,無,1130729~1140728,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
礁溪鄉,租賃房屋,宜蘭縣礁溪鄉溫泉路５３ 號十一樓之五,0.0,,,,1130723,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850318,52.59,1,1,1,有,有,有,9500,181,,0.0,0,租金總額含管理費；,RPQNMLNKQHJGFBG38CC,獨立套房,有,1130801~1140731,有,冷氣、洗衣機、電視機、冰箱,社會住宅代管
宜蘭市,租賃房屋+車位,宜蘭縣宜蘭市自強路１１６號二樓,0.0,,,,1130723,土地0建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860312,116.18,3,2,2,有,有,有,15000,129,升降機械,0.0,0,租金總額含管理費；,RPRNMLNKQHJGFBG48CC,整棟(戶)出租,無,1130801~1140731,有,冷氣、熱水器、冰箱,社會住宅代管
