編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLMKQHJGFAG18CC,43,148.44,住家用,鋼筋混凝土加強磚造,70年6月29日,二層,,
RPQNMLMKQHJGFBG28CC,20,114.16,住家用,鋼筋混凝土造,93年9月27日,十四層,,
RPQNMLMKQHJGFBG28CC,20,20.67,共有部分,鋼筋混凝土造,93年9月27日,十四層,,
RPVNMLMKQHJGFAG68CC,30,100.08,住家用,鋼筋混凝土造,83年12月13日,十二層,,
RPQNMLMKQHJGFBG28CC,20,40.27,共有部分,鋼筋混凝土造,93年9月27日,十四層,,
RPVNMLMKQHJGFAG68CC,,4.55,門廊、樓梯電梯間、受電發電室﹙共同使用部份﹚,鋼筋混凝土造,,十二層,,
RPRNMLMKQHJGFAG28CC,31,74.90,住家用,鋼筋混凝土造,82年11月5日,四層,,
RPRNMLMKQHJGFAG28CC,31,2.61,共有部分,鋼筋混凝土造,82年11月5日,,,
RPQNMLNKQHJGFAG28CC,31,71.35,住家用,鋼筋混凝土造,82年4月16日,五層,,
RPQNMLNKQHJGFAG28CC,31,4.56,地下層．屋頂突出物,鋼筋混凝土造,82年4月16日,五層,,
RPPNMLMKQHJGFBG18CC,30,112.62,住家用,鋼筋混凝土造,83年11月14日,七層,,
RPPNMLMKQHJGFBG18CC,28,34.41,共有部分,鋼筋混凝土造,85年11月14日,七層,,
RPPNMLNKQHJGFAG18CC,28,25.78,住家用,鋼筋混凝土造,85年2月16日,八層,,
RPPNMLNKQHJGFAG18CC,28,4.56,共同使用部份 梯間．通道,鋼筋混凝土造,85年2月16日,八層,,
RPPNMLNKQHJGFAG18CC,28,11.92,共同使用部份（門廊．梯間．通道．停車場．防空避難室）,鋼筋混凝土造,85年2月16日,八層,,
RPSNMLMKQHJGFAG38CC,27,31.32,住家用,鋼筋混凝土造,86年4月1日,十三層,,
RPSNMLMKQHJGFAG38CC,27,1.55,梯間、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPSNMLMKQHJGFAG38CC,27,3.95,梯間、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPPNMLMKQHJGFAG08CC,29,68.43,住家用,鋼筋混凝土造,84年10月18日,五層,,
RPSNMLMKQHJGFAG38CC,27,3.00,停車場、蓄水池、發電機室、電氣室、消防□浦室、車道、台電配電室、電信室、活動中心、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPPNMLMKQHJGFAG08CC,29,13.62,梯間、共同使用部份,鋼筋混凝土造,84年10月18日,五層,,
RPSNMLMKQHJGFAG38CC,27,1.35,防空避難室兼停車場通道、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPRNMLNKQHJGFAG38CC,4,313.72,住宅、停車空間、樓梯間,鋼筋混凝土（ＲＣ）,109年9月22日,三層,,
RPSNMLNKQHJGFAG48CC,30,78.08,住家用,鋼筋混凝土造,83年3月2日,七層,,
RPSNMLNKQHJGFAG48CC,30,5.43,共同使用部份﹙梯間通道﹚,鋼筋混凝土造,83年3月2日,七層,,
RPTNMLNKQHJGFAG58CC,36,82.45,住家用,鋼筋混凝土造,77年2月10日,五層,,
RPTNMLNKQHJGFAG58CC,36,6.76,樓梯間及屋頂突出物,鋼筋混凝土造,77年2月10日,五層,,
RPQNMLNKQHJGFBG38CC,28,42.88,住家用,鋼筋混凝土造,85年3月18日,十二層,,
RPQNMLNKQHJGFBG38CC,28,7.92,共有部分,鋼筋混凝土造,85年3月18日,十二層,,
RPVNMLNKQHJGFAG78CC,42,102.08,住家用,鋼筋混凝土造,71年2月27日,五層,,
RPTNMLMKQHJGFAG48CC,46,234.34,住家用,鋼筋混凝土加強磚造,67年10月18日,二層,,
RPWNMLNKQHJGFAG88CC,43,105.00,住家用,鋼筋混凝土加強磚造,70年12月30日,二層,,
RPQNMLNKQHJGFBG38CC,28,1.79,共有部分,鋼筋混凝土造,85年3月18日,十二層,,
RPSNMLNKQHJGFBG58CC,19,18.15,住家用,鋼筋混凝土造,94年9月14日,六層,,
RPSNMLNKQHJGFBG58CC,19,12.29,共有部分,鋼筋混凝土造,94年9月14日,六層,,
RPRNMLNKQHJGFBG48CC,27,83.25,住家用,鋼筋混凝土造,86年3月12日,八層,,
RPRNMLNKQHJGFBG48CC,27,32.93,共有部分,鋼筋混凝土造,86年3月12日,八層,,
RPTNMLNKQHJGFBG68CC,19,18.15,住家用,鋼筋混凝土造,94年9月14日,六層,,
RPTNMLNKQHJGFBG68CC,19,11.97,共有部分,鋼筋混凝土造,94年9月14日,六層,,
RPVNMLNKQHJGFBG88CC,30,85.42,住家用,鋼筋混凝土造,83年5月24日,七層,,
RPUNMLNKQHJGFBG78CC,45,93.16,住家用,鋼筋混凝土造,68年6月11日,二層,,
RPVNMLNKQHJGFBG88CC,30,14.07,共有部分,鋼筋混凝土造,83年5月24日,七層,,
RPVNMLNKQHJGFBG88CC,30,9.22,共有部分,鋼筋混凝土造,83年5月24日,七層,,
RPUNMLNKQHJGFAG68CC,30,100.08,住家用,鋼筋混凝土造,83年12月13日,十二層,,
RPUNMLNKQHJGFAG68CC,,4.55,門廊、樓梯電梯間、受電發電室﹙共同使用部份﹚,鋼筋混凝土造,,十二層,,
RPPNMLOKQHJGFAG28CC,46,97.56,住家用,鋼筋混凝土加強磚造,68年1月25日,二層,,
RPSNMLPKQHJGFAG68CC,29,67.68,住家用,鋼筋混凝土造,84年10月18日,五層,,
