鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中壢區,房地(土地+建物),桃園市中壢區長樂街５４巷１之２號,37.69,住,,,1130902,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690415,74.82,3,1,1,有,無,5000000,66827,,0.0,0,,RPPPMLPJRHJGFBH68DA,74.82,0.0,0.0,無,0001
大園區,土地,青埔段82地號,300.0,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,60800000,202667,,0.0,0,,RPUNMLOJRHJGFEH56DA,0.0,0.0,0.0,無,
平鎮區,土地,關爺段42地號,46.17,,特定農業區,丁種建築用地,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2800000,60645,,0.0,0,,RPOOMLMJRHJGFGH68DA,0.0,0.0,0.0,無,0002
龜山區,土地,山鶯段948地號,59.85,住,,,1130903,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3547908,59280,,0.0,0,,RPPNMLOJRHJGFHH98DA,0.0,0.0,0.0,無,
龍潭區,土地,成功段1250地號,23.21,,特定農業區,甲種建築用地,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,464989,20034,,0.0,0,含土地增值稅或其他稅費114989元；,RPTNMLKKRHJGFCH58DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物),桃園市桃園區中山東路１０５號,25.62,住,,,1130910,土地1建物1車位0,一層，騎樓,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0980319,170.32000000000002,0,0,0,無,有,25244600,148219,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUQMLLKRHJGFAH88DA,111.01,0.0,17.07,有,
桃園區,房地(土地+建物),桃園市桃園區中山東路１０５號二樓,26.74,住,,,1130910,土地1建物1車位0,一層，二層，騎樓,九層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0980319,177.63,0,0,0,無,有,13971300,78654,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWQMLLKRHJGFAH09DA,120.01,0.0,13.69,有,
中壢區,房地(土地+建物),桃園市中壢區中園路二段１４５之２５號四樓,5.28,住,,,1130903,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850315,29.77,1,1,1,有,有,2300000,77259,,0.0,0,套房,RPXNMLOJRHJGFBH56DA,19.81,0.0,2.59,有,0003
觀音區,土地,濱海段289地號,99.28,,一般農業區,甲種建築用地,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,9065,,0.0,0,,RPQPMLKKRHJGFBH38DA,0.0,0.0,0.0,無,0004
蘆竹區,土地,開南段686-1地號,7.68,,特定農業區,甲種建築用地,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,460000,59896,,0.0,0,,RPWOMLPJRHJGFEH96DA,0.0,0.0,0.0,無,
龜山區,房地(土地+建物),桃園市龜山區幸福二十三街１６號二樓,29.4,,鄉村區,乙種建築用地,1130901,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760401,86.92,3,2,1,有,無,4000000,46019,,0.0,0,,RPXNMLKKRHJGFHH86DA,77.89,0.0,9.03,無,
龍潭區,車位,桃園市龍潭區百年路４２號等,0.53,,鄉村區,乙種建築用地,1130903,土地1建物1車位1,,,其他,,,,36.45,0,0,0,無,有,1100000,,坡道平面,36.44,1100000,賣方108年取得時未同時取得車位對應之土地持分1/100000。僅車位交易；,RPPNMLLKRHJGFCH38EA,0.0,0.0,0.0,有,0005
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路１６０之３號十二樓,13.26,住,,,1130904,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080412,100.62,1,2,1,有,有,10810000,107434,坡道平面,38.7,0,其他增建；,RPRPMLQJRHJGFAH88DA,39.21,0.0,3.18,有,0006
中壢區,房地(土地+建物)+車位,桃園市中壢區松信路１８２號十一樓,18.71,住,,,1130905,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040915,132.74,2,2,1,有,有,9000000,67802,坡道平面,0.0,0,買方繳納土地增值稅,RPQOMLQJRHJGFBH78DA,64.34,0.0,7.3,有,0007
中壢區,房地(土地+建物),桃園市中壢區成章一街３號四樓,14.0,住,,,1130902,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721004,48.17,2,2,1,有,無,2200000,45672,,0.0,0,,RPROMLKKRHJGFBH38DA,48.17,0.0,0.0,無,0008
觀音區,土地,藍埔段1073-17地號,205.0,,特定農業區,甲種建築用地,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,24390,,0.0,0,,RPTSMLLKRHJGFBH09DA,0.0,0.0,0.0,無,
平鎮區,土地,廣東段1136地號,62.0,住,,,1130903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3380000,54516,,0.0,0,增值稅166855元、地價稅、印花稅、契稅買方付未登記建物；,RPRNMLSKRHJGFGH07EA,0.0,0.0,0.0,無,
中壢區,房地(土地+建物)+車位,桃園市中壢區復華六街９號十樓,25.13,住,,,1130901,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011128,159.26,3,2,2,有,有,16880000,105990,坡道平面,31.38,0,,RPSOMLLKRHJGFBH58DA,83.91,0.0,10.12,有,0009
