編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUQMLLKRHJGFAH88DA,15,128.08,商業用,鋼筋混凝土造,98年3月19日,九層,一層 陽台 騎樓,持分移轉
RPUQMLLKRHJGFAH88DA,15,16.51,共有部分,鋼筋混凝土造,98年3月19日,九層,,持分移轉
RPUQMLLKRHJGFAH88DA,15,25.74,共有部分,鋼筋混凝土造,98年3月19日,九層,,持分移轉
RPWQMLLKRHJGFAH09DA,15,133.70,辦公室,鋼筋混凝土造,98年3月19日,九層,一層 二層 陽台 騎樓,持分移轉
RPWQMLLKRHJGFAH09DA,15,17.22,共有部分,鋼筋混凝土造,98年3月19日,九層,,持分移轉
RPWQMLLKRHJGFAH09DA,15,26.71,共有部分,鋼筋混凝土造,98年3月19日,九層,,持分移轉
RPPPMLPJRHJGFBH68DA,44,74.82,住家用,鋼筋混凝土造,69年4月15日,四層,三層,全筆移轉
RPXNMLOJRHJGFBH56DA,28,22.40,住家用,鋼筋混凝土造,85年3月15日,八層,四層 陽台,全筆移轉
RPXNMLOJRHJGFBH56DA,28,3.86,共有部分,鋼筋混凝土造,85年3月15日,十層,,持分移轉
RPXNMLOJRHJGFBH56DA,28,3.51,共有部分,鋼筋混凝土造,85年3月15日,十層,,持分移轉
RPXNMLKKRHJGFHH86DA,37,86.92,住家用,鋼筋混凝土造,76年4月1日,五層,二層 陽台,全筆移轉
RPPNMLLKRHJGFCH38EA,27,36.45,共同使用（防空避難室，停車場）,鋼筋混凝土造,86年6月26日,十八層,,持分移轉
RPRPMLQJRHJGFAH88DA,5,42.39,住家用,鋼筋混凝土造,108年4月12日,十四層,十二層 陽台,全筆移轉
RPRPMLQJRHJGFAH88DA,5,58.23,本共有部分之項目有：消防泵浦室、發電機室、蓄水池、污水機房、梯間、雨水回收機房及雨水貯集滯洪機房、停車空間、防空避難室兼停車空間、台電配電場所、垃圾冷藏處理室、電信室、集合住宅（附屬公共服務空間、管委會使用空間、車道）及水箱、機械室等。,鋼筋混凝土造,108年4月12日,十五層,,持分移轉
RPQOMLQJRHJGFBH78DA,9,71.64,集合住宅,鋼筋混凝土造,104年9月15日,十五層,十一層 陽台,全筆移轉
RPQOMLQJRHJGFBH78DA,9,61.10,本共有部分之項目有：防空避難室兼停車空間、消防泵浦室、蓄水池、汙水機房、梯間、停車空間、發電機房、台電配電室、電信室、水景機房、公共服務空間、機械室、水箱、排煙室、車道、垃圾處理空間、梯廳、屋簷、梯廳兼排煙室、管委會使用空間、儲藏空間等共二十一項。,鋼筋混凝土造,104年9月15日,十五層,,持分移轉
RPROMLKKRHJGFBH38DA,41,48.17,住家用,鋼筋混凝土造,72年10月4日,五層,四層,全筆移轉
RPSOMLLKRHJGFBH58DA,12,94.03,集合住宅,鋼筋混凝土造,101年11月28日,十二層,十層 陽台,全筆移轉
RPSOMLLKRHJGFBH58DA,12,17.76,本共有部分之項目有：蓄水池、梯廳、樓梯間、機械室、水箱等共五項。,鋼筋混凝土造,101年11月28日,十二層,,持分移轉
RPSOMLLKRHJGFBH58DA,12,47.47,本共有部分之項目有：防空避難室兼停車空間、消防泵浦機房、汙水機房、停車空間、台電配電場所、管理員室、緊急發電機房、電信機房、（頂蓋型）廣場式開放空間、門廊、垃圾集中室等共十一項。,鋼筋混凝土造,101年11月28日,十二層,,持分移轉
RPSNMLNKRHJGFBH68DA,40,110.14,住家用,加強磚造,74年1月8日,二層,一層 二層 陽台 平台,全筆移轉
RPVNMLNKRHJGFGH86DA,33,124.46,住家用,鋼筋混凝土造,80年10月9日,七層,七層,全筆移轉
