編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLOJRHJGFEH56DA,青埔段,300.00,都市：其他:第二種住宅區,1,1,全筆移轉,00820000
RPOOMLMJRHJGFGH68DA,關爺段,46.17,非都市：特定農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00420000
RPTNMLKKRHJGFCH58DA,成功段,23.21,非都市：特定農業區 ; 非都市編定：甲種建築用地,6000,555,持分移轉,12500000
RPUQMLLKRHJGFAH88DA,小檜溪段,25.62,都市：其他:住宅區,1000000,14808,持分移轉,04790008
RPPNMLOJRHJGFHH98DA,山鶯段,49.36,都市：其他:第一種住宅區,8,7,持分移轉,09480000
RPPNMLOJRHJGFHH98DA,山鶯段,10.49,都市：其他:第一種住宅區,8,7,持分移轉,09490000
RPWQMLLKRHJGFAH09DA,小檜溪段,26.74,都市：其他:住宅區,1000000,15456,持分移轉,04790008
RPQPMLKKRHJGFBH38DA,濱海段,99.28,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1770,持分移轉,02890000
RPPPMLPJRHJGFBH68DA,復興段,37.69,都市：其他:住宅區,16,1,持分移轉,11420001
RPXNMLOJRHJGFBH56DA,水尾段水尾小段,5.28,都市：其他:住宅區,10000,18,持分移轉,06450000
RPWOMLPJRHJGFEH96DA,開南段,7.68,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06860001
RPXNMLKKRHJGFHH86DA,幸褔段,29.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,10,持分移轉,01180000
RPPNMLLKRHJGFCH38EA,潛龍段,.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1,持分移轉,10790000
RPRPMLQJRHJGFAH88DA,忠義段,13.26,都市：其他:住宅區,10000,35,持分移轉,05050000
RPQOMLQJRHJGFBH78DA,雙嶺段,18.71,都市：其他:住宅區,100000,465,持分移轉,13320000
RPTSMLLKRHJGFBH09DA,藍埔段,205.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10730017
RPROMLKKRHJGFBH38DA,成功段,14.00,都市：其他:住宅區,5,1,持分移轉,12200004
RPRNMLSKRHJGFGH07EA,廣東段,62.00,都市：其他:住宅區,1,1,全筆移轉,11360000
RPTOMLTJRHJGFCH86DA,瑞興段,239.07,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06150000
